pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_6BCC35D07CD1,TORUS_T2_7,torus,CAND_03E501C1C61644EB,CAND_A84889FBDBCC5B1E,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_5D245720C2AA,TORUS_T2_7,torus,CAND_03E501C1C61644EB,CAND_DC9497E60857560A,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_9C871F1DAC67,TORUS_T2_7,torus,CAND_03E501C1C61644EB,CAND_458865633A2A40DC,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_3CE7F0B66548,TORUS_T2_7,torus,CAND_0BEA3A2C1820D184,CAND_1FA6F637745AEC69,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_E7E2A1522525,TORUS_T2_7,torus,CAND_0BEA3A2C1820D184,CAND_ED3E1E46117BB17D,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_B9CE9B02D439,TORUS_T2_7,torus,CAND_0BEA3A2C1820D184,CAND_91AF1807A9BA155D,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_D8BEFED72B62,TORUS_T2_7,torus,CAND_0BEA3A2C1820D184,CAND_D0592C522ACE0368,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_4A785B38E041,TORUS_T2_9,torus,CAND_4A709AD53B11D6FA,CAND_CF344A05954D6FD1,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_4D66D043470C,TORUS_T2_9,torus,CAND_4A709AD53B11D6FA,CAND_FB6D3A74137748F8,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_411A94B9813F,TORUS_T2_9,torus,CAND_4A709AD53B11D6FA,CAND_6BC3E8249E9DE2B8,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_849D07EBD04F,TORUS_T2_9,torus,CAND_4A709AD53B11D6FA,CAND_934719043FCB051D,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_3C1FA2906D50,TORUS_T2_9,torus,CAND_4E9B06832A98A503,CAND_A717EB8618ED4F7E,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_36B43B16F36E,TORUS_T2_9,torus,CAND_4E9B06832A98A503,CAND_1A191EA8EA691651,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_C1417C49FB37,TORUS_T2_9,torus,CAND_4E9B06832A98A503,CAND_29AA3829802CD9FA,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_96294EB3E206,TORUS_T2_9,torus,CAND_4E9B06832A98A503,CAND_ED4F0FC2ACFAFAA9,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_DFB783B22F40,TORUS_T2_9,torus,CAND_5646EBD8754A6AF9,CAND_CF2F6395B05C9957,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_E411104C0DF3,TORUS_T2_9,torus,CAND_5646EBD8754A6AF9,CAND_BBF31662E0354F01,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_8D5A1A822AD0,TORUS_T2_9,torus,CAND_5646EBD8754A6AF9,CAND_A8FD42A183BEF8B4,0.75,0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_BFA95867F16A,TORUS_T2_9,torus,CAND_5646EBD8754A6AF9,CAND_DB5B5EFF6371C7C5,1.5,1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_CAEC6C043817,TORUS_T2_9,torus,CAND_3C5AF6A3CC10FAB2,CAND_6DE69109F1479625,-1.5,-1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_244FDA4256AC,TORUS_T2_9,torus,CAND_3C5AF6A3CC10FAB2,CAND_2F301E3F31E8849D,-0.75,-0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_3E559ADCD6FD,TORUS_T2_9,torus,CAND_3C5AF6A3CC10FAB2,CAND_4EEB5992064196D5,0.75,0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_4B72761B5B2E,TORUS_T2_9,torus,CAND_3C5AF6A3CC10FAB2,CAND_37AA929719A11DB5,1.5,1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_9A96A0426174,TORUS_T2_9,torus,CAND_9FCEF0293D45FE50,CAND_0F2196C8CBBED9CA,-1.5,-1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_33896FE4DC30,TORUS_T2_9,torus,CAND_9FCEF0293D45FE50,CAND_797800836005EED8,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_615B4C740D37,TORUS_T2_9,torus,CAND_9FCEF0293D45FE50,CAND_8315027330D762F7,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_2F45F43BD960,TORUS_T2_9,torus,CAND_9FCEF0293D45FE50,CAND_C1B1A7AB2366D5E9,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_773FA4E3780B,TORUS_T2_9,torus,CAND_EE2B18E863E3D799,CAND_5FAB4C176B356E20,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_BA6B9ADC4F4F,TORUS_T2_9,torus,CAND_EE2B18E863E3D799,CAND_A084EA2BB166C4AE,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_2829720B4A77,TORUS_T2_9,torus,CAND_EE2B18E863E3D799,CAND_535E1CB3C4A5FB09,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_BF2C6394FFAC,TORUS_T2_9,torus,CAND_EE2B18E863E3D799,CAND_A5E27F0491A54B69,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_52094C7BFF50,TWIST_4_1,twist,CAND_25CFEFE8129BE16B,CAND_69B4E8EB608FCE58,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_155965D9164A,TWIST_4_1,twist,CAND_25CFEFE8129BE16B,CAND_BAE625805980FDDA,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_761C1B6C770C,TWIST_4_1,twist,CAND_25CFEFE8129BE16B,CAND_3DC4A59F501B5CF3,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_61CF83A58606,TWIST_4_1,twist,CAND_25CFEFE8129BE16B,CAND_B570371B68513449,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
