low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
2,18,2,2,2;4,34;36,-0.497730904811903,-0.5451309666332471,0.08695169550555712,0.7485992507364487,0.7485992507364361,0.9999998609376742,23,23,-0.99992745658;-0.99992745658,-0.999919172634;-0.999919172634,8.283945972520357e-06,39.750657908843124,7.215510950179689,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8361167613504542,False,False
3,19,2,2,3;5,35;37,0.497730904811903,0.5451309666332471,0.08695169550555712,0.7485992507364487,0.7485992507364361,0.9999998609376742,23,23,0.99992745658;0.99992745658,0.999919172634;0.999919172634,8.283945972520357e-06,39.750657908843124,7.215510950179689,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8361167613504542,False,False
44,46,2,2,84;86,90;92,-0.006654019897356843,-0.047477491155209696,0.8598489571488931,0.9383282014598098,0.937567078062874,0.8214714585430981,9,8,0.65692757118;0.65692757118,0.987949973239;0.987949973239,0.3310224020593351,1.5264507894631363,1.451584231586234,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.7893874419393263,False,False
45,47,2,2,85;87,91;93,0.006654019897356843,0.047477491155209696,0.8598489571488931,0.9383282014598098,0.937567078062874,0.8214714585430981,9,8,-0.65692757118;-0.65692757118,-0.987949973239;-0.987949973239,0.3310224020593351,1.5264507894631363,1.451584231586234,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.7893874419393263,False,False
27,52,2,2,51;53,102;103,0.07201322003480526,-0.0,1.0,0.7156633249130679,0.7156633249130672,0.980043185397302,11,11,0.994433880944;0.994433880944,-2.18448260962e-15;2.18448260962e-15,0.9944338809436604,1.0306838963630007,1.0873746381442815,oscillatory,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.6744087912971662,False,False
26,55,2,2,50;52,108;109,-0.07201322003480526,-0.0,1.0,0.7156633249130674,0.7156633249130658,0.9800431853973026,11,11,-0.994433880944;-0.994433880944,-3.98201019905e-15;3.98201019905e-15,0.9944338809436621,1.0306838963630007,5.942391906919313,oscillatory,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.6744087912971661,False,False
0,16,1,2,0,30;32,-0.5016627461724635,-0.5907722363168098,0.15083560916793,0.4920952508069315,0.4920952508069315,1.0,23,24,-0.99992901561,-0.999933177596;-0.999933177596,inf,1.0000709894287692,45.329712113060474,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.6726318091089694,False,False
1,17,1,2,1,31;33,0.5016627461724635,0.5907722363168098,0.15083560916793,0.4920952508069315,0.4920952508069315,1.0,23,24,0.99992901561,0.999933177596;0.999933177596,inf,1.0000709894287692,45.329712113060474,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.6726318091089694,False,False
39,56,2,2,76;78,110;112,-0.008414716550692458,-0.03610322469059935,0.7669261784008036,0.2634575011973886,0.26345750119738004,0.775593696858365,9,9,-0.738402302491;-0.738402302491,0.978806944583;0.978806944583,1.717209247074192,1.3561681117356268,1.9429223659173265,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.38693399817290386,False,False
40,57,2,2,77;79,111;113,0.008414716550692458,0.03610322469059935,0.7669261784008036,0.2634575011973886,0.26345750119738004,0.775593696858365,9,9,0.738402302491;0.738402302491,-0.978806944583;-0.978806944583,1.717209247074192,1.3561681117356268,1.9429223659173265,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.38693399817290386,False,False
28,53,2,2,54;56,104;106,-0.03835367189888673,-0.018398948932960735,0.5202819437610406,0.09680656153878933,0.09680656153878897,0.8446055998211748,10,9,-0.980530387035;-0.980530387035,0.923569786291;0.923569786291,1.9041001733260363,1.0217422220835637,1.0878515238175024,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.3411930453144112,False,False
29,54,2,2,55;57,105;107,0.03835367189888673,0.018398948932960735,0.5202819437610406,0.09680656153878933,0.09680656153878897,0.8446055998211748,10,9,0.980530387035;0.980530387035,-0.923569786291;-0.923569786291,1.9041001733260363,1.0217422220835637,1.0878515238175024,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.3411930453144112,False,False
