low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
72,92,1,1,82,108,-0.014846153432676324,-0.022151879792053505,0.32980164338007767,0.698595462010244,0.698595462010244,0.7709403268353864,6,4,0.0109740911262,0.004072307666,0.006901783460253642,1.421278481372633,1.7354848474769273,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7124221124079814,False,False
73,93,1,1,83,109,0.014846153432676324,0.022151879792053505,0.32980164338007767,0.698595462010244,0.698595462010244,0.7709403268353864,6,4,-0.0109740911262,-0.004072307666,0.006901783460253642,1.421278481372633,1.7354848474769273,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7124221124079814,False,False
34,84,1,1,44,100,-0.23685442040215848,-0.09291168538605925,0.6077266143975562,0.7144660448292416,0.7144660448292416,0.8888008592309602,13,13,-0.671128577725,-0.0759671734184,0.5951614043069159,1.4815438443378048,3.3063671386136515,oscillatory,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7097208495456516,False,False
35,85,1,1,45,101,0.23685442040215848,0.09291168538605925,0.6077266143975562,0.7144660448292416,0.7144660448292416,0.8888008592309602,13,13,0.671128577725,0.0759671734184,0.5951614043069159,1.4815438443378048,3.3063671386136515,oscillatory,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7097208495456516,False,False
80,98,1,1,90,114,-0.06250970553374192,-0.07726653698030396,0.19098605972626553,0.6404336120659325,0.6404336120659325,0.7812157188405138,4,10,0.327733244296,0.493360205758,0.1656269614626904,2.507216451462453,2.1391394122129603,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7009161879907482,False,False
81,99,1,1,91,115,0.06250970553374192,0.07726653698030396,0.19098605972626553,0.6404336120659325,0.6404336120659325,0.7812157188405138,4,10,-0.327733244296,-0.493360205758,0.1656269614626904,2.507216451462453,2.1391394122129603,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7009161879907482,False,False
54,70,1,1,64,86,-0.0,-0.022991309305745722,1.0,0.7568883055955429,0.7568883055955429,0.9230069752808724,9,3,0,-0.00735007036663,0.007350070366631295,1.4108637365067858,1.1742299923629018,real_dominant,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.6848847271775438,False,False
55,73,1,1,65,89,-0.0,0.02299130930574572,1.0,0.756888305595535,0.756888305595535,0.9230069752808722,9,3,0,0.00735007036663,0.007350070366630226,1.410863736506768,1.1742299923628992,real_dominant,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.684884727177539,False,False
78,100,1,1,88,116,-0.014326645865747556,-0.05716242153714438,0.7493695074405125,0.7058306121611998,0.7058306121611998,0.8463855396046748,0,4,0.0637803583375,0.394626673327,0.330846314989292,2.458850497214973,2.4172511125593443,mixed,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.6726893260818118,False,False
79,101,1,1,89,117,0.014326645865747556,0.05716242153714438,0.7493695074405125,0.7058306121611998,0.7058306121611998,0.8463855396046748,0,4,-0.0637803583375,-0.394626673327,0.330846314989292,2.458850497214973,2.4172511125593443,mixed,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.6726893260818118,False,False
