id,kind,crossings,family,ordinal,table,dataset,relpath,page_url,pd,gauss,dt,conway,braid
8_17,knot,8,,17,Rolfsen,Rolfsen,knots/08/8_17,https://katlas.org/wiki/8_17,"X<sub>6271</sub> X<sub>14,8,15,7</sub> X<sub>8394</sub> X<sub>2,13,3,14</sub> X<sub>12,5,13,6</sub> X<sub>4,9,5,10</sub> X<sub>16,12,1,11</sub> X<sub>10,16,11,15</sub>","1, -4, 3, -6, 5, -1, 2, -3, 6, -8, 7, -5, 4, -2, 8, -7",6 8 12 14 4 16 2 10,<nowiki>[.2.2]</nowiki>,"<math>\textrm{BR}(3,\{-1,-1,2,-1,2,-1,2,2\})</math>"
8_18,knot,8,,18,Rolfsen,Rolfsen,knots/08/8_18,https://katlas.org/wiki/8_18,"X<sub>6271</sub> X<sub>8394</sub> X<sub>16,11,1,12</sub> X<sub>2,14,3,13</sub> X<sub>4,15,5,16</sub> X<sub>10,6,11,5</sub> X<sub>12,7,13,8</sub> X<sub>14,10,15,9</sub>","1, -4, 2, -5, 6, -1, 7, -2, 8, -6, 3, -7, 4, -8, 5, -3",6 8 10 12 14 16 2 4,<nowiki>[8*]</nowiki>,"<math>\textrm{BR}(3,\{-1,2,-1,2,-1,2,-1,2\})</math>"
9_1,knot,9,,1,Rolfsen,Rolfsen,knots/09/9_1,https://katlas.org/wiki/9_1,"X<sub>1,10,2,11</sub> X<sub>3,12,4,13</sub> X<sub>5,14,6,15</sub> X<sub>7,16,8,17</sub> X<sub>9,18,10,1</sub> X<sub>11,2,12,3</sub> X<sub>13,4,14,5</sub> X<sub>15,6,16,7</sub> X<sub>17,8,18,9</sub>","-1, 6, -2, 7, -3, 8, -4, 9, -5, 1, -6, 2, -7, 3, -8, 4, -9, 5",10 12 14 16 18 2 4 6 8,<nowiki>[9]</nowiki>,"<math>\textrm{BR}(2,\{-1,-1,-1,-1,-1,-1,-1,-1,-1\})</math>"
9_2,knot,9,,2,Rolfsen,Rolfsen,knots/09/9_2,https://katlas.org/wiki/9_2,"X<sub>1425</sub> X<sub>3,12,4,13</sub> X<sub>5,18,6,1</sub> X<sub>7,16,8,17</sub> X<sub>9,14,10,15</sub> X<sub>13,10,14,11</sub> X<sub>15,8,16,9</sub> X<sub>17,6,18,7</sub> X<sub>11,2,12,3</sub>","-1, 9, -2, 1, -3, 8, -4, 7, -5, 6, -9, 2, -6, 5, -7, 4, -8, 3",4 12 18 16 14 2 10 8 6,<nowiki>[72]</nowiki>,"<math>\textrm{BR}(5,\{-1,-1,-1,-2,1,-2,-3,2,-3,-4,3,-4\})</math>"
9_35,knot,9,,35,Rolfsen,Rolfsen,knots/09/9_35,https://katlas.org/wiki/9_35,"X<sub>1829</sub> X<sub>7,14,8,15</sub> X<sub>5,16,6,17</sub> X<sub>9,18,10,1</sub> X<sub>15,6,16,7</sub> X<sub>17,10,18,11</sub> X<sub>13,2,14,3</sub> X<sub>3,12,4,13</sub> X<sub>11,4,12,5</sub>","-1, 7, -8, 9, -3, 5, -2, 1, -4, 6, -9, 8, -7, 2, -5, 3, -6, 4",8 12 16 14 18 4 2 6 10,"<nowiki>[3,3,3]</nowiki>","<math>\textrm{BR}(5,\{-1,-1,-2,1,-2,-2,-3,2,2,-4,3,-2,-4,-3\})</math>"
L2a1,link,2,alternating,1,Thistlethwaite,Links,links/02/L2a1,https://katlas.org/wiki/L2a1,X<sub>4132</sub> X<sub>2314</sub>,"{1, -2}, {2, -1}",,,
L4a1,link,4,alternating,1,Thistlethwaite,Links,links/04/L4a1,https://katlas.org/wiki/L4a1,X<sub>6172</sub> X<sub>8354</sub> X<sub>2536</sub> X<sub>4718</sub>,"{1, -3, 2, -4}, {3, -1, 4, -2}",,,
L5a1,link,5,alternating,1,Thistlethwaite,Links,links/05/L5a1,https://katlas.org/wiki/L5a1,"X<sub>6172</sub> X<sub>10,7,5,8</sub> X<sub>4516</sub> X<sub>2,10,3,9</sub> X<sub>8493</sub>","{1, -4, 5, -3}, {3, -1, 2, -5, 4, -2}",,,
L6a3,link,6,alternating,3,Thistlethwaite,Links,links/06/L6a3,https://katlas.org/wiki/L6a3,"X<sub>8192</sub> X<sub>2,9,3,10</sub> X<sub>10,3,11,4</sub> X<sub>12,5,7,6</sub> X<sub>6718</sub> X<sub>4,11,5,12</sub>","{1, -2, 3, -6, 4, -5}, {5, -1, 2, -3, 6, -4}",,,
L6a4,link,6,alternating,4,Thistlethwaite,Links,links/06/L6a4,https://katlas.org/wiki/L6a4,"X<sub>6172</sub> X<sub>12,8,9,7</sub> X<sub>4,12,1,11</sub> X<sub>10,5,11,6</sub> X<sub>8453</sub> X<sub>2,9,3,10</sub>","{1, -6, 5, -3}, {4, -1, 2, -5}, {6, -4, 3, -2}",,,
L6a5,link,6,alternating,5,Thistlethwaite,Links,links/06/L6a5,https://katlas.org/wiki/L6a5,"X<sub>6172</sub> X<sub>10,3,11,4</sub> X<sub>12,7,9,8</sub> X<sub>8,11,5,12</sub> X<sub>2536</sub> X<sub>4,9,1,10</sub>","{1, -5, 2, -6}, {5, -1, 3, -4}, {6, -2, 4, -3}",,,
L6n1,link,6,nonalternating,1,Thistlethwaite,Links,links/06/L6n1,https://katlas.org/wiki/L6n1,"X<sub>6172</sub> X<sub>12,8,9,7</sub> X<sub>4,12,1,11</sub> X<sub>5,11,6,10</sub> X<sub>3845</sub> X<sub>9,3,10,2</sub>","{1, 6, -5, -3}, {-4, -1, 2, 5}, {-6, 4, 3, -2}",,,
L7a1,link,7,alternating,1,Thistlethwaite,Links,links/07/L7a1,https://katlas.org/wiki/L7a1,"X<sub>6172</sub> X<sub>12,7,13,8</sub> X<sub>4,13,1,14</sub> X<sub>10,6,11,5</sub> X<sub>8493</sub> X<sub>14,10,5,9</sub> X<sub>2,12,3,11</sub>","{1, -7, 5, -3}, {4, -1, 2, -5, 6, -4, 7, -2, 3, -6}",,,
L7a2,link,7,alternating,2,Thistlethwaite,Links,links/07/L7a2,https://katlas.org/wiki/L7a2,"X<sub>6172</sub> X<sub>10,3,11,4</sub> X<sub>14,11,5,12</sub> X<sub>12,7,13,8</sub> X<sub>8,13,9,14</sub> X<sub>2536</sub> X<sub>4,9,1,10</sub>","{1, -6, 2, -7}, {6, -1, 4, -5, 7, -2, 3, -4, 5, -3}",,,
L7n2,link,7,nonalternating,2,Thistlethwaite,Links,links/07/L7n2,https://katlas.org/wiki/L7n2,"X<sub>6172</sub> X<sub>12,7,13,8</sub> X<sub>13,1,14,4</sub> X<sub>5,10,6,11</sub> X<sub>3849</sub> X<sub>9,14,10,5</sub> X<sub>2,12,3,11</sub>","{1, -7, -5, 3}, {-4, -1, 2, 5, -6, 4, 7, -2, -3, 6}",,,
L8a14,link,8,alternating,14,Thistlethwaite,Links,links/08/L8a14,https://katlas.org/wiki/L8a14,"X<sub>10,1,11,2</sub> X<sub>2,11,3,12</sub> X<sub>12,3,13,4</sub> X<sub>14,5,15,6</sub> X<sub>16,7,9,8</sub> X<sub>8,9,1,10</sub> X<sub>4,13,5,14</sub> X<sub>6,15,7,16</sub>","{1, -2, 3, -7, 4, -8, 5, -6}, {6, -1, 2, -3, 7, -4, 8, -5}",,,
L9a28,link,9,alternating,28,Thistlethwaite,Links,links/09/L9a28,https://katlas.org/wiki/L9a28,"X<sub>8192</sub> X<sub>2,9,3,10</sub> X<sub>10,3,11,4</sub> X<sub>14,5,15,6</sub> X<sub>18,16,7,15</sub> X<sub>16,12,17,11</sub> X<sub>12,18,13,17</sub> X<sub>6718</sub> X<sub>4,13,5,14</sub>","{1, -2, 3, -9, 4, -8}, {8, -1, 2, -3, 6, -7, 9, -4, 5, -6, 7, -5}",,,
L9a32,link,9,alternating,32,Thistlethwaite,Links,links/09/L9a32,https://katlas.org/wiki/L9a32,"X<sub>8192</sub> X<sub>12,3,13,4</sub> X<sub>18,13,7,14</sub> X<sub>14,9,15,10</sub> X<sub>10,17,11,18</sub> X<sub>16,5,17,6</sub> X<sub>2738</sub> X<sub>4,11,5,12</sub> X<sub>6,15,1,16</sub>","{1, -7, 2, -8, 6, -9}, {7, -1, 4, -5, 8, -2, 3, -4, 9, -6, 5, -3}",,,
