a,b,raw_indexed_normalized_rms,shape_arclength_phase_normalized_rms,best_phase_shift,orientation_reversed,family,category
velmag__0p025,velmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p025,velmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p05,velmag__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p05,velmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p05,velmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p1,velmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p1,velmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p2,velmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
tanforce__off,tanforce__on,0.7610525522316824,0.043667576198020704,71,False,tanforce,secondary_force
tanmag__0p025,tanmag__0p05,0.5051121770811842,0.014925043191779789,18,False,tanmag,secondary_force
tanmag__0p025,tanmag__0p1,0.9624096347704889,0.033105582324089444,54,False,tanmag,secondary_force
tanmag__0p025,tanmag__0p2,0.5854350500313925,0.0622853725095927,79,False,tanmag,secondary_force
tanmag__0p025,tanmag__0p4,0.5581726497076904,0.08598341181869912,80,False,tanmag,secondary_force
tanmag__0p05,tanmag__0p1,0.8721503361359182,0.021072179975679818,36,False,tanmag,secondary_force
tanmag__0p05,tanmag__0p2,0.8993435612685198,0.0524696706956782,62,False,tanmag,secondary_force
tanmag__0p05,tanmag__0p4,0.8838134267564232,0.0742385390422672,63,False,tanmag,secondary_force
tanmag__0p1,tanmag__0p2,0.6813003187604085,0.033263490910626345,26,False,tanmag,secondary_force
tanmag__0p1,tanmag__0p4,0.7039448111977089,0.05367475826863108,27,False,tanmag,secondary_force
tanmag__0p2,tanmag__0p4,0.04122443125062247,0.023999601405569015,1,False,tanmag,secondary_force
endforce__off,endforce__on,3.45118006623091e-16,5.322897078519917e-16,0,False,endforce,secondary_force
symmforce__off,symmforce__on,0.004073887439645197,0.0042091185062043705,0,False,symmforce,secondary_force
syfmag__0p25,syfmag__0p5,0.0010226253545578751,0.0010536348777300626,0,False,syfmag,secondary_force
syfmag__0p25,syfmag__1,0.0029259719228281254,0.003025805840659803,0,False,syfmag,secondary_force
syfmag__0p25,syfmag__2,0.006641848366264826,0.006886594468180834,0,False,syfmag,secondary_force
syfmag__0p25,syfmag__4,0.01398267895002585,0.014520156169576188,0,False,syfmag,secondary_force
syfmag__0p5,syfmag__1,0.0019145884990174704,0.0019828363817449408,0,False,syfmag,secondary_force
syfmag__0p5,syfmag__2,0.005644329163053545,0.005856749084176268,0,False,syfmag,secondary_force
syfmag__0p5,syfmag__4,0.01299422406683801,0.013498844407887402,0,False,syfmag,secondary_force
syfmag__1,syfmag__2,0.0037353636041057028,0.003879256995919698,0,False,syfmag,secondary_force
syfmag__1,syfmag__4,0.011089983175520101,0.011525824632205882,0,False,syfmag,secondary_force
syfmag__2,syfmag__4,0.007356608914450365,0.007648438989577068,0,False,syfmag,secondary_force
sytmag__0p25,sytmag__0p5,0.0009241752124020063,0.0009308239857261375,0,False,sytmag,secondary_force
sytmag__0p25,sytmag__1,0.002770074328104106,0.0027899804775097926,0,False,sytmag,secondary_force
sytmag__0p25,sytmag__2,0.0064516877906538594,0.006498154235970612,0,False,sytmag,secondary_force
sytmag__0p25,sytmag__4,0.013774928175813122,0.013873216638597984,0,False,sytmag,secondary_force
sytmag__0p5,sytmag__1,0.001845902430236862,0.0018591595220662964,0,False,sytmag,secondary_force
sytmag__0p5,sytmag__2,0.0055275315727991185,0.005567347866958804,0,False,sytmag,secondary_force
sytmag__0p5,sytmag__4,0.012850841382869972,0.012942474433592902,0,False,sytmag,secondary_force
sytmag__1,sytmag__2,0.003681650478458838,0.003708207714105342,0,False,sytmag,secondary_force
sytmag__1,sytmag__4,0.011005077015211464,0.011083442023839473,0,False,sytmag,secondary_force
sytmag__2,sytmag__4,0.007323579210018372,0.0073753756173783915,0,False,sytmag,secondary_force
syrmag__0p25,syrmag__0p5,0.0003951533597629125,0.0004248823749437206,0,False,syrmag,secondary_force
syrmag__0p25,syrmag__1,0.0010676885900750164,0.00116202483804086,0,False,syrmag,secondary_force
syrmag__0p25,syrmag__2,0.0023667378622013843,0.002591470820210485,0,False,syrmag,secondary_force
syrmag__0p25,syrmag__4,0.004952980966476252,0.005420296976945766,0,False,syrmag,secondary_force
syrmag__0p5,syrmag__1,0.0006900052149623696,0.0007531073502497968,0,False,syrmag,secondary_force
syrmag__0p5,syrmag__2,0.002014422951949059,0.0022054359376346908,0,False,syrmag,secondary_force
syrmag__0p5,syrmag__4,0.004618853393778066,0.005050692019900576,0,False,syrmag,secondary_force
syrmag__1,syrmag__2,0.0013362112845074871,0.0014629521786115164,0,False,syrmag,secondary_force
syrmag__1,syrmag__4,0.003951519373956842,0.00431807116257273,0,False,syrmag,secondary_force
syrmag__2,syrmag__4,0.002620219270079323,0.0028596022577302926,0,False,syrmag,secondary_force
gravity__off,gravity__on,3.45118006623091e-16,5.322897078519917e-16,0,False,gravity,secondary_force
grastrength__0p0025,grastrength__0p005,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p0025,grastrength__0p01,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p0025,grastrength__0p02,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p0025,grastrength__0p04,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p005,grastrength__0p01,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p005,grastrength__0p02,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p005,grastrength__0p04,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p01,grastrength__0p02,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p01,grastrength__0p04,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
grastrength__0p02,grastrength__0p04,3.45118006623091e-16,5.322897078519917e-16,0,False,grastrength,secondary_force
cradius__0p05,cradius__0p075,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p05,cradius__0p15,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p05,cradius__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p05,cradius__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p075,cradius__0p15,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p075,cradius__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p075,cradius__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p15,cradius__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p15,cradius__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
cradius__0p1,cradius__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cradius,geometry_control
bead-radius__0p09,bead-radius__0p135,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p09,bead-radius__0p18,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p09,bead-radius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p09,bead-radius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p135,bead-radius__0p18,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p135,bead-radius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p135,bead-radius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p18,bead-radius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p18,bead-radius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bead-radius__0p27,bead-radius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bead-radius,geometry_control
bradius__0p09,bradius__0p135,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p09,bradius__0p18,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p09,bradius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p09,bradius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p135,bradius__0p18,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p135,bradius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p135,bradius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p18,bradius__0p27,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p18,bradius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
bradius__0p27,bradius__0p36,3.45118006623091e-16,5.322897078519917e-16,0,False,bradius,geometry_control
stusplit__0,stusplit__1,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stusplit__0,stusplit__2,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stusplit__0,stusplit__4,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stusplit__1,stusplit__2,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stusplit__1,stusplit__4,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stusplit__2,stusplit__4,3.45118006623091e-16,5.322897078519917e-16,0,False,stusplit,discretization
stuthresh__0p075,stuthresh__0p15,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p075,stuthresh__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p075,stuthresh__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p075,stuthresh__0p3,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p15,stuthresh__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p15,stuthresh__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p15,stuthresh__0p3,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p1,stuthresh__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p1,stuthresh__0p3,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
stuthresh__0p2,stuthresh__0p3,3.45118006623091e-16,5.322897078519917e-16,0,False,stuthresh,discretization
minsplitfactor__1p25,minsplitfactor__1p5,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p25,minsplitfactor__2,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p25,minsplitfactor__3,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p25,minsplitfactor__4,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p5,minsplitfactor__2,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p5,minsplitfactor__3,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__1p5,minsplitfactor__4,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__2,minsplitfactor__3,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__2,minsplitfactor__4,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
minsplitfactor__3,minsplitfactor__4,3.45118006623091e-16,5.322897078519917e-16,0,False,minsplitfactor,discretization
spring-length__0p7,spring-length__1,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__0p7,spring-length__1p4,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__0p7,spring-length__2,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__0p7,spring-length__2p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__1,spring-length__1p4,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__1,spring-length__2,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__1,spring-length__2p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__1p4,spring-length__2,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__1p4,spring-length__2p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
spring-length__2,spring-length__2p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spring-length,special_dynamics
cent-potential__0,cent-potential__0p025,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0,cent-potential__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0,cent-potential__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0,cent-potential__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p025,cent-potential__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p025,cent-potential__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p025,cent-potential__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p05,cent-potential__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p05,cent-potential__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
cent-potential__0p1,cent-potential__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,cent-potential,special_dynamics
zforce__0,zforce__0p025,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0,zforce__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0,zforce__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0,zforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p025,zforce__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p025,zforce__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p025,zforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p05,zforce__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p05,zforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
zforce__0p1,zforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,zforce,special_dynamics
Kzforce__0p025,Kzforce__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
