mode,n_points,q_core,omega_core,omega2_core,growth_core,max_growth_core,frequency_source,linearization_eps_rel_error,gram_condition,track_omega_core,track_growth_core,phase_r2,n_steps,dt_core,t_final_core,omega_rad_s,frequency_hz,linear_eigenvalues,linear_eigenvalues_half_eps,linear_matrix,blind_id
2,192,0.005944322957225228,0.0007058475225042671,4.982207250254118e-07,0.000414108815569776,0.003978536602910653,projected_linear_operator,9.586251940371941e-05,1.0000000000000004,-12.744683775220699,-1.065521960909445,0.9264613759027058,16,0.003125,0.05,5.479805352711045e+17,8.721381090653898e+16,"[[-0.0032251756832404064, 0.0], [0.003978536602910653, 0.0], [0.000414108815569776, 0.0007058475225042671], [0.000414108815569776, -0.0007058475225042671]]","[[-0.0032252185697275197, 0.0], [0.0039785763723979945, 0.0], [0.0004140828844252051, 0.0007057798581824449], [0.0004140828844252051, -0.0007057798581824449]]","[[-0.0017769061021092412, 0.0002414624815245713, -0.00018683239155151273, 0.0015018901159145372], [-0.0012277065766536986, -0.00011753898607889485, 0.0007042781246485797, 0.0015673310794092816], [0.0023859473154072366, -3.820675459975068e-05, 0.0008884712664482227, -0.0003137326950124638], [-0.0014949366310371155, 0.0062801543639799595, -0.002013773454093816, 0.002587552372549715]]",B15880EDE00D1EB7B
3,192,0.008916484435837842,0.0,0.0,-0.0020745555167109206,0.00098712446104018,projected_linear_operator,0.0,1.0000000000000002,-16.2966741927734,0.6531173755429458,0.9237783959053739,16,0.003125,0.05,0.0,0.0,"[[-0.0020745555167109206, 0.0], [-0.0007105554227631652, 0.0], [0.0009300310648838913, 0.0], [0.00098712446104018, 0.0]]","[[-0.002074559903495835, 0.0], [-0.0007105446042812418, 0.0], [0.0009300188735074559, 0.0], [0.0009871361070733047, 0.0]]","[[-0.0005302718231742325, 0.0009953506432428163, 0.0021926637684296685, -0.001111408226971246], [0.0007424960864186694, -0.001722486637892245, -0.001832206287402261, 0.0007038077247304907], [0.0008359691745003588, 0.000279542848122255, -5.790110952188923e-05, 0.0005340339893691999], [0.0006373028346224891, -0.0003028985008276462, -0.0009003252355924248, 0.0014427041570383528]]",B15880EDE00D1EB7B
4,192,0.011888645914450456,0.0009329546063680224,8.704042975433116e-07,-0.00022099724574493334,0.0032122165300110285,projected_linear_operator,1.9585316252064473e-05,1.0000000000000002,-8.613485314171646,1.8273955541287148,0.6815972424847825,16,0.003125,0.05,7.242937720704416e+17,1.1527493407568533e+17,"[[0.0032122165300110285, 0.0], [-0.002797955686692284, 0.0], [-0.00022099724574493334, 0.0009329546063680224], [-0.00022099724574493334, -0.0009329546063680224]]","[[0.003212223348345693, 0.0], [-0.00279797640255195, 0.0], [-0.00022099531926487607, 0.0009329363341570078], [-0.00022099531926487607, -0.0009329363341570078]]","[[-0.0007108995378273107, -7.653667805124388e-05, 0.001533078212933166, 0.0017917806905436238], [0.0008925408027954874, -0.001204548136024324, 0.002889198137946691, 0.00029246808123514084], [0.00270124590372121, -0.00034852001106545346, 0.0023080194018725805, -0.0008025470230430448], [0.0005288891138073354, 0.0015060185182140726, -8.452754912108034e-05, -0.0004203053761920624]]",B15880EDE00D1EB7B
5,192,0.014860807393063072,0.0012235178502740941,1.4969959299393407e-06,0.0018349998302151322,0.0023669237620796936,projected_linear_operator,0.0001676943777721565,1.0000000000000004,-14.270597282636134,-1.4478453435639478,0.9241424376057071,16,0.003125,0.05,9.4987082214048e+17,1.5117663664241994e+17,"[[-0.0034741149516409535, 0.0], [0.0023669237620796936, 0.0], [0.0018349998302151322, 0.0012235178502740941], [0.0018349998302151322, -0.0012235178502740941]]","[[-0.0034741318698947796, 0.0], [0.0023669030471059624, 0.0], [0.0018350137328527263, 0.0012233126732094993], [0.0018350137328527263, -0.0012233126732094993]]","[[-0.001827269001303129, 0.000904485463714342, 0.0018198474736314649, 0.0005280480634866502], [0.0004151371852823446, -0.0002521608543711527, -4.111103576085874e-05, -0.0009484410935848389], [0.003712326513066383, 1.6384411635937753e-05, 0.001016825363419429, -0.0005483718315378039], [0.0009464621364032035, 0.006060063878616664, -6.06539643179934e-05, 0.0036254129631238603]]",B15880EDE00D1EB7B
6,192,0.017832968871675684,0.00048014232425965447,2.3053665154546317e-07,-0.0017698409404786671,0.001573935408843474,projected_linear_operator,3.872613946723762e-05,1.0000000000000002,-14.752875722018013,-0.0798732216764304,0.9338944142957946,16,0.003125,0.05,3.727556440527523e+17,5.932590331639859e+16,"[[0.001573935408843474, 0.0], [-0.0017698409404786671, 0.00048014232425965447], [-0.0017698409404786671, -0.00048014232425965447], [1.0850807624980637e-06, 0.0]]","[[0.0015739469810344847, 0.0], [-0.0017698572395417212, 0.00048012373020104107], [-0.0017698572395417212, -0.00048012373020104107], [1.1121554573998677e-06, 0.0]]","[[-0.0005935928871477591, 7.89856949462659e-05, 0.0010128330041125574, -0.0012632076358833027], [-0.0005496167856147966, -0.0021364740929419365, -0.0018725414110331595, 0.002421996430744692], [0.0018466614393989574, -0.00017031668841470128, 0.0005674189772109094, 0.0016827791011014108], [-7.118790866112079e-05, -0.00036018411506485645, 8.199851499783368e-05, 0.00019798661152742227]]",B15880EDE00D1EB7B
2,192,0.21581789965475412,0.036054781172250756,0.0012999472453788876,0.032073036809467145,0.032073036809467145,projected_linear_operator,1.0868135066817153e-05,1.0000000000000004,-0.4155177517264869,0.21416550300390544,0.28756874689448975,16,0.003125,0.05,2.7990915397359165e+19,4.454892547156755e+18,"[[0.032073036809467145, 0.036054781172250756], [0.032073036809467145, -0.036054781172250756], [-0.02767690493134306, 0.007600119279740867], [-0.02767690493134306, -0.007600119279740867]]","[[0.03207330394529642, 0.03605438932401917], [0.03207330394529642, -0.03605438932401917], [-0.027677367377970698, 0.00759334759381114], [-0.027677367377970698, -0.00759334759381114]]","[[-0.03879290858110572, 0.049916605571498185, -0.016880132673386398, 0.015673405246634423], [0.058323642714021705, -0.01583516674094936, 0.0007184409635964263, -0.06294940620208538], [0.09850262353013606, -0.026806254268749958, 0.016381051764472104, -0.031457525205925006], [-0.014745235200007985, 0.038838422590393114, 0.007461319739773123, 0.04703928731383112]]",B2023FF4546F74A85
3,192,0.32372684948213115,0.06172276475484444,0.0038096996889818674,-0.0345191893852381,0.03400336440173249,projected_linear_operator,1.37188856271928e-05,1.0000000000000002,-0.19966189601980747,1.440608963897083,0.6357261186867905,16,0.003125,0.05,4.791810212604047e+19,7.6264028169416e+18,"[[0.03400336440173249, 0.04916626855722779], [0.03400336440173249, -0.04916626855722779], [-0.0345191893852381, 0.06172276475484444], [-0.0345191893852381, -0.06172276475484444]]","[[0.034003331483731275, 0.04916648594336894], [0.034003331483731275, -0.04916648594336894], [-0.03451894382626053, 0.061723611534011576], [-0.03451894382626053, -0.061723611534011576]]","[[0.013704598638187725, 0.07593136196905798, 0.0736597588644771, -0.021837034661381885], [0.06888069249236967, 0.000540057621784956, -0.018629661123105698, 0.07519995994266324], [-0.05079862110006178, -0.044818071708267564, 0.012291007574729059, -0.007072926938617076], [-0.030202145503693028, -0.10239230700334508, -0.040754116321846, -0.027567313801713015]]",B2023FF4546F74A85
4,192,0.43163579930950824,0.0,0.0,-0.1289796371432846,0.12926386472537146,projected_linear_operator,0.0,1.0000000000000002,0.2739161939100094,-0.4646120565803822,0.7431197885021843,16,0.003125,0.05,0.0,0.0,"[[-0.1289796371432846, 0.0], [-0.0750357922727831, 0.0], [0.12926386472537146, 0.0], [0.07222182159555349, 0.0]]","[[-0.12898015024351267, 0.0], [-0.0750342540682606, 0.0], [0.12926562176742348, 0.0], [0.07222075508148607, 0.0]]","[[-0.02783627866603591, -0.09500030003167821, 0.07609983397760917, 0.06149004003951088], [-0.04213679195672351, -0.0016217897314848109, 0.07392760162157216, 0.04299925295734547], [0.05268552662316894, 0.09867927187624481, 0.027483815061399026, 0.04878464471625097], [0.08745879919080735, -0.09896319504249355, 0.10042212581596235, -0.0005554897590211548]]",B2023FF4546F74A85
5,192,0.5395447491368852,0.07125281959407233,0.005076964300105418,0.019133527360653067,0.019133527360653067,projected_linear_operator,6.314559733562719e-06,1.0000000000000004,-0.9774793680272753,1.0266198421680837,0.28356497833990557,16,0.003125,0.05,5.531670364472966e+19,8.803926820608189e+18,"[[0.019133527360653067, 0.07125281959407233], [0.019133527360653067, -0.07125281959407233], [-0.024891911159963826, 0.0], [-0.015844179774055434, 0.0]]","[[0.019135664995299263, 0.07125236966388682], [0.019135664995299263, -0.07125236966388682], [-0.024893176475736314, 0.0], [-0.01584702970909369, 0.0]]","[[-0.029364159293594063, 0.01707371274128627, 0.05619022420097908, -0.04202433910513478], [-0.04636530927192486, -0.03963441458171087, -0.03199777975559728, 0.12206078310862807], [-0.07188822499490105, 0.009694803718318832, 0.06769152780822316, 0.043041231881234425], [0.005015947594643468, -0.00797178287337146, -0.03389255036787267, -0.0011619901456313495]]",B2023FF4546F74A85
6,192,0.6474536989642623,0.07921749775377246,0.006275411950368945,-2.638450242792821e-05,0.08777217166698302,projected_linear_operator,1.4794973589544312e-05,1.0000000000000004,0.687302513544831,-0.21826461530960803,0.4245208435903517,16,0.003125,0.05,6.150003426793543e+19,9.788034454062877e+18,"[[0.08777217166698302, 0.0], [-2.638450242792821e-05, 0.07921749775377246], [-2.638450242792821e-05, -0.07921749775377246], [-0.08683617829138633, 0.0]]","[[0.08777236498501881, 0.0], [-2.5730716519629937e-05, 0.07921866979189983], [-2.5730716519629937e-05, -0.07921866979189983], [-0.08683634964511064, 0.0]]","[[-0.016862675970779187, -0.03677759718666319, 0.03465480089094603, -0.02155053254574665], [0.0054105223043810005, -0.031955324449119304, -0.023967983192808864, 0.21943537279907058], [-0.14864150676520352, -0.023220048455334857, 0.019935507251438073, -0.030245477642922687], [-0.0214725364304581, 0.02191860891865229, 0.014101393271990836, 0.029765717539201295]]",B2023FF4546F74A85
2,192,0.15439243978428766,0.03164081749870279,0.0010011413319862166,0.0028761143418582435,0.02087065270903964,projected_linear_operator,0.00011115539189733341,1.0000000000000004,-0.17483359133440177,0.21894947109674892,0.6968212482741184,16,0.003125,0.05,2.4564160893898535e+19,3.909507629168582e+18,"[[-0.026939768922324775, 0.0], [0.0028761143418582435, 0.03164081749870279], [0.0028761143418582435, -0.03164081749870279], [0.02087065270903964, 0.0]]","[[-0.02693920352836298, 0.0], [0.002875716981018575, 0.03164433493715406], [0.002875716981018575, -0.03164433493715406], [0.020871029797209038, 0.0]]","[[-0.021053115646933823, -0.005808597232811398, 0.02386331693372688, -0.011847809808123066], [-0.04750447801720984, 0.007882068623291385, -0.004812911958016461, -0.07162201678992908], [0.04556063861461431, 0.0018673844496146627, 0.015442320585382136, 0.05699626142637041], [0.0028709624141175305, 0.02653451248024891, -0.003634778425133095, -0.0025881610913083574]]",B26E217453D31913B
3,192,0.2315886596764315,0.0,0.0,-0.08515849307630442,0.07588918278779669,projected_linear_operator,0.0,1.0000000000000002,-1.4789835794525268,-1.0829235178470582,0.30459745546103734,16,0.003125,0.05,0.0,0.0,"[[-0.08515849307630442, 0.0], [-0.00913666495906269, 0.0], [0.019947510683186377, 0.0], [0.07588918278779669, 0.0]]","[[-0.08515863963776277, 0.0], [-0.00913719712279166, 0.0], [0.019947998822789418, 0.0], [0.0758885810344411, 0.0]]","[[-0.012488627267039079, -0.04325988591357974, -0.0452148023948189, 0.022645355461243872], [-0.007362710131300081, 0.027137383817970814, 0.021236556170813683, 0.03693076095319696], [-0.025165460612855465, 0.03429819457792557, 0.01795022900120339, 0.019342141692001408], [0.04532949205346404, 0.04453313267228945, 0.04140120355985351, -0.031057450116519204]]",B26E217453D31913B
4,192,0.3087848795685753,0.005338369391523332,2.8498187760353188e-05,-0.0024620231605465984,0.07222936722787106,projected_linear_operator,0.0009318292079820132,1.0000000000000002,0.6681851420340377,-0.5865834999160088,0.2835090508125855,16,0.003125,0.05,4.144411396760483e+18,6.59603560000817e+17,"[[0.07222936722787106, 0.0], [-0.0024620231605465984, 0.005338369391523332], [-0.0024620231605465984, -0.005338369391523332], [-0.0670451549699441, 0.0]]","[[0.07222939668191139, 0.0], [-0.0024620477743978984, 0.005333394943001313], [-0.0024620477743978984, -0.005333394943001313], [-0.06704507213527258, 0.0]]","[[0.05099426213385887, -0.04406123357027976, 0.023639494368779154, -0.012583203463526085], [-0.06379601492878893, 0.006388680897431732, -0.013501442762273698, 0.0186697209890129], [-0.06330153401639116, -0.005883453322567617, -0.05173659156342299, 0.05116274422440128], [-0.013355299928177565, -0.08364248818107392, 0.04221337396468472, -0.005386185531033993]]",B26E217453D31913B
5,192,0.3859810994607191,0.1388116813583952,0.01926868288154464,0.0011052636918513735,0.18216492338107032,projected_linear_operator,1.2305623260606324e-06,1.0000000000000004,-0.5380902703416275,0.8270010033319755,0.7935325084584576,16,0.003125,0.05,1.0776562504998458e+20,1.7151431922092825e+19,"[[0.18216492338107032, 0.0], [0.0011052636918513735, 0.1388116813583952], [0.0011052636918513735, -0.1388116813583952], [-0.17845496889281195, 0.0]]","[[0.1821646369808241, 0.0], [0.0011055426825112673, 0.1388118521750309], [0.0011055426825112673, -0.1388118521750309], [-0.17845368864661382, 0.0]]","[[0.10524226583239342, 0.005127099667574823, 0.19303535333451458, 0.0706792273629639], [-0.039126350847232996, -0.1270844718477765, 0.08068198220673534, 0.10370007884595742], [-0.049680221526878045, 0.07074306179901874, -0.1002740329346986, 0.053422791737616084], [0.07946618793087198, -0.14278746160973482, -0.005920105484247051, 0.12803672082204273]]",B26E217453D31913B
6,192,0.463177319352863,0.04233469219281686,0.0017922261630605488,-0.0020959367633344448,0.0869702721318468,projected_linear_operator,3.4091571101485346e-05,1.0000000000000004,-1.013557712559489,1.462647068011295,0.8257361067173719,16,0.003125,0.05,3.2866287050284274e+19,5.23083204512989e+18,"[[-0.09349939813725308, 0.0], [-0.0020959367633344448, 0.04233469219281686], [-0.0020959367633344448, -0.04233469219281686], [0.0869702721318468, 0.0]]","[[-0.09349980146667967, 0.0], [-0.002096115425684761, 0.04233324893664791], [-0.002096115425684761, -0.04233324893664791], [0.08697016763552319, 0.0]]","[[-0.001111679498934292, -0.11071178720783735, 0.16654031456357213, -0.023518628887034793], [-0.03819667024243575, 0.005297791537282815, -0.028487044835792764, 0.006399430902467682], [-0.02036150827965321, -0.03520704882897195, -8.778242366984725e-05, 0.03817757421375765], [-0.03861826971677823, -0.15270369475273704, 0.11705567930310969, -0.014819329146753922]]",B26E217453D31913B
