cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
61,1,85,oscillatory,0.9244704697491843,-8.44161795125698e-17,22,0.991933824506,1.0104577348368202,1.0104577348368202,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
62,1,86,oscillatory,-0.889434055026967,-8.44161795125698e-17,23,-0.994365597238,1.012726059326784,1.012726059326784,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
63,1,87,oscillatory,0.889434055026967,-8.44161795125698e-17,23,0.994365597238,1.012726059326784,1.012726059326784,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
64,1,88,oscillatory,-0.856710946885107,2.3214449365956695e-16,24,-0.990288250088,1.0124792716361322,1.0124792716361322,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
65,1,89,oscillatory,0.856710946885107,2.3214449365956695e-16,24,0.990288250088,1.0124792716361322,1.0124792716361322,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
66,1,90,oscillatory,-0.820953407495186,-4.22080897562849e-17,22,-0.993489428969,1.0140859223101366,1.0140859223101366,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
67,1,91,oscillatory,0.820953407495186,-4.22080897562849e-17,22,0.993489428969,1.0140859223101366,1.0140859223101366,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
68,1,92,oscillatory,-0.7872497856966703,4.2208089756284903e-16,23,-0.987959827332,1.0152312542467792,1.0152312542467792,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
69,1,93,oscillatory,0.7872497856966703,4.2208089756284903e-16,23,0.987959827332,1.0152312542467792,1.0152312542467792,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
70,1,94,oscillatory,-0.7511617356823669,-2.110404487814245e-17,24,-0.992337475691,1.0157273784996264,1.0157273784996264,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
71,1,95,oscillatory,0.7511617356823669,-2.110404487814245e-17,24,0.992337475691,1.0157273784996264,1.0157273784996264,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
72,1,96,oscillatory,-0.7165333615260103,-4.22080897562849e-17,24,-0.984925931666,1.0187470355176873,1.0187470355176873,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
73,1,97,oscillatory,0.7165333615260103,-4.22080897562849e-17,24,0.984925931666,1.0187470355176873,1.0187470355176873,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
74,1,98,oscillatory,-0.6803554807504739,-8.837318792722151e-17,23,-0.990866541696,1.0177938904593997,1.0177938904593997,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
75,1,99,oscillatory,0.6803554807504739,-8.837318792722151e-17,23,0.990866541696,1.0177938904593997,1.0177938904593997,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
76,1,100,oscillatory,-0.6447793894116353,-8.44161795125698e-17,23,-0.980211862098,1.0240517989432711,1.0240517989432711,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
77,1,101,oscillatory,0.6447793894116353,-8.44161795125698e-17,23,0.980211862098,1.0240517989432711,1.0240517989432711,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
78,1,102,oscillatory,-0.6088916748642555,-1.0552022439071226e-16,22,-0.988827802135,1.020396973988253,1.020396973988253,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
79,1,103,oscillatory,0.6088916748642555,-1.0552022439071226e-16,22,0.988827802135,1.020396973988253,1.020396973988253,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
80,1,104,oscillatory,-0.5726029025894727,1.266242692688547e-16,22,-0.973883231754,1.031098829495877,1.031098829495877,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
81,1,105,oscillatory,0.5726029025894727,1.266242692688547e-16,22,0.973883231754,1.031098829495877,1.031098829495877,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
82,1,106,oscillatory,-0.5376159390967293,-5.276011219535612e-16,21,-0.986129661798,1.023812119228926,1.023812119228926,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
83,1,107,oscillatory,0.5376159390967293,-5.276011219535612e-16,21,0.986129661798,1.023812119228926,1.023812119228926,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
84,1,108,oscillatory,-0.4999070202793379,6.331213463442735e-17,21,-0.962503928559,1.043712393860542,1.043712393860542,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
85,1,109,oscillatory,0.4999070202793379,6.331213463442735e-17,21,0.962503928559,1.043712393860542,1.043712393860542,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
86,1,110,oscillatory,-0.46603563557743677,-2.2686848244003134e-16,20,-0.9820826754,1.0285118063529908,1.0285118063529908,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
87,1,111,oscillatory,0.46603563557743677,-2.2686848244003134e-16,20,0.9820826754,1.0285118063529908,1.0285118063529908,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
88,1,112,oscillatory,-0.4277275575783953,1.688323590251396e-16,20,-0.946492521634,1.0615730128870091,1.0615730128870091,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
89,1,113,oscillatory,0.4277275575783953,1.688323590251396e-16,20,0.946492521634,1.0615730128870091,1.0615730128870091,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
90,1,114,oscillatory,-0.3965477110790621,-2.3742050487910256e-16,19,-0.976469698852,1.0350299570189034,1.0350299570189034,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
91,1,115,oscillatory,0.3965477110790621,-2.3742050487910256e-16,19,0.976469698852,1.0350299570189034,1.0350299570189034,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
92,1,116,oscillatory,-0.3545126219443109,-1.0552022439071224e-17,19,-0.909486652222,1.1050348487589619,1.1050348487589619,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
93,1,117,oscillatory,0.3545126219443109,-1.0552022439071224e-17,19,0.909486652222,1.1050348487589619,1.1050348487589619,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
94,1,118,oscillatory,-0.3261075692475246,2.0048842634235327e-16,18,-0.966861077734,1.045601869983332,1.045601869983332,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
95,1,119,oscillatory,0.3261075692475246,2.0048842634235327e-16,18,0.966861077734,1.045601869983332,1.045601869983332,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
96,1,120,oscillatory,-0.2825034582037238,-1.266242692688547e-16,18,-0.847206986884,1.1839381087638337,1.1839381087638337,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
97,1,121,oscillatory,0.2825034582037238,-1.266242692688547e-16,18,0.847206986884,1.1839381087638337,1.1839381087638337,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
98,1,122,oscillatory,-0.26113727699835904,-6.858814585396297e-17,17,-0.952699956445,1.0613179753052655,1.0613179753052655,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
99,1,123,oscillatory,0.26113727699835904,-6.858814585396297e-17,17,0.952699956445,1.0613179753052655,1.0613179753052655,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
100,1,124,real_dominant,-0.0,0.2236165862349555,3,0,1.1522372450677543,1.1522372450677543,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
101,1,125,mixed,-0.042526643376798005,0.19536163485638797,1,0.0137925133355,1.1930764120502875,1.1930764120502875,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
102,1,126,mixed,0.042526643376798005,0.19536163485638797,1,-0.0137925133355,1.1930764120502875,1.1930764120502875,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
103,1,127,real_dominant,-0.0,-0.22361658623495653,3,0,1.1522372450677552,1.1522372450677552,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
104,1,128,mixed,-0.04252664337679792,-0.1953616348563873,1,0.0137925133355,1.1930764120502868,1.1930764120502868,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
105,1,129,mixed,0.04252664337679792,-0.1953616348563873,1,-0.0137925133355,1.1930764120502868,1.1930764120502868,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
106,1,130,oscillatory,-0.19935112295585725,-1.4772831414699715e-16,17,-0.593190485624,1.6821261879039973,1.6821261879039973,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
107,1,131,oscillatory,0.19935112295585725,-1.4772831414699715e-16,17,0.593190485624,1.6821261879039973,1.6821261879039973,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
108,1,132,oscillatory,-0.19166706988928936,-2.0048842634235327e-16,16,-0.921175644805,1.0971787504337305,1.0971787504337305,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
