catalog_id,topology_key,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status,thresholds
6:2:3,6^2_3,"[128, 256, 512]",2.4271326206233726e-05,0.00010566459107659087,0.0,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
7:1:1,7_1,"[128, 256, 512]",0.0005405263517821875,5.991956036842866e-06,0.04582970121424523,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
7:1:2,7_2,"[128, 256, 512]",0.0005219308828044602,2.3120962923090014e-06,0.042839325142633555,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
7:1:4,7_4,"[128, 256, 512]",0.0005534290597247321,0.0493427563142043,0.04787850257797288,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:1,8_1,"[128, 256, 512]",0.0006696328990386431,9.891997417886645e-06,0.054634075620290545,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:3,8_3,"[128, 256, 512]",0.0006843617272998489,6.8011038897249425e-06,0.000213646403407704,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:9,8_9,"[128, 256, 512]",0.0006731007241842579,2.0881226271060152e-05,0.0023101254420730723,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:12,8_12,"[128, 256, 512]",0.0006988817710424912,2.3682107906951447e-06,0.005059745613340973,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:17,8_17,"[128, 256, 512]",0.0007254288443901883,0.17968008925523105,0.0055553964798644466,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
8:1:19,8_19,"[128, 256, 512]",0.00039303770571123126,1.1825734766100147e-06,0.018283548741019118,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
9:1:1,9_1,"[128, 256, 512]",0.0008028206823210696,3.60643901683024e-06,0.0745747177259446,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
9:1:2,9_2,"[128, 256, 512]",0.0007937260163918779,5.935320116703145e-06,0.08444695166098981,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
10:1:1,10_1,"[128, 256, 512]",0.0009483270674005457,5.58979583616197e-06,0.10305921050485756,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
10:1:2,10_2,"[128, 256, 512]",0.0010014773050604536,8.35876197259861e-06,0.06919430465995013,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
10:1:124,10_124,"[128, 256, 512]",0.0004893261572641677,3.0800421582476474e-06,0.024433291071499497,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
11:1:1,11_1,"[128, 256, 512]",0.0011195635946386403,1.822264790126063e-06,0.10399808310856251,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
11:1:2,11_2,"[128, 256, 512]",0.0011327186447990043,1.1866672976439955e-05,0.13986396906011045,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L2a1,L2a1,"[128, 256, 512]",1.882471739875762e-05,0.22250901918965812,0.0,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L4a1,L4a1,"[128, 256, 512]",3.682583432256061e-05,0.5193785388159172,0.006070105910197854,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L5a1,L5a1,"[128, 256, 512]",6.354577524848765e-05,0.10444130958387411,0.002968603074823717,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L6a1,L6a1,"[128, 256, 512]",6.51336112778249e-05,0.001884674340393832,0.0004278973305371636,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L8a1,L8a1,"[128, 256, 512]",0.00011312562164482951,0.0016085103560929603,0.0013476681602107021,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L6a4,L6a4,"[128, 256, 512]",8.925969298597478e-05,0.2246982970045814,8.428657218318607e-06,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
L6n1,L6n1,"[128, 256, 512]",1.5839139638446085e-05,0.0005871589019210374,0.0024007947578765787,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
