blind_id,status,n_input,thickness_raw,length_raw,ropelength_estimate,extent_core,tail_v2_exponent,tail_v2_fit_r2,tail_velocity_exponent,tail_mu_amp_log_slope,tail_mu_amp_fit_r2,tail_mu_poisson_log_slope,tail_mu_poisson_fit_r2,tail_mu_phi_log_slope,tail_mu_phi_fit_r2,tail_mu_amp_norm_median,tail_mu_poisson_norm_median,tail_mu_phi_norm_median,tail_poisson_to_amp_ratio,tail_phi_to_amp_ratio,tail_poisson_to_phi_ratio,tail_poisson_positive_fraction,tail_anisotropy_median,tail_beltrami_misalignment_median,poisson_identity_rel_rms_max,divergence_rms_norm_max,mu_amp_phys_m3_s2,mu_poisson_phys_m3_s2,mu_phi_phys_m3_s2,mass_amp_kg,mass_poisson_kg,mass_phi_kg,thickness_limiter,thickness_local_raw,thickness_nonlocal_raw
K_6F91A8F13F8F,OK,300,0.3999642502685512,30.715488212056773,76.79558408391057,6.127776457019153,5.998652329207296,0.9999999974024704,2.999326164603648,-4.998652329207297,0.9999999962592212,-4.999127757647144,0.99999999876832,-4.998228606292391,0.9999999937316217,4.448374511660066e-08,2.6695412851332074e-07,2.6684720055124464e-07,6.0011612739345885,5.998757520343342,1.0004007085772502,1.0,0.44200797612230736,0.9975318160655751,1.495883847616202e-16,3.207206080264045e-19,2.9605673896816447e-09,1.7766842367831097e-08,1.7759725893336023e-08,44.3577212543884,266.19783899182084,266.0912139600561,curvature,0.3999642502685512,0.4999687480281551
K_8DCAD088F6D8,OK,300,0.3870719787149004,31.938610261728815,82.51336190174939,6.114059678442259,6.026813486284973,0.9999986319235156,3.0134067431424865,-5.026813486284957,0.9999980334722564,-5.037642510262791,0.9999960215448723,-5.036749517536473,0.9999961900828895,3.7166572496484307e-09,2.2397024579915055e-08,2.2388053020566988e-08,6.026120536682163,6.023706658095723,1.000400729770464,1.0,0.46482515172845096,0.9876985946522332,1.48686422057451e-16,2.587584314355259e-19,2.473580905360126e-10,1.4906096692935516e-09,1.4900125768956237e-09,3.706127841661487,22.333573098205832,22.324626955570228,curvature,0.3870719787149004,0.49999914796029427
K_4C76167C01D3,OK,300,0.3972748573840087,31.97451741208396,80.48462372532467,6.500091460395168,6.0380905780376946,0.9999978249577742,3.0190452890188473,-5.038090578037695,0.9999968758305217,-5.051205990273957,0.9999944446975892,-5.050412136033037,0.9999946222974032,8.371252136100465e-09,5.053694561368432e-08,5.051900871659867e-08,6.036963741152547,6.034821063236027,1.0003550524355351,1.0,0.49490211524950384,0.9982850408338857,1.428231231909572e-16,2.1924866740659144e-19,5.571396027915141e-10,3.3634315808125034e-09,3.3622378100891826e-09,8.3475361130233,50.39377284228314,50.3758867609964,curvature,0.3972748573840087,0.499997346081643
K_0DDAE583D000,OK,300,0.36986152830946895,32.144137391282534,86.90857234653242,6.533883584855451,6.108132435186896,0.9999825498988135,3.054066217593448,-5.1081324351869055,0.9999750490385803,-5.143785172814979,0.9999571153430387,-5.142997204216804,0.9999575915555031,1.351689798767417e-09,8.246346660429074e-09,8.243445985576117e-09,6.100768584588548,6.098622622655861,1.000351876491704,1.0,0.4227699985311173,0.9828010195594321,1.566798125282769e-16,2.186356305471153e-19,8.996024792217326e-11,5.488266543853918e-10,5.486336031178957e-10,1.347860418653241,8.222984498530062,8.220092041381054,curvature,0.36986152830946895,0.4999989224856718
K_A7D0AE82EEEB,OK,300,0.3683106318405431,37.449296160266556,101.67856402385883,6.602835979122107,5.998711192799181,0.9999999974996228,2.9993555963995906,-4.9987111927991785,0.9999999963991474,-4.999069803586157,0.9999999983301749,-4.998293220756368,0.9999999937513708,5.3945228805770615e-08,3.237195383212512e-07,3.2360775303010003e-07,6.0008928590663855,5.998820659288466,1.0003454345271534,1.0,0.44892791133632404,0.9999792955404534,1.42602012854195e-16,3.244896327586074e-19,3.590266170545038e-09,2.1544802624971337e-08,2.153736287621006e-08,53.792400259878015,322.80243059154276,322.69096199167046,curvature,0.3683106318405431,0.49999390622965695
K_1FB86F8EC279,OK,300,0.38586371923473833,37.4743022912684,97.11797306465884,5.215165600471354,5.996373772161694,0.9999999790063627,2.998186886080847,-4.996373772161698,0.9999999697618486,-4.996416672158583,0.999999971117876,-4.995157430297802,0.9999999459303934,1.3245842107385164e-07,7.947561532770285e-07,7.943142806559668e-07,6.000042480001445,5.996706545468333,1.0005562944439281,1.0,0.45299406295771455,0.9999747062703188,1.4607268160683002e-16,6.463020620566914e-19,8.815626492150272e-09,5.289413344072776e-08,5.2864725087881586e-08,132.08316216157908,792.504583862394,792.0639630804967,curvature,0.38586371923473833,0.4999908973757263
K_1931167FB8EF,OK,300,0.3355451375951775,36.848277624706164,109.81615733964892,7.961292741835669,6.034257630744354,0.9999981606770972,3.017128815372177,-5.034257630744357,0.9999973573816139,-5.0461864765280255,0.9999952156065153,-5.045629863333784,0.999995336252192,3.67152254993317e-09,2.2148786648380745e-08,2.2143438928933022e-08,6.032589027346135,6.031132487348084,1.000241503565227,1.0,0.4740944327452612,0.9885087046437067,1.4780636376949134e-16,1.6011222887753343e-19,2.443541995693276e-10,1.4740884631078737e-09,1.4737325514425091e-09,3.6611210099834834,22.086038432612767,22.08070586342402,curvature,0.3355451375951775,0.499993792595436
K_407A28D944DF,OK,300,0.46171637080568284,40.20367562500433,87.07439927860904,5.820019245244948,5.997274186813053,0.9999999894454632,2.9986370934065265,-4.997274186813053,0.9999999847987036,-4.997433022564693,0.999999988061836,-4.996419772656906,0.9999999745110669,1.5173962296074192e-07,9.104630679319183e-07,9.10056260828652e-07,6.000166931793902,5.99748597677814,1.0004470131361942,1.0,0.4372148492423643,0.9991526677956111,1.4465044721304892e-16,6.559292545970849e-19,1.0098865962895575e-08,6.0594881599185e-08,6.056780699382828e-08,151.30973979137252,907.8836971545333,907.4780425487061,curvature,0.46171637080568284,0.49999687965052103
K_AC366EE8697E,OK,300,0.35947042859772016,40.49438851342391,112.65012443830472,7.514211596403561,6.011078271460165,0.9999998026639861,3.0055391357300825,-5.011078271460161,0.9999997160455316,-5.015419273160128,0.9999994461779881,-5.0148122898303855,0.9999994898643995,8.123369973830639e-09,4.883487795855292e-08,4.8821794411041266e-08,6.0116525673303105,6.0100419614421385,1.0002679857975212,1.0,0.46678148429692196,0.9983958808266693,1.4912112477537264e-16,1.7633016347974186e-19,5.406420744432107e-10,3.2501523148333124e-09,3.2492815535248207e-09,8.100356208789098,48.696527198857,48.683480717450834,curvature,0.35947042859772016,0.499991783091688
K_D51FC05BAC2B,OK,300,0.32230543198744666,40.77862728214819,126.52168792406968,8.012222180399219,6.007243965696446,0.9999997338878228,3.003621982848223,-5.007243965696445,0.9999996169832795,-5.01237862375924,0.9999989055603925,-5.011844528289025,0.9999989597430112,1.3116213286370551e-09,7.878368854044098e-09,7.87651239908034e-09,6.006587939699598,6.005172550270328,1.0002356950474647,1.0,0.49371635092464033,0.9974493717773398,1.55381878593973e-16,1.4973649277967292e-19,8.72935343684596e-11,5.243362907513418e-10,5.242127364055531e-10,1.3079054637708765,7.856049184953356,7.854197989385451,curvature,0.32230543198744666,0.4999993588290713
K_1CABF6170165,OK,600,0.03406654096884136,24.506404032345984,719.3687217836567,68.49968967490123,6.00240900016159,0.9999999868507344,3.001204500080795,-5.002409000161588,0.9999999810680971,-5.003402549358315,0.9999999599898803,-5.003395194961856,0.9999999601363403,4.728991513270008e-09,2.8383843593222033e-08,2.8383751839394525e-08,6.002092309443614,6.002072907034612,1.0000032326180144,1.0,0.4653175336201918,0.9999142064619007,1.5044826126783903e-16,3.676179695096974e-21,3.147328990302047e-10,1.889055912798085e-09,1.889049806221652e-09,4.715594130174022,28.303431263174943,28.303339769288947,curvature,0.03406654096884136,1.4231896372279609
K_E53BF3CE0FCA,OK,900,0.0058640353780455064,36.415355479881676,6209.948121428111,821.0100489098801,6.0120866194101374,0.9999997693515966,3.0060433097050687,-5.012086619410119,0.9999996681332586,-5.016115250865515,0.9999994110988742,-5.016115203173667,0.999999411102354,2.1873924485422882e-11,1.3148385986538993e-10,1.3148385700924857e-10,6.010986275142935,6.010986144570053,1.0000000217223728,1.0,0.4606160555854178,0.9764559921023737,1.6008601632220587e-16,1.0374602819016956e-23,1.455795310088104e-12,8.750765628357045e-12,8.750765438269656e-12,0.021811954962889055,0.13111136191596193,0.1311113590679121,self_distance,0.03679112285622509,0.0058640353780455064
K_27FC810CAF76,OK,600,0.04783972147217964,48.933991045985024,1022.8736610525991,120.36904877729613,6.015281851926863,0.9999996260934361,3.0076409259634316,-5.015281851926856,0.9999994621213685,-5.020419681129512,0.9999990378298101,-5.020417330280455,0.9999990380557989,5.668639211564522e-10,3.4090437008238318e-09,3.4090401495666158e-09,6.013866068366255,6.0138598036224895,1.0000010417176273,1.0,0.4413105212843588,0.9961464396985629,1.4977974948659997e-16,7.016532348068902e-22,3.772701320367394e-11,2.268852045663804e-10,2.268849682163096e-10,0.5652579776706762,3.39938577178701,3.3993822305906183,curvature,0.04783972147217964,0.5679110646575684
K_C75E13C6350E,OK,600,0.027121172881101524,27.50314786767665,1014.0840142957568,86.88982984324493,7.354426385964771,0.999781797121275,3.6772131929823857,-6.354426385964765,0.9997077374234374,-6.474805181500535,0.9997676284886616,-6.474800463488525,0.9997676335476241,1.5828010671028555e-11,1.1660678394152474e-10,1.166065425390282e-10,7.367115575361642,7.367100323761074,1.0000020702311492,1.0,0.6555508804205075,0.9583848422964066,1.614182434156206e-16,1.4274922692083805e-21,1.0534160762173063e-12,7.760637982436864e-12,7.760621916155637e-12,0.015783169414280245,0.11627643322051548,0.11627619250191987,curvature,0.027121172881101524,0.37045040679867886
K_6D8C79729892,OK,600,0.02915706026111862,29.503154440670837,1011.8699956872449,84.01325901661352,6.018145473896435,0.9999994801613836,3.0090727369482173,-5.018145473896439,0.9999992523345574,-5.024195628269702,0.999998676822202,-5.024190851244332,0.9999986773550181,9.802030333208268e-10,5.897398629516593e-09,5.8973860601420685e-09,6.016507222525944,6.0164943992902495,1.000002131346735,1.0,0.4515128053920723,0.7580301711080686,1.5277837201550758e-16,1.6132588651687883e-21,6.523634932513144e-11,3.924949668858788e-10,3.9249413034479556e-10,0.9774260870073482,5.880691111964983,5.880678578199895,curvature,0.02915706026111862,0.46501623350083887
K_BF0B5AA47131,OK,600,0.01672161803486179,34.933531082417204,2089.123852104898,154.83485591649477,6.001212631310946,0.9999999972566972,3.000606315655473,-5.00121263131095,0.9999999960499633,-5.00165921110593,0.9999999923212258,-5.001657793146109,0.999999992333466,2.8012439561589566e-09,1.6810488162823615e-08,1.6810477587362113e-08,6.001079672430252,6.001075897156956,1.0000006290994081,1.0,0.44094937963319336,0.8900716472113174,1.4477389510625964e-16,7.912146441360228e-22,1.8643375204602732e-10,1.1188037996583164e-09,1.118803095819951e-09,2.7933079430955656,16.762863516148755,16.762852970647874,self_distance,0.03576637289803993,0.01672161803486179
