link_id,signs,dimension,rank,nullity,full_rank,antisymmetry_error,pfaffian_abs_proxy,singular_values_json
L6a4,-+-,30,30,0,True,0.0,5.559501619091374e+20,"[29.005100474626428,29.005100474626428,29.005100474626424,29.005100474626424,29.005100474626424,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.005100474626413,29.00510047462641,29.00510047462641,23.06527684427398,23.065276844273978,23.06115220905963,23.061152209059628,18.89972432205138,18.89972432205137,17.642942359563836,17.64294235956383,14.689447766061908,14.689447766061901,14.685707203983911,14.68570720398391]"
L6a4,-++,30,30,0,True,0.0,5.560044042715131e+20,"[29.005100474626428,29.005100474626424,29.005100474626424,29.005100474626424,29.005100474626424,29.00510047462642,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626403,23.062772227291735,23.062772227291735,23.0614106350125,23.061410635012496,18.90448258944111,18.904482589441105,17.639350160616523,17.639350160616523,14.689490153292105,14.689490153292102,14.687821491288483,14.687821491288478]"
L6a4,+--,30,30,0,True,0.0,5.560044042715131e+20,"[29.005100474626428,29.005100474626424,29.005100474626424,29.005100474626424,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.00510047462641,23.062772227291752,23.062772227291738,23.0614106350125,23.061410635012493,18.904482589441113,18.904482589441105,17.639350160616523,17.63935016061652,14.689490153292105,14.689490153292102,14.687821491288481,14.687821491288474]"
L6a4,+-+,30,30,0,True,0.0,5.559501619091374e+20,"[29.005100474626428,29.005100474626424,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.00510047462641,29.00510047462641,29.005100474626406,29.005100474626403,29.005100474626403,23.06527684427398,23.065276844273974,23.061152209059628,23.061152209059614,18.899724322051384,18.89972432205138,17.64294235956384,17.64294235956383,14.689447766061908,14.689447766061898,14.685707203983911,14.685707203983903]"
L6a4,++-,30,30,0,True,0.0,5.559606547628496e+20,"[29.00510047462643,29.005100474626428,29.005100474626428,29.005100474626424,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,29.005100474626413,23.065466312855854,23.065466312855847,23.06044852628619,23.060448526286184,18.900243155305056,18.90024315530505,17.64312524209392,17.643125242093912,14.688840365065388,14.688840365065385,14.686363764955084,14.686363764955079]"
L6a4,+++,30,30,0,True,0.0,5.5596943221651374e+20,"[29.00510047462643,29.005100474626424,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.005100474626413,29.00510047462641,29.00510047462641,23.065924796052013,23.065924796052,23.061041652644636,23.06104165264463,18.900923041803033,18.90092304180303,17.640595284488555,17.640595284488537,14.689755046075454,14.689755046075454,14.68658929911467,14.686589299114663]"
L6n1,---,30,30,0,True,0.0,3.5522565271879467e+19,"[25.174140844291905,25.174140844291895,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.174140844291884,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291873,25.174140844291873,22.62756458034468,22.62756458034468,20.273240726442946,20.27324072644294,16.337634240507832,16.33763424050767,14.568704717207929,14.568704717207927,12.796945760346476,12.796945760346475,6.2608741260255325,6.260874126025525]"
L6n1,--+,30,30,0,True,0.0,3.376021621063695e+19,"[25.174140844291895,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.17414084429188,25.17414084429188,25.174140844291873,25.174140844291873,25.174140844291873,25.174140844291873,20.619175854697698,20.619175854697694,19.31934598112104,19.319345981121035,16.051396422977323,16.05139642297732,14.082536090221033,14.082536090221033,12.925637062006926,12.925637062006922,7.143382850467937,7.143382850467934]"
L6n1,-+-,30,30,0,True,0.0,3.5527500797463306e+19,"[25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291877,25.174140844291877,24.37452640252902,24.374526402529007,19.348341673315577,19.34834167331557,17.200636833595503,17.2006368335955,13.628445222209402,13.628445222209399,12.895842790096127,12.895842790096125,6.1369450597191975,6.1369450597191975]"
L6n1,-++,30,30,0,True,0.0,3.580652025877094e+19,"[25.17414084429189,25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,22.75810927706965,22.758109277069646,20.614601027133443,20.61460102713343,16.893599912332057,16.893599912332057,14.374442211883116,14.374442211882998,12.470226750863507,12.470226750863507,6.206853999869859,6.206853999869858]"
L6n1,+--,30,30,0,True,0.0,3.580652025877094e+19,"[25.174140844291895,25.174140844291895,25.17414084429189,25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291873,22.758109277069853,22.758109277069664,20.61460102713344,20.614601027133432,16.893599912332057,16.893599912332053,14.374442211883007,14.374442211882993,12.470226750863505,12.470226750863505,6.206853999869884,6.206853999869855]"
L6n1,+-+,30,30,0,True,0.0,3.5527500797463306e+19,"[25.174140844291895,25.17414084429189,25.17414084429189,25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291884,25.174140844291884,25.174140844291884,25.174140844291884,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291873,24.374526402529014,24.374526402529003,19.348341673315566,19.348341673315566,17.200636833595503,17.200636833595496,13.6284452222094,13.628445222209395,12.895842790096129,12.895842790096124,6.136945059719197,6.136945059719193]"
L6n1,++-,30,30,0,True,0.0,3.376021621063695e+19,"[25.174140844291898,25.17414084429189,25.17414084429189,25.17414084429189,25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.174140844291887,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291877,25.174140844291866,20.619175854697705,20.6191758546977,19.319345981121113,19.31934598112102,16.051396422977326,16.051396422977323,14.082536090221039,14.082536090221035,12.925637062006931,12.925637062006922,7.1433828504679475,7.143382850467937]"
L6n1,+++,30,30,0,True,0.0,3.5522565271879467e+19,"[25.174140844291898,25.17414084429189,25.17414084429189,25.174140844291887,25.174140844291887,25.174140844291887,25.17414084429188,25.17414084429188,25.17414084429188,25.17414084429188,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,25.174140844291877,22.62756458034469,22.627564580344682,20.273240726442936,20.273240726442936,16.337634240507818,16.33763424050767,14.568704717207938,14.568704717207929,12.796945760346528,12.796945760346476,6.26087412602553,6.260874126025529]"
L7n2,--,20,20,0,True,0.0,27661124646977.523,"[28.919573488747165,28.91957348874716,28.919573488747158,28.919573488747158,28.919573488747158,28.91957348874715,28.91957348874715,28.919573488747147,27.929974968826638,27.929974968826635,25.39357765506698,25.393577655066977,21.287773922033768,21.28777392203376,16.186261822204123,16.186261822204113,14.662231267747732,14.662231267747732,11.036490272627429,11.036490272627423]"
L7n2,-+,20,20,0,True,0.0,27674116573565.242,"[28.919573488747165,28.919573488747158,28.919573488747158,28.919573488747154,28.91957348874715,28.91957348874715,28.919573488747147,28.919573488747144,28.050207561212073,28.050207561212066,24.64103796787091,24.64103796787091,20.530188131121538,20.530188131121538,16.507727688084483,16.50772768808448,14.998533399179554,14.998533399179548,11.261134216372021,11.26113421637202]"
L7n2,+-,20,20,0,True,0.0,27674116573565.242,"[28.919573488747165,28.91957348874716,28.919573488747158,28.919573488747158,28.919573488747154,28.919573488747154,28.919573488747154,28.91957348874715,28.050207561212083,28.050207561212073,24.641037967870925,24.641037967870922,20.53018813112154,20.53018813112154,16.507727688084486,16.507727688084486,14.998533399179554,14.99853339917955,11.261134216372026,11.261134216372024]"
L7n2,++,20,20,0,True,0.0,27661124646977.523,"[28.919573488747154,28.919573488747154,28.91957348874715,28.91957348874715,28.919573488747147,28.919573488747147,28.919573488747147,28.919573488747144,27.92997496882664,27.929974968826638,25.393577655066984,25.393577655066984,21.287773922033775,21.287773922033765,16.18626182220413,16.186261822204123,14.662231267747732,14.662231267747728,11.03649027262743,11.03649027262743]"
