id,conway,L,D,coeff_count,max_harmonic
9:1:25,"2 2,2 1,2",40.569874,1.0,239,253
9:1:26,3 1 1 1 1 2,40.454113,1.0,237,255
9:1:27,2 1 2 1 1 2,40.588528,1.0,244,255
9:1:28,"2 1,2 1,2+",40.528473,1.0,240,251
9:1:29,.2.2 0.2,40.589642,1.0,243,256
9:1:30,"2 1 1,2 1,2",40.727917,1.0,240,254
9:1:31,2 1 1 1 1 1 2,40.654602,1.0,234,253
9:1:32,.2 1.2 0,40.736893,1.0,235,254
9:1:33,.2 1.2,41.130558,1.0,248,256
9:1:34,8*2 0,41.084652,1.0,242,255
9:1:35,"3,3,3",39.6045,1.0,232,256
9:1:36,"2 2,3,2",40.101639,1.0,253,255
9:1:37,"3,2 1,2 1",40.573891,1.0,240,255
9:1:38,.2.2.2,40.878002,1.0,231,256
9:1:39,2:2:2 0,40.859936,1.0,243,255
9:1:40,9*,40.817921,1.0,236,256
9:1:41,2 0:2 0:2 0,40.676815,1.0,244,255
9:1:42,"2 2,3,2-",34.751427,1.0,252,255
9:1:43,"2 1 1,3,2-",35.748398,1.0,234,256
9:1:44,"2 2,2 1,2-",35.773907,1.0,231,255
9:1:45,"2 1 1,2 1,2-",37.034126,1.0,243,255
9:1:46,"3,3,2 1-",34.307026,1.0,245,254
9:1:47,8*-2 0,37.440624,1.0,247,255
9:1:48,"2 1,2 1,2 1-",37.081623,1.0,244,255
9:1:49,-2 0:-2 0:-2 0,36.963993,1.0,244,256
10:1:1,8 2,42.58107,1.0,240,253
10:1:2,7 1 2,42.794169,1.0,248,256
10:1:3,6 4,42.716438,1.0,200,249
10:1:4,6 1 3,42.876675,1.0,231,251
10:1:5,6 1 1 2,43.249908,1.0,232,256
10:1:6,5 3 2,43.405788,1.0,232,255
10:1:7,5 2 1 2,43.687134,1.0,245,253
10:1:8,5 1 4,42.96505,1.0,234,255
10:1:9,5 1 1 3,43.386513,1.0,243,255
10:1:10,5 1 1 1 2,43.593349,1.0,233,256
10:1:11,4 3 3,43.485432,1.0,234,255
10:1:12,4 3 1 2,43.547783,1.0,248,256
10:1:13,4 2 2 2,44.350437,1.0,219,254
10:1:14,4 2 1 1 2,44.156071,1.0,249,255
10:1:15,4 1 3 2,43.646496,1.0,240,255
10:1:16,4 1 2 3,43.737164,1.0,248,254
10:1:17,4 1 1 4,43.461304,1.0,236,255
10:1:18,4 1 1 2 2,44.145439,1.0,249,256
10:1:19,4 1 1 1 3,43.754482,1.0,235,254
10:1:20,3 5 2,43.430271,1.0,235,255
10:1:21,3 4 1 2,43.511799,1.0,223,256
10:1:22,3 3 1 3,43.62463,1.0,226,256
10:1:23,3 3 1 1 2,44.134949,1.0,250,256
10:1:24,3 2 3 2,44.212994,1.0,240,256
10:1:25,3 2 2 1 2,44.361786,1.0,230,256
10:1:26,3 2 1 1 3,44.231277,1.0,223,255
10:1:27,3 2 1 1 1 2,44.480698,1.0,240,255
10:1:28,3 1 3 1 2,43.751591,1.0,224,253
10:1:29,3 1 2 2 2,44.18454,1.0,247,256
10:1:30,3 1 2 1 1 2,44.175182,1.0,232,255
10:1:31,3 1 1 3 2,44.123604,1.0,243,256
10:1:32,3 1 1 1 2 2,44.332455,1.0,236,256
10:1:33,3 1 1 1 1 3,44.139061,1.0,245,256
10:1:34,2 5 1 2,43.417091,1.0,246,256
10:1:35,2 4 2 2,44.031734,1.0,239,255
10:1:36,2 4 1 1 2,44.0145,1.0,231,256
10:1:37,2 3 3 2,44.056408,1.0,241,254
10:1:38,2 3 1 2 2,44.163116,1.0,225,256
10:1:39,2 2 3 1 2,44.163729,1.0,243,253
10:1:40,2 2 2 1 1 2,44.673706,1.0,238,252
10:1:41,2 2 1 2 1 2,44.487083,1.0,233,256
10:1:42,2 2 1 1 1 1 2,44.937138,1.0,241,255
10:1:43,2 1 2 2 1 2,44.322395,1.0,234,255
10:1:44,2 1 2 1 1 1 2,44.427219,1.0,245,255
10:1:45,2 1 1 1 1 1 1 2,44.69529,1.0,235,255
10:1:46,"5,3,2",43.226791,1.0,233,255
10:1:47,"5,2 1,2",43.605347,1.0,238,255
10:1:48,"4 1,3,2",43.688938,1.0,248,255
10:1:49,"4 1,2 1,2",44.151268,1.0,247,256
10:1:50,"3 2,3,2",43.687916,1.0,240,256
10:1:51,"3 2,2 1,2",44.148678,1.0,247,256
10:1:52,"3 1 1,3,2",44.024362,1.0,252,256
10:1:53,"3 1 1,2 1,2",44.407261,1.0,231,256
10:1:54,"2 3,3,2",43.750504,1.0,244,256
10:1:55,"2 3,2 1,2",44.10965,1.0,235,252
10:1:56,"2 2 1,3,2",44.432671,1.0,227,253
10:1:57,"2 2 1,2 1,2",44.745747,1.0,239,255
10:1:58,"2 2,2 2,2",44.48494,1.0,226,253
10:1:59,"2 2,2 1 1,2",44.536636,1.0,238,256
10:1:60,"2 1 1,2 1 1,2",44.659496,1.0,243,255
10:1:61,"4,3,3",43.248188,1.0,249,256
10:1:62,"4,3,2 1",43.700874,1.0,247,254
10:1:63,"4,2 1,2 1",44.182259,1.0,245,256
10:1:64,"3 1,3,3",43.73708,1.0,239,256
10:1:65,"3 1,3,2 1",44.186016,1.0,243,254
10:1:66,"3 1,2 1,2 1",44.50864,1.0,245,256
10:1:67,"2 2,3,2 1",44.230911,1.0,240,256
10:1:68,"2 1 1,3,3",44.058468,1.0,229,255
10:1:69,"2 1 1,2 1,2 1",44.534981,1.0,230,256
10:1:70,"2 2,3,2+",44.409492,1.0,247,255
10:1:71,"2 2,2 1,2+",44.655842,1.0,236,255
10:1:72,"2 1 1,3,2+",44.389114,1.0,245,255
10:1:73,"2 1 1,2 1,2+",44.724113,1.0,238,256
10:1:74,"3,3,2 1+",44.058582,1.0,243,254
10:1:75,"2 1,2 1,2 1+",44.472317,1.0,248,254
10:1:76,"3,3,2++",44.185444,1.0,244,256
10:1:77,"3,2 1,2++",44.232018,1.0,240,256
10:1:78,"2 1,2 1,2++",44.266857,1.0,238,256
10:1:79,"(3,2)(3,2)",44.467934,1.0,234,253
10:1:80,"(3,2)(2 1,2)",44.62244,1.0,228,254
10:1:81,"(2 1,2)(2 1,2)",44.928524,1.0,236,256
10:1:82,.4.2,44.387405,1.0,246,256
10:1:83,.3 1.2,44.713596,1.0,246,256
10:1:84,.2 2.2,44.811172,1.0,239,254
10:1:85,.4.2 0,43.903263,1.0,236,254
10:1:86,.3 1.2 0,44.341724,1.0,246,254
10:1:87,.2 2.2 0,44.603416,1.0,232,255
10:1:88,.2 1.2 1,44.769714,1.0,245,256
10:1:89,.2 1.2 1 0,44.706013,1.0,236,256
10:1:90,.3.2.2,44.445141,1.0,239,256
10:1:91,.3.2.2 0,44.37981,1.0,234,256
10:1:92,.2 1.2.2 0,44.740845,1.0,245,255
10:1:93,.3.2 0.2,44.191933,1.0,246,255
10:1:94,.3 0.2.2,44.416023,1.0,239,255
10:1:95,.2 1 0.2.2,44.96888,1.0,243,256
10:1:96,.2.2 1.2,44.77013,1.0,225,254
10:1:97,.2.2 1 0.2,44.660744,1.0,247,256
10:1:98,.2.2.2.2 0,44.844486,1.0,231,256
10:1:99,.2.2.2 0.2 0,44.443783,1.0,237,256
10:1:100,3:2:2,44.273689,1.0,246,254
10:1:101,2 1:2:2,44.826241,1.0,251,256
10:1:102,3:2:2 0,44.391865,1.0,244,256
10:1:103,3 0:2:2,44.380356,1.0,241,255
10:1:104,3:2 0:2 0,44.532181,1.0,241,256
10:1:105,2 1:2 0:2 0,44.856911,1.0,243,254
10:1:106,3 0:2:2 0,44.569523,1.0,231,256
10:1:107,2 1 0:2:2 0,44.920704,1.0,236,255
10:1:108,3 0:2 0:2 0,44.195599,1.0,232,256
10:1:109,2.2.2.2,44.929775,1.0,240,256
10:1:110,2.2.2.2 0,44.672066,1.0,246,256
10:1:111,2.2.2 0.2,44.794479,1.0,246,256
10:1:112,8*3,44.771805,1.0,244,255
10:1:113,8*2 1,45.092628,1.0,238,255
10:1:114,8*3 0,44.636467,1.0,245,256
10:1:115,8*2 0.2 0,45.102737,1.0,243,255
10:1:116,8*2:2,45.123802,1.0,232,256
10:1:117,8*2:2 0,44.751373,1.0,237,253
10:1:118,8*2:.2,44.751083,1.0,239,255
10:1:119,8*2:.2 0,45.05299,1.0,232,255
10:1:120,8*2 0::2 0,45.075279,1.0,225,256
10:1:121,9*2 0,44.967098,1.0,240,255
10:1:122,9*.2 0,44.90015,1.0,239,256
10:1:123,10*,46.191959,1.0,236,254
10:1:124,"5,3,2-",35.490845,1.0,244,255
10:1:125,"5,2 1,2-",37.512028,1.0,241,254
10:1:126,"4 1,3,2-",38.798199,1.0,228,256
10:1:127,"4 1,2 1,2-",40.006184,1.0,245,255
10:1:128,"3 2,3,2-",38.207001,1.0,241,255
10:1:129,"3 2,2 1,2-",39.277668,1.0,219,255
10:1:130,"3 1 1,3,2-",39.418282,1.0,249,254
10:1:131,"3 1 1,2 1,2-",40.634953,1.0,240,255
10:1:132,"2 3,3,2-",37.369682,1.0,238,254
10:1:133,"2 3,2 1,2-",38.593246,1.0,231,255
10:1:134,"2 2 1,3,2-",39.31707,1.0,239,255
10:1:135,"2 2 1,2 1,2-",40.610947,1.0,233,256
10:1:136,"2 2,2 2,2-",39.013512,1.0,243,256
10:1:137,"2 2,2 1 1,2-",39.82095,1.0,250,255
10:1:138,"2 1 1,2 1 1,2-",41.265633,1.0,239,255
10:1:139,"4,3,3-",36.450539,1.0,241,255
10:1:140,"4,3,2 1-",36.920521,1.0,249,256
10:1:141,"4,2 1,2 1-",38.489475,1.0,237,256
10:1:142,"3 1,3,3-",37.942394,1.0,246,256
10:1:143,"3 1,3,2 1-",39.114399,1.0,219,250
10:1:144,"3 1,2 1,2 1-",40.640213,1.0,240,256
10:1:145,"2 2,3,3-",37.949184,1.0,234,253
10:1:146,"2 2,2 1,2 1-",39.860985,1.0,235,253
10:1:147,"2 1 1,3,2 1-",39.580734,1.0,239,256
10:1:148,"(3,2)(3,2-)",39.558537,1.0,241,254
10:1:149,"(3,2)(2 1,2-)",40.478252,1.0,243,255
10:1:150,"(2 1,2)(3,2-)",40.036957,1.0,247,256
10:1:151,"(2 1,2)(2 1,2-)",40.911053,1.0,233,255
10:1:152,"(3,2)-(3,2)",39.579857,1.0,229,254
10:1:153,"(3,2)-(2 1,2)",40.221615,1.0,213,256
10:1:154,"(2 1,2)-(2 1,2)",40.800526,1.0,235,255
10:1:155,-3:2:2,39.027382,1.0,215,251
10:1:156,-3:2:2 0,39.776676,1.0,250,256
10:1:157,-3:2 0:2 0,40.728584,1.0,245,256
10:1:158,-3 0:2:2,40.8186,1.0,247,256
10:1:159,-3 0:2:2 0,39.943565,1.0,245,256
10:1:160,-3 0:2 0:2 0,39.065144,1.0,238,256
10:1:161,3:-2 0:-2 0,37.263641,1.0,236,255
10:1:162,2 1:-2 0:-2 0,37.267082,1.0,234,252
10:1:163,-3 0:-2 0:-2 0,40.493076,1.0,245,256
10:1:164,8*-3 0,41.325794,1.0,231,256
10:1:165,8*2:-2 0,41.087433,1.0,246,255
10:1:166,8*2:.-2 0,41.408573,1.0,238,256
