candidate,family,i00000_sha256,i01000_sha256,i04000_sha256,i10000_exists,i10000_file_sha256,i10000_sha256,n_points,swept_value,swept_variable
B31_MB_ben0p5,bencon_MB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,6bd266e2149b5b07359e5d2ae4c0f1cab7e5199388105b45482030e6779757b1,2ff2ad52eb85ac172786776e251b9539f03a5f481a6c8a0103f0be52e17e881e,True,2ff2ad52eb85ac172786776e251b9539f03a5f481a6c8a0103f0be52e17e881e,2ff2ad52eb85ac172786776e251b9539f03a5f481a6c8a0103f0be52e17e881e,300,0.5,bencon
B32_MB_ben1p0,bencon_MB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,002523bc3577c16d5b1006c64e8f2e488bb95bbc869c6ee1487391504ba12c75,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,True,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,300,1,bencon
B33_MB_ben2p0,bencon_MB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,ea0d9b2a67912e5e747307e1edcc46d6182044625ecc428adfc08a6b7a0ab93a,5c1e0a2c58590eb6c1e76f073ea0b3510c06e243cd16f5eac8f1d825b1d11c34,True,5c1e0a2c58590eb6c1e76f073ea0b3510c06e243cd16f5eac8f1d825b1d11c34,5c1e0a2c58590eb6c1e76f073ea0b3510c06e243cd16f5eac8f1d825b1d11c34,300,2,bencon
B34_MB_ben4p0,bencon_MB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,8b638bd283f1ba049704b0cc4f6ff92dd89df9019cddc3e896b6d2f4c35cd911,8140ae503f696e88e20f22c88d019742c394ec045b7d600f95c63907a388dbdc,True,8140ae503f696e88e20f22c88d019742c394ec045b7d600f95c63907a388dbdc,8140ae503f696e88e20f22c88d019742c394ec045b7d600f95c63907a388dbdc,300,4,bencon
P40_ME_pow4p0,power_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,ddd77235d4041d4a3bd2ea1dd67af89f425050b9e04935a019e4f346e05bfaf9,9dfa17160dbf3ed93124ee3dfa8f8d4fc9887634e6becc02a9d37881e28f34b6,True,7ee6da2ec55c6b272b8391c21ca807817a7284c7cea2cc537caeb8192dcc3938,7ee6da2ec55c6b272b8391c21ca807817a7284c7cea2cc537caeb8192dcc3938,300,4,power
P41_ME_pow5p0,power_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,909c4d232602ce1d0837f84f82401c5211cf8aee718f61a46a951dab30df8810,2b50be259343281dd562b129cc921840f9f22848a68fb2fa2eed80949bf21fb7,True,8ad48cf281e042120e0082d3bf252cf6bd24080d6828ea8c59d9def32d160c1a,8ad48cf281e042120e0082d3bf252cf6bd24080d6828ea8c59d9def32d160c1a,300,5,power
P42_ME_pow6p0,power_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,610da55d30964d238d55ea0a2801123fd1a0e9539401e1b653d56ddc50a5114e,89df1a8bb5e4a2ddf3d22e7728509a70a562bd126b62739cab6daf7e6d293315,True,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,300,6,power
P43_ME_pow7p0,power_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,d92e3b9783a812cd253b0c7f006b4f3ba217e225ce621f31a32214d74ba31a5a,50d424bb07c989874fc09c4644e835eb0db211abf254fb62cca46e5a4b76fa85,True,50d424bb07c989874fc09c4644e835eb0db211abf254fb62cca46e5a4b76fa85,50d424bb07c989874fc09c4644e835eb0db211abf254fb62cca46e5a4b76fa85,300,7,power
P44_ME_pow8p0,power_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,1ed2784af8f90800f4cfd9e9037cc86b46489706968f6672705f95376252baa4,96f458342f5002ee86eda992cd7245e07c6cd43e1109a5bdbf74e7013663675d,True,96f458342f5002ee86eda992cd7245e07c6cd43e1109a5bdbf74e7013663675d,96f458342f5002ee86eda992cd7245e07c6cd43e1109a5bdbf74e7013663675d,300,8,power
D50_MEB_close0p5,close_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,0.5,close
D51_MEB_close0p65,close_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,0.65,close
D52_MEB_close0p8,close_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,0.8,close
D53_MEB_close0p95,close_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,0.95,close
D54_MEB_close1p0,close_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,1,close
H60_ME_hooke0p25,hooke_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,88e4d5fbc816c3b01e8e57e26961417263851a550a0bd4c9fd899b4874fbe199,73b0c5fcaef42dd23b1d119c1ad591827255a89ae50c445f517604290044f1e5,True,f662431f82e7b805439d02aa4b794878fb5f64327515a707345db564af4937b2,f662431f82e7b805439d02aa4b794878fb5f64327515a707345db564af4937b2,300,0.25,hooke
H61_ME_hooke0p5,hooke_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,3965e73125294eb9a5452d2c42362679cdd5aa03c165273cf45b06320bccd3e2,70aea7ba78b3b6722bafec849b5ded872fe2e051ef7318859b11457330c09d36,True,f13eb2f85efc9fb59408bdfb0b4275c1e5cdea145b80f4ba6214209615a0fc94,f13eb2f85efc9fb59408bdfb0b4275c1e5cdea145b80f4ba6214209615a0fc94,300,0.5,hooke
H62_ME_hooke1p0,hooke_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,610da55d30964d238d55ea0a2801123fd1a0e9539401e1b653d56ddc50a5114e,89df1a8bb5e4a2ddf3d22e7728509a70a562bd126b62739cab6daf7e6d293315,True,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,300,1,hooke
H63_ME_hooke2p0,hooke_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,2b58cc12e998129d5c56f345727b65ab413675141403ab79689c8afd0a2574e6,2b58cc12e998129d5c56f345727b65ab413675141403ab79689c8afd0a2574e6,True,2b58cc12e998129d5c56f345727b65ab413675141403ab79689c8afd0a2574e6,2b58cc12e998129d5c56f345727b65ab413675141403ab79689c8afd0a2574e6,300,2,hooke
H64_ME_hooke4p0,hooke_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,ee9daabd45772714220a965c32b163a74ca3b7890bae22a9ab911227e2d703e1,ee9daabd45772714220a965c32b163a74ca3b7890bae22a9ab911227e2d703e1,True,ee9daabd45772714220a965c32b163a74ca3b7890bae22a9ab911227e2d703e1,ee9daabd45772714220a965c32b163a74ca3b7890bae22a9ab911227e2d703e1,300,4,hooke
R70_MEB_maxdr0p0025,maxdr_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,76aae6ced0bcf7459a8ef1e8dedbf35641e9d4468b3a06ca73b38e0ff7a129c5,199aaa6158b134b8b63ecb27ca051dcecdf021a55c9e47415febf7b9f52c5dca,True,4a596429726fffac2bdf867e36ff10c736ab618c0171e7cd6c19d9ffd1deb24d,4a596429726fffac2bdf867e36ff10c736ab618c0171e7cd6c19d9ffd1deb24d,300,0.0025,max_dr
R71_MEB_maxdr0p005,maxdr_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,20162c4222c7e457366afb99f7f167991398089e8233bc2805d7278ca33bc082,b7ff72aa146bb9939b31a224517565c640f92cf7c75d2359c64ec9337594e08c,True,b616335007b73c548dc9b4ba2e723536065e2a19b8b2e1c8f14746aea6da184a,b616335007b73c548dc9b4ba2e723536065e2a19b8b2e1c8f14746aea6da184a,300,0.005,max_dr
R72_MEB_maxdr0p01,maxdr_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,0.01,max_dr
R73_MEB_maxdr0p02,maxdr_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,487d04bc956286ba48627d6d91b454645ccdc9cb50721de2f569768f9a29e905,f3eb4e3f7345ad79dea97a5f737c9b3b568797f5a31833ea8d199a145de18d08,True,416dc47176f7370032a9f6ab4951d5466479806b25f36b9abc1e6af204c9f1f5,416dc47176f7370032a9f6ab4951d5466479806b25f36b9abc1e6af204c9f1f5,300,0.02,max_dr
R74_MEB_maxdr0p04,maxdr_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,487d04bc956286ba48627d6d91b454645ccdc9cb50721de2f569768f9a29e905,f3eb4e3f7345ad79dea97a5f737c9b3b568797f5a31833ea8d199a145de18d08,True,416dc47176f7370032a9f6ab4951d5466479806b25f36b9abc1e6af204c9f1f5,416dc47176f7370032a9f6ab4951d5466479806b25f36b9abc1e6af204c9f1f5,300,0.04,max_dr
T80_MEB_dt3p75,tinc_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,5173d533a8a8fc136a714a4aa5c02bbb6e8eeb0742bcffec059bff74566b4209,9674111968940c7cd695c6b51ee90e014603e29722b98ff5e115fb60893036ea,True,6da03c6ee09fce4f16e0141c9be07570beeeb74a70684e4157f8f8a8649cbd55,6da03c6ee09fce4f16e0141c9be07570beeeb74a70684e4157f8f8a8649cbd55,300,3.75,tinc
T81_MEB_dt7p5,tinc_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,9b1e7fa31046d64599f7d61151539f0adf0ec14cfffcbbfb7ac54558da055946,5a3990f029b9e0de32c97923fb10c7ae5b1097d0ae5479f518e02c4bb73806db,True,58925525fe6001b6622b174e7580228b349406f2855b1abbb7f6016a2b55117d,58925525fe6001b6622b174e7580228b349406f2855b1abbb7f6016a2b55117d,300,7.5,tinc
T82_MEB_dt15p0,tinc_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,15,tinc
T83_MEB_dt22p5,tinc_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,cdcbbfe433263d0fec4a2bd64ee6107127eacde0d987622e7e24ee9f2903adc0,6dea5b07f798ab9b96ca058a86d31c4c38a4f212e125e105036bfa46302329e6,True,752bd6e751240d53136f8248673e529310ac889be30e09ee5774ceefbd5240c9,752bd6e751240d53136f8248673e529310ac889be30e09ee5774ceefbd5240c9,300,22.5,tinc
T84_MEB_dt30p0,tinc_MEB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,03dfb8eaf0368d6288067859e106639038d7aeecfc9c49a1eb98d91c9e066271,53046d4925612ed4eb0854dff7dbfa986a2ae8064148b1022351bc0749b76f1f,True,b058a12ffe350ee829574386d2ebc2899cdf1460cc3d03b8da41ffbaadf1e460,b058a12ffe350ee829574386d2ebc2899cdf1460cc3d03b8da41ffbaadf1e460,300,30,tinc
A90_anneal_q0,charge_anneal_MEB,,,,True,17215f348d91bd52436e7e9c14153b66f9d0bff068ea4635fa37e59e2563fa1e,17215f348d91bd52436e7e9c14153b66f9d0bff068ea4635fa37e59e2563fa1e,300,60>30>15>7.5>0,charge_history
