candidate_id,family,canonical_id,topology_class,family_index,variant_index,component_count,points_per_component,construction_method,source_record,legacy_ptsa_id,parameters_json
PKLSA_fee8f6f271e185,knot_3.1,3_1,knot,14,29,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_b76e96747bbb,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":3.0}"
PKLSA_e6baa56dc3c6d6,knot_3.1,3_1,knot,14,30,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_c8aa77b0c7d3,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":3.8}"
PKLSA_09634ec6a835cb,knot_3.1,3_1,knot,14,31,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_c29f0518388a,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":4.6}"
PKLSA_e84bbc0975c712,knot_3.1,3_1,knot,14,32,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_4982edf8f7f9,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":2.2}"
PKLSA_6ea40578ead8fa,knot_3.1,3_1,knot,14,33,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_af69c86a9485,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":3.0}"
PKLSA_dd6cb9e3756d9d,knot_3.1,3_1,knot,14,34,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_968c3e7824d4,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":3.8}"
PKLSA_d74c9914302ec0,knot_3.1,3_1,knot,14,35,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_48a4f951ee3c,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":4.6}"
PKLSA_e64398e4e430d9,knot_3.1,3_1,knot,14,36,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_a8d1378c49ce,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":2.2}"
PKLSA_4c8bea6899ba26,knot_3.1,3_1,knot,14,37,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_8674e8c18a1d,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.0}"
PKLSA_d0bd2118aa1e07,knot_3.1,3_1,knot,14,38,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_5c5c7d91eee4,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.8}"
PKLSA_bdb2b666bfa853,knot_3.1,3_1,knot,14,39,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_589715ba61ac,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":4.6}"
PKLSA_a5f21812d0baf8,knot_3.1,3_1,knot,14,40,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_878ad3925eb3,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":2.2}"
PKLSA_35dced6bfd321a,knot_3.1,3_1,knot,14,41,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_f36f5f9b16ac,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.0}"
PKLSA_800fe7dfef4796,knot_3.1,3_1,knot,14,42,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_5fff8cae2dc1,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.8}"
PKLSA_840ddbc99db114,knot_3.1,3_1,knot,14,43,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_2692c364b9c2,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":4.6}"
PKLSA_56e620f01e2403,knot_3.1,3_1,knot,14,44,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_7c97f882db3a,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":2.2}"
PKLSA_493fb47107a177,knot_3.1,3_1,knot,14,45,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_64c20d6bfcbd,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":3.0}"
PKLSA_80f32dc73317e3,knot_3.1,3_1,knot,14,46,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_4cb018297e63,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":3.8}"
PKLSA_2609fddbded314,knot_3.1,3_1,knot,14,47,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_850b8d9f0287,"{""ptsa_baseR"":4.6,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":4.6}"
