knot,mode_id,family,m,phase,polarization,roughness_lambda_per_R2,retained_norm_fraction,omega_rad_s,gap_eV,status
knot_0.1_final,kelvin_m05_N_cos,kelvin,5,cos,N,5676.271058566894,0.8469047424820881,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m05_B_cos,kelvin,5,cos,B,26.689295919171283,0.9999999538749389,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m05_N_sin,kelvin,5,sin,N,7039.341590754541,0.813307674914517,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m05_B_sin,kelvin,5,sin,B,26.663288660407204,0.9999999325418565,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m06_N_cos,kelvin,6,cos,N,12993.888383313371,0.8584707149187052,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m06_B_cos,kelvin,6,cos,B,37.673418190681716,0.9999999661826577,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m06_N_sin,kelvin,6,sin,N,6483.110097566864,0.8769183946768287,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m06_B_sin,kelvin,6,sin,B,37.67519034501797,0.9999999566792871,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m07_N_cos,kelvin,7,cos,N,8041.313082528019,0.9242894058813852,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m07_B_cos,kelvin,7,cos,B,50.68625099368391,0.9999999358924333,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m07_N_sin,kelvin,7,sin,N,25144.937435395677,0.7228534043214444,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m07_B_sin,kelvin,7,sin,B,50.65621052829501,0.9999999882909208,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m08_N_cos,kelvin,8,cos,N,1782.5803539268668,0.9841504844596995,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m08_B_cos,kelvin,8,cos,B,65.68552749498441,0.9999999996767225,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m08_N_sin,kelvin,8,sin,N,289.9621964064642,0.9980428168038648,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m08_B_sin,kelvin,8,sin,B,65.64793184983411,0.9999999913353403,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m09_N_cos,kelvin,9,cos,N,3430.8520805892267,0.9724786287640088,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m09_B_cos,kelvin,9,cos,B,82.68146175306485,0.9999999913672941,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m09_N_sin,kelvin,9,sin,N,4262.565733364825,0.9636533890076643,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m09_B_sin,kelvin,9,sin,B,82.63931697046038,0.9999999943633685,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m10_N_cos,kelvin,10,cos,N,365.142799647439,0.9977908784036791,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m10_B_cos,kelvin,10,cos,B,101.67091160661883,0.9999999980065313,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m10_N_sin,kelvin,10,sin,N,1087.936237678743,0.9919919203172214,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m10_B_sin,kelvin,10,sin,B,101.63255823957192,0.9999999994172439,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m11_N_cos,kelvin,11,cos,N,3797.929207110358,0.97192856575546,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m11_B_cos,kelvin,11,cos,B,122.64626546211538,0.999999989118131,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m11_N_sin,kelvin,11,sin,N,4453.578587129613,0.9647710740281699,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m11_B_sin,kelvin,11,sin,B,122.63424344400397,0.9999999921858006,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m12_N_cos,kelvin,12,cos,N,323.39703004663846,0.9986018756910545,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m12_B_cos,kelvin,12,cos,B,145.61235022264697,0.9999999998107884,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m12_N_sin,kelvin,12,sin,N,190.6133966555494,0.9996318766146286,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m12_B_sin,kelvin,12,sin,B,145.6383901770468,0.9999999916152217,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m13_N_cos,kelvin,13,cos,N,1150.1685687586312,0.9926111111738967,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m13_B_cos,kelvin,13,cos,B,170.60435097677885,0.9999999801055488,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m13_N_sin,kelvin,13,sin,N,7238.961617931731,0.9481894081339486,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m13_B_sin,kelvin,13,sin,B,170.60855045882346,0.9999999970860857,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m14_N_cos,kelvin,14,cos,N,465.4011595481423,0.9980041790285502,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m14_B_cos,kelvin,14,cos,B,197.57714926712285,0.9999999999203284,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m14_N_sin,kelvin,14,sin,N,208.02512735743758,0.9999128122450981,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m14_B_sin,kelvin,14,sin,B,197.58847078149233,0.9999999973477577,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m15_N_cos,kelvin,15,cos,N,1157.645341172163,0.9931747226508971,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m15_B_cos,kelvin,15,cos,B,226.55559592637402,0.9999999978426503,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m15_N_sin,kelvin,15,sin,N,833.7768640928077,0.9956705210546045,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m15_B_sin,kelvin,15,sin,B,226.55181542619945,0.9999999962933964,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m16_N_cos,kelvin,16,cos,N,1019.3044144034915,0.9944455515130167,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m16_B_cos,kelvin,16,cos,B,257.52822794930586,0.99999999868958,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m16_N_sin,kelvin,16,sin,N,467.659518544119,0.9985000044454558,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_0.1_final,kelvin_m16_B_sin,kelvin,16,sin,B,257.50849007001113,0.9999999969420991,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m01_N_cos,kelvin,1,cos,N,2.8585116921829132,0.999736347181362,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m01_B_cos,kelvin,1,cos,B,3.504908497159824,0.9998817510495274,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m01_N_sin,kelvin,1,sin,N,2.8242441187133345,0.9997552947010093,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m01_B_sin,kelvin,1,sin,B,3.5270080957096064,0.9998952084491229,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m02_N_cos,kelvin,2,cos,N,4.313082691239952,0.8711907189813737,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m02_B_cos,kelvin,2,cos,B,4.439473040552531,0.8778419109051023,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m02_N_sin,kelvin,2,sin,N,4.299764002827733,0.862168462666692,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m02_B_sin,kelvin,2,sin,B,4.217162517516336,0.8856203814865949,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m03_N_cos,kelvin,3,cos,N,7.351456724164203,0.5841050393742303,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m03_B_cos,kelvin,3,cos,B,9.397425241923244,0.5433382102151896,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m03_N_sin,kelvin,3,sin,N,7.544363600042937,0.5759222120357711,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m03_B_sin,kelvin,3,sin,B,9.250122538404668,0.5506670843036605,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m04_N_cos,kelvin,4,cos,N,3.755857337524187,0.9986610826484922,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m04_B_cos,kelvin,4,cos,B,4.489931267495816,0.9989313791467662,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m04_N_sin,kelvin,4,sin,N,3.761369813067015,0.9987861777810297,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m04_B_sin,kelvin,4,sin,B,4.394823900825412,0.998315585257378,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m05_N_cos,kelvin,5,cos,N,4.027811680775668,0.9271749376767361,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m05_B_cos,kelvin,5,cos,B,4.68361227832408,0.9240593919034232,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m05_N_sin,kelvin,5,sin,N,7.015578221062795,0.68460107172188,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m05_B_sin,kelvin,5,sin,B,7.371181220412848,0.6513177173557393,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m06_N_cos,kelvin,6,cos,N,4.959100552467761,0.9995664635320972,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m06_B_cos,kelvin,6,cos,B,5.611564041816477,0.9993776455091938,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m06_N_sin,kelvin,6,sin,N,4.97287628604019,0.9993117159602725,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m06_B_sin,kelvin,6,sin,B,5.674651734675611,0.9994006996180286,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m07_N_cos,kelvin,7,cos,N,7.21158686645615,0.8842583179601821,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m07_B_cos,kelvin,7,cos,B,7.916287875294909,0.8792244292796307,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m07_N_sin,kelvin,7,sin,N,7.366056642009147,0.8731716155566084,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m07_B_sin,kelvin,7,sin,B,7.786460035372874,0.9008554539039577,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m08_N_cos,kelvin,8,cos,N,8.1682754326915,0.8530282639672778,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m08_B_cos,kelvin,8,cos,B,10.254409500178696,0.7780492668178307,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m08_N_sin,kelvin,8,sin,N,8.325441702138733,0.8427098178836765,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m08_B_sin,kelvin,8,sin,B,10.357754045411397,0.7863418386783918,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m09_N_cos,kelvin,9,cos,N,7.74998265200411,0.9986174391669421,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m09_B_cos,kelvin,9,cos,B,8.375106057344782,0.9987360834604616,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m09_N_sin,kelvin,9,sin,N,7.658529111765962,0.9987825234396397,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m09_B_sin,kelvin,9,sin,B,8.383719814086255,0.9982662361300051,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m10_N_cos,kelvin,10,cos,N,9.890359812747104,0.8918160899202823,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m10_B_cos,kelvin,10,cos,B,12.33982535748669,0.8399486163492,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m10_N_sin,kelvin,10,sin,N,9.544315922227904,0.9637652728512794,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m10_B_sin,kelvin,10,sin,B,11.217041633251432,0.9425434352280279,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m11_N_cos,kelvin,11,cos,N,10.150061704565976,0.9973550836411701,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m11_B_cos,kelvin,11,cos,B,10.837878886443528,0.9983768639817194,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m11_N_sin,kelvin,11,sin,N,10.13646365622152,0.9991015002435174,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m11_B_sin,kelvin,11,sin,B,10.802828635395018,0.9979900932650894,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m12_N_cos,kelvin,12,cos,N,13.195876171187754,0.9012129556979248,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m12_B_cos,kelvin,12,cos,B,14.946292209846211,0.8785347533879675,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m12_N_sin,kelvin,12,sin,N,12.731024557384838,0.9239436565614814,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m12_B_sin,kelvin,12,sin,B,15.22022569271152,0.8609126223484708,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m13_N_cos,kelvin,13,cos,N,16.555601919058343,0.800160556267406,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m13_B_cos,kelvin,13,cos,B,22.887832687246792,0.7191114267509311,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m13_N_sin,kelvin,13,sin,N,17.067170642363738,0.7958463922796242,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m13_B_sin,kelvin,13,sin,B,22.489224498985052,0.736864951382041,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m14_N_cos,kelvin,14,cos,N,14.749348855865355,0.995921730354272,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m14_B_cos,kelvin,14,cos,B,15.427617609382857,0.9960664079570686,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m14_N_sin,kelvin,14,sin,N,14.736499939925041,0.9964919047697782,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m14_B_sin,kelvin,14,sin,B,15.431207208381041,0.9963523180566899,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m15_N_cos,kelvin,15,cos,N,16.45809750552622,0.9855361767231411,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m15_B_cos,kelvin,15,cos,B,17.05045701064924,0.9895914341200501,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m15_N_sin,kelvin,15,sin,N,16.49668312499091,0.9853328871712722,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m15_B_sin,kelvin,15,sin,B,17.191960824523505,0.9787793430176733,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m16_N_cos,kelvin,16,cos,N,18.288116134890934,0.9993125251648577,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m16_B_cos,kelvin,16,cos,B,18.95117597223248,0.9991181346944316,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m16_N_sin,kelvin,16,sin,N,18.270365177670012,0.9992399140548527,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.123_final,kelvin_m16_B_sin,kelvin,16,sin,B,18.98422618645666,0.9988357885984832,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m01_N_cos,kelvin,1,cos,N,4.6416182608056555,0.9540373315591506,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m01_B_cos,kelvin,1,cos,B,4.532751685385409,0.8700374583371836,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m01_N_sin,kelvin,1,sin,N,4.895777546510999,0.8908383482419612,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m01_B_sin,kelvin,1,sin,B,4.659486639040395,0.9008309348178808,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m02_N_cos,kelvin,2,cos,N,4.763571056395475,0.9379773853619178,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m02_B_cos,kelvin,2,cos,B,4.952354828923604,0.8535262459456263,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m02_N_sin,kelvin,2,sin,N,4.787515774893088,0.9528682016701302,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m02_B_sin,kelvin,2,sin,B,4.439846724344621,0.8943100941059925,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m03_N_cos,kelvin,3,cos,N,5.258543929694449,0.8353469796224039,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m03_B_cos,kelvin,3,cos,B,5.240789263639393,0.9080179978991832,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m03_N_sin,kelvin,3,sin,N,6.631090169500023,0.8456384328441574,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m03_B_sin,kelvin,3,sin,B,5.4886371830012735,0.8130131957797399,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m04_N_cos,kelvin,4,cos,N,6.045667167674799,0.7493782843392958,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m04_B_cos,kelvin,4,cos,B,5.950698866267274,0.882530089014601,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m04_N_sin,kelvin,4,sin,N,6.525626690671401,0.8133384615614851,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m04_B_sin,kelvin,4,sin,B,6.245775232137611,0.8163817491796893,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m05_N_cos,kelvin,5,cos,N,7.7055165220244355,0.7345022443081165,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m05_B_cos,kelvin,5,cos,B,7.576729836553064,0.7452744682985486,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m05_N_sin,kelvin,5,sin,N,7.643702693283318,0.8771952935274145,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m05_B_sin,kelvin,5,sin,B,11.234275711742528,0.595984751243294,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m06_N_cos,kelvin,6,cos,N,10.196664953230046,0.66784113490956,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m06_B_cos,kelvin,6,cos,B,7.8014411673981074,0.9229957881628674,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m06_N_sin,kelvin,6,sin,N,8.765373938998028,0.9173137970985514,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m06_B_sin,kelvin,6,sin,B,11.214715298693195,0.7258392420691376,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m07_N_cos,kelvin,7,cos,N,9.271820696679148,0.9413133958998066,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m07_B_cos,kelvin,7,cos,B,8.178105534924399,0.9421070540685546,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m07_N_sin,kelvin,7,sin,N,10.798441442908917,0.8312685221317657,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m07_B_sin,kelvin,7,sin,B,9.644320546701218,0.8973642537097362,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m08_N_cos,kelvin,8,cos,N,10.195787279619712,0.9327606677926517,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m08_B_cos,kelvin,8,cos,B,9.823064831755072,0.9441984816628665,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m08_N_sin,kelvin,8,sin,N,10.804054125788065,0.8931198999585714,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m08_B_sin,kelvin,8,sin,B,9.937707233812702,0.906722038337666,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m09_N_cos,kelvin,9,cos,N,12.349153578072427,0.8966036179635302,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m09_B_cos,kelvin,9,cos,B,12.359540305773546,0.86585060742771,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m09_N_sin,kelvin,9,sin,N,13.190232565601475,0.8639009850785788,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m09_B_sin,kelvin,9,sin,B,13.292690408289177,0.8543681777015694,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m10_N_cos,kelvin,10,cos,N,13.86405537103368,0.9206964931297291,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m10_B_cos,kelvin,10,cos,B,14.681480831265086,0.8914701052413867,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m10_N_sin,kelvin,10,sin,N,14.456008239193887,0.8648509299701573,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m10_B_sin,kelvin,10,sin,B,14.5551222874443,0.8911143546001197,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m11_N_cos,kelvin,11,cos,N,18.877967315122007,0.8628874814610006,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m11_B_cos,kelvin,11,cos,B,15.400523794417571,0.93337713710038,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
knot_10.1_final,kelvin_m11_N_sin,kelvin,11,sin,N,16.909848335633693,0.9193586137434161,,,GEOMETRY_CANDIDATE_NOT_EIGENMODE
