knot_target,knot_source,orientation_deg,impact_parameter_R,separation_R,core_radius_R,gamma_proxy,velocity_rms_proxy,shape_velocity_rms_proxy,translation_fraction,rotation_fraction,shape_fraction,mode_capture_fraction,dominant_mode_id,dominant_mode_fraction,writhe_directional_response_per_Rrms,min_segment_distance_R,interpretation
knot_10.123_final,knot_10.123_final,45.0,0.35,4.0,0.05,1.0,0.009606736904651681,0.005046787542040442,0.7131795426524999,0.010840050467164386,0.2759804068803341,0.5971471671942002,kelvin_m08_B_cos,0.09852918661772696,1.265037803121682,1.8449177345457999,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,90.0,0.0,3.0,0.05,1.0,0.025872255607624732,0.017105352828720808,0.55156751108088,0.011317713366313067,0.4371147755528057,0.6215769294718702,kelvin_m08_B_cos,0.09088263200422138,1.4784443518820172,0.9155140350117725,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,90.0,0.0,4.0,0.05,1.0,0.009708121992718215,0.0051366284735533925,0.7090440730898683,0.011002453912434453,0.27995347299769635,0.5950426049909752,kelvin_m08_B_cos,0.10312418946458843,1.2970298784292702,1.8376147658347275,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,90.0,0.35,3.0,0.05,1.0,0.025413128442027103,0.01695992839520451,0.5455234226264065,0.009095495637247705,0.44538108173634516,0.5751032413260574,kelvin_m08_B_cos,0.09781301438964413,1.4539646864577052,0.9006232809931339,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,90.0,0.35,4.0,0.05,1.0,0.009589652622600626,0.005063332096540693,0.7104023570447735,0.010814137188886231,0.27878350576634,0.5903619054318208,kelvin_m08_B_cos,0.10312260537633264,1.2848821010342721,1.8832478817713574,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,135.0,0.0,3.0,0.05,1.0,0.026557539863251385,0.017988467904359092,0.5311618938377133,0.010049454188553218,0.4587886519737335,0.5428436107351268,kelvin_m08_B_cos,0.09513405472278391,1.4631656324076703,0.7712631718269662,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,135.0,0.0,4.0,0.05,1.0,0.009754297567218904,0.005180796443030444,0.70697523463089,0.0109260831121712,0.28209868225693674,0.5789723861955315,kelvin_m08_B_cos,0.10550854029661645,1.3254657224230983,1.7668172847407835,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,135.0,0.35,3.0,0.05,1.0,0.02577776449700689,0.01714145029435603,0.5451926887604409,0.012621682197987923,0.44218562904157216,0.563086062675906,kelvin_m08_B_cos,0.07942552443053051,1.5055219668446642,0.7779959513615422,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.123_final,knot_10.123_final,135.0,0.35,4.0,0.05,1.0,0.00961967545972482,0.005084969400550049,0.7095153708670459,0.011065685250166237,0.27941894388278693,0.5832586404481139,kelvin_m08_B_cos,0.1019795702928779,1.320012554260558,1.7684780368552093,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_10.1_final,knot_10.1_final,0.0,0.0,3.0,0.05,1.0,0.027690044617954063,0.024262543909914145,0.2034649837812255,0.028775235651681035,0.7677597805670932,0.6302187784011907,kelvin_m01_N_cos,0.07658779761902489,-0.2836739926115328,0.5625417844647674,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
