source,source_family,canonical_id,variant,kind,topology_class,sha256
fremlin:7_1:knot.7_1,fremlin,7_1,knot.7_1,fseries,knot,fecaf3a5cc5cf6b119aed022bf5ca681155db23d179a5393708944e61f907572
fremlin:7_1:knot.7_1p,fremlin,7_1,knot.7_1p,fseries,knot,2c62358ece6a742a22d6160b20ff1f8b1ed2f634bbf9ae28c5d1b314152b906a
fremlin:7_2:knot.7_2,fremlin,7_2,knot.7_2,fseries,knot,6b43345f0304194b1f7e4abc672cdead4c9208e64d73f203382fa016f5f4d06f
fremlin:7_2:knot.7_2d,fremlin,7_2,knot.7_2d,fseries,knot,9ea35b50522c8a9671d313fd5cc93663491146cb1f8d18f0a0128febea982f1c
fremlin:7_2:knot.7_2r,fremlin,7_2,knot.7_2r,fseries,knot,5d7704f1773e63217d9ededa1a7d92d519ce4a6e32e3fbf970ebe01ae4c3465c
fremlin:7_3:knot.7_3,fremlin,7_3,knot.7_3,fseries,knot,9dc0bac5670f311d4bb402fdd001c4712796c85066dbc696f96232a140c7ee03
fremlin:7_3:knot.7_3d,fremlin,7_3,knot.7_3d,fseries,knot,66468831adb23de3924e23ac8496387f3b3af6efa77e816ea88226417bb08a29
fremlin:7_4:knot.7_4,fremlin,7_4,knot.7_4,fseries,knot,bfdfbacdf2011fd41abd90393d04421b9728c906941508165ee6ce3693b675d0
fremlin:7_5:knot.7_5,fremlin,7_5,knot.7_5,fseries,knot,2d2f150256ac71a938842d5d637b3bb3c1cda167458d4d131d3ca5e470dc3f12
fremlin:7_5:knot.7_5d,fremlin,7_5,knot.7_5d,fseries,knot,c6b721096d19b55c086462cb47879907c2d5630cb72544303d9f72a874a45ff0
fremlin:7_6:knot.7_6d,fremlin,7_6,knot.7_6d,fseries,knot,0f3921472c4240aacd72bc41d6ef7e343e8870565a0f4329723e3cabe5b73f52
fremlin:7_6:knot.7_6s,fremlin,7_6,knot.7_6s,fseries,knot,25449fc1cf63056a094c08ed3a9e41598817a6ebd8baeae610492a4bada0a056
fremlin:7_7:knot.7_7d,fremlin,7_7,knot.7_7d,fseries,knot,2c4c644cc62dd0e639115f5b3759c613e8866591254573e92cc778a826a81231
fremlin:8_1:knot.8_1,fremlin,8_1,knot.8_1,fseries,knot,f3728d1157e836130bde8c8f67a147ccf720428e9130be0e49d276777ffa09a4
fremlin:8_1:knot.8_1d,fremlin,8_1,knot.8_1d,fseries,knot,836641f2307cdb1f652320b65af045ba6864443184d47f7cff142f1b8dde0aab
fremlin:8_10:knot.8_10s,fremlin,8_10,knot.8_10s,fseries,knot,be7e95480a1728cdaaf6844c6affe15e055471695376abfc2ae326b83ee86229
fremlin:8_11:knot.8_11,fremlin,8_11,knot.8_11,fseries,knot,92b36e6ffa73f4280f9998df37980a0ccc6e6ae2dd4ce7dc00284d1b1b41143f
fremlin:8_11:knot.8_11d,fremlin,8_11,knot.8_11d,fseries,knot,80cfdd99537cddc6267449d296f9ecc876c59b57f3cf0ce62727d84ca05982f0
fremlin:8_12:knot.8_12d,fremlin,8_12,knot.8_12d,fseries,knot,2119d4fc2f0ced91b827195706dfd78f451ca352cca02da60d66c10e446b4593
fremlin:8_12:knot.8_12z,fremlin,8_12,knot.8_12z,fseries,knot,7a5d1676d7998921f053594533e2b7792a8cfacf949b929603cded7af5ef540d
fremlin:8_13:knot.8_13d,fremlin,8_13,knot.8_13d,fseries,knot,8f578f9f6c2c3d9fb78d80d00acb812ea648939af9c3cc078add77432a1b5780
fremlin:8_13:knot.8_13p,fremlin,8_13,knot.8_13p,fseries,knot,4e0cb979fa3922de5ae89b47b259b20a5a1b190139dba6443830560c4786d046
fremlin:8_14:knot.8_14d,fremlin,8_14,knot.8_14d,fseries,knot,2235670dc562564d6dc9372154d5cd44ecfbf6bef7968f89654cabb8bba5e4ae
fremlin:8_14:knot.8_14r,fremlin,8_14,knot.8_14r,fseries,knot,7982f98e5c7bc8cecfd219583f2d8ca99526acedc124a0c870f429dd4c9ddc2c
fremlin:8_15:knot.8_15,fremlin,8_15,knot.8_15,fseries,knot,fd7644168aa8914ae7a3c7c09cac88d6900596271ab0d63cf59bd185c474f216
fremlin:8_15:knot.8_15d,fremlin,8_15,knot.8_15d,fseries,knot,1b6b05b5c16fa4b74f8387ea8369fdd71fc91ae5789098d5da747f24e4210083
fremlin:8_15:knot.8_15p,fremlin,8_15,knot.8_15p,fseries,knot,73efb0d1fb17804a49d5fbbfdc1feeec8cec293ba66e273d6f3c18b65094a328
fremlin:8_16:knot.8_16,fremlin,8_16,knot.8_16,fseries,knot,99e5c20b77d6f00218c479f7c1bb3fe4e3c32f6155b3beaf9fd10b06ae27b2e0
fremlin:8_17:knot.8_17,fremlin,8_17,knot.8_17,fseries,knot,b685e784137498050897ff33e3dd6056e194367534f411a282bc267e35793f04
fremlin:8_18:knot.8_18,fremlin,8_18,knot.8_18,fseries,knot,a7df4c49d95b9ba2af96b0859beb70669a55252b8e30804ba64048ca013c0ba2
fremlin:8_18:knot.8_18z,fremlin,8_18,knot.8_18z,fseries,knot,6d718220446ce66e20090a5c88c9ae76e79bb0ebab6906ee6588749c776e8127
fremlin:8_19:knot.8_19t,fremlin,8_19,knot.8_19t,fseries,knot,2ec75cd3d4438acd599b18bee86443dfb70fd72d7abdbc578da4148012bc6fb8
fremlin:8_19:knot.8_19u,fremlin,8_19,knot.8_19u,fseries,knot,f145ae0521f4fdef6c704608f4c4b1d90b96a83dbae19cea29250ee0990ae1cc
fremlin:8_2:knot.8_2,fremlin,8_2,knot.8_2,fseries,knot,12a90b6a12b6f81f2c308b88ce66b503b671862fb2e82bcd2249d3695390000c
fremlin:8_2:knot.8_2d,fremlin,8_2,knot.8_2d,fseries,knot,e9603a7a89a752c45e6f1799706413a7698bd4ca9b424786a01a62b6dbc2ee68
fremlin:8_20:knot.8_20r,fremlin,8_20,knot.8_20r,fseries,knot,fcf039afb4be17f23c30a71299e66406655144b4d68b77c273a3c4f00c36e285
fremlin:8_21:knot.8_21d,fremlin,8_21,knot.8_21d,fseries,knot,46cd027a5123b618218f8481655ab77b4c15d0420647c1a565896216ec1fd2ad
fremlin:8_21:knot.8_21p,fremlin,8_21,knot.8_21p,fseries,knot,18c39ad082f10cd467c72aaa5a42e1154cecac7eaf82038dcc26a2f4efb64641
fremlin:8_21:knot.8_21r,fremlin,8_21,knot.8_21r,fseries,knot,71b47a4d1ae0b5665a5f4de39ca46850c15561136c575dc97ba2d8a4aac6aaa5
fremlin:8_3:knot.8_3,fremlin,8_3,knot.8_3,fseries,knot,c764fd76af4796e150803f2dd742f08959ffd43a81b9edfbbc630f2842f0b807
fremlin:8_3:knot.8_3d,fremlin,8_3,knot.8_3d,fseries,knot,f89f6b130f918436e170d7d7a168e4cbc31efc448ce15f257d8bce67da02149c
fremlin:8_3:knot.8_3z,fremlin,8_3,knot.8_3z,fseries,knot,9f8d6a783737ab2469e206c744bb2e2c3c050829f7bc98350ff7f839cc0f4aec
fremlin:8_4:knot.8_4,fremlin,8_4,knot.8_4,fseries,knot,2cccf0b4be226a94891acd488ab8fcdd83b49b359807bfcda6e08faeb244de23
fremlin:8_4:knot.8_4d,fremlin,8_4,knot.8_4d,fseries,knot,42cfbf2a35a67bc692e0240e80994a9ea8a48de9cd6f9b2bdb664b6de1b353e9
fremlin:8_5:knot.8_5,fremlin,8_5,knot.8_5,fseries,knot,7bac2d2fd2dde9cc41d94863f853479ed3404ce5c578110b4524d9b3c475b726
fremlin:8_6:knot.8_6,fremlin,8_6,knot.8_6,fseries,knot,70be1fde83538969651fd56a8a3d0c16258e5bd599bee01407f832e75183f1e6
fremlin:8_6:knot.8_6p,fremlin,8_6,knot.8_6p,fseries,knot,628ee9a08b61578b75149334d600e7315abde6d81756263bb0d14209e2505a22
fremlin:8_7:knot.8_7d,fremlin,8_7,knot.8_7d,fseries,knot,c92b8576c2de91fc995a1a510d6df66466f5937f818fde976d1b344fc8bb1d2d
fremlin:8_7:knot.8_7s,fremlin,8_7,knot.8_7s,fseries,knot,b86297715b2c98f7791a4a49af5fd249d63082610831e58dd82b496039fd6fa3
fremlin:8_8:knot.8_8d,fremlin,8_8,knot.8_8d,fseries,knot,b8e2521a3728375f21d8038a3783cdd84975c8db8c882699029dd14d6db15639
fremlin:8_9:knot.8_9d,fremlin,8_9,knot.8_9d,fseries,knot,2b27df202004a3cd45f9a97f5c6fe705db33a63463f48752924aa1db88e75bca
fremlin:9_2:knot.9_2,fremlin,9_2,knot.9_2,fseries,knot,1fe43f0103ced88682b8497432c3d69136aeb3191e783b875a739902842def28
fremlin:9_2:knot.9_2n,fremlin,9_2,knot.9_2n,fseries,knot,d5d0c95679d554adf63b38ca15f1324ee3bfc036d4c8d4c4bbd98feb8c7558a9
knotplot:knot_0.1,knotplot,0_1,knot_0.1_final,knotplot,unknot,6f89c421965ed6cc2ae690cdf9f6a39f80ca4faeb0d9cbb331d81e47a624c1fc
knotplot:link_0.2.1,knotplot,0_2_1,link_0.2.1_final,knotplot,unlink,da65b64ff17e69faaa8592c0010946fb03a8f6261e71842049224723eb7b8e6a
knotplot:link_0.3.1,knotplot,0_3_1,link_0.3.1_final,knotplot,unlink,2ee9f61985e229322d6d038c39c22ee21259c1bbc0d2a7c2acfd51dfb51dbdcf
knotplot:knot_10.1,knotplot,10_1,knot_10.1_final,knotplot,knot,f03d7ff827be5b4e6bde2b98aed16b1aeffd00bd89a44f84b5de82fed242477a
knotplot:knot_10.123,knotplot,10_123,knot_10.123_final,knotplot,knot,7c3d634f3c6df14908cb935ca7636834488b6afc8d112c85bc7b8a6ad603066c
knotplot:torus_2.11,knotplot,2_11,torus_2.11_final,knotplot,torus_knot,5b04de2f9c7b336c962f51ac436def92e7a0ca15665ac8764e440f117993428f
knotplot:link_2.2.1,knotplot,2_2_1,link_2.2.1_final,knotplot,link,e8b1dd43b21640afe852dd45e4b5223c82734e5446cd60a5b37225d37c2dd0a2
knotplot:torus_2.3,knotplot,2_3,torus_2.3_final,knotplot,torus_knot,1c98ace74089b1e837b66b23f1124dc8e1f4755bf8c9ec6a7454bf65d5bed500
knotplot:torus_2.4,knotplot,2_4,torus_2.4_final,knotplot,torus_link,652c2538c1f7d922a8cc1d1af433737f59ee6203e44dfcf8b8e443484b5d0bd8
knotplot:torus_2.5,knotplot,2_5,torus_2.5_final,knotplot,torus_knot,85ccd2e3f0af33b09722bca6bfe808d797a6ecdf3cec9566638121b5c97d47e7
knotplot:torus_2.6,knotplot,2_6,torus_2.6_final,knotplot,torus_link,2b28b693246f143f0b2a3dfd9df3fb806180c4e253a5659367cb6cd17d5ea258
knotplot:torus_2.7,knotplot,2_7,torus_2.7_final,knotplot,torus_knot,50abd3d2c615fa1ca5387e9d7bedaa8590b35f295592d898a46692d969127620
knotplot:torus_2.8,knotplot,2_8,torus_2.8_final,knotplot,torus_link,ba1a7e1ff2b26f17f8a91bdc5de3cdc63a57a43ec3da5382a8a3e54907395a68
knotplot:torus_2.9,knotplot,2_9,torus_2.9_final,knotplot,torus_knot,d5de6920f0885d8db8a98a00f60f25b99008882d816d183c7322c8416246948c
knotplot:knot_3.1,knotplot,3_1,knot_3.1_final,knotplot,knot,0301d9112581299b98294f80e0bb7d214f9b6de04ab76f587e278fa3f3ee9732
knotplot:torus_3.3,knotplot,3_3,torus_3.3_final,knotplot,torus_link,61b9e1f84f79883b7e94d69db26ebeb5b005dea9c4612fe6f77b3709636c1e47
knotplot:torus_3.6,knotplot,3_6,torus_3.6_final,knotplot,torus_link,0254682e358105a5376bdea998483dee24401bebfd1c622ccb9f2c12466116b2
knotplot:torus_3.9,knotplot,3_9,torus_3.9_final,knotplot,torus_link,80f4e30e84f1b7613886097efb938a8158fc497306e60aed2579a330d245a4f0
knotplot:knot_4.1,knotplot,4_1,knot_4.1_final,knotplot,knot,edc6781b9ed771d49631ad89e250aaa22fcd153797b5a23e4949af9bbf4d18f3
knotplot:link_4.2.1,knotplot,4_2_1,link_4.2.1_final,knotplot,link,05a613e6d519a964dfb8fcd44fdf825d3e7a83cf1b7cd8a3633e5ee2da98b358
knotplot:knot_5.1,knotplot,5_1,knot_5.1_final,knotplot,knot,d54052906876c24f94e2975ff42a4a73de955b3c6fa66d0c19cf3aff56ab7f6a
knotplot:knot_5.2,knotplot,5_2,knot_5.2_final,knotplot,knot,97b268e68edccf6878ebbece4f714c4f4dd4037eb21a8599dd65d505e068d1b0
knotplot:link_5.2.1,knotplot,5_2_1,link_5.2.1_final,knotplot,link,f9c6d79909356bd7777f29132f3d64e47f26eb9a4ebc75043fb4a24a16a1d4e2
knotplot:knot_6.1,knotplot,6_1,knot_6.1_final,knotplot,knot,44e5a96d7022d54c0abc39e9f9dbd08397e526c52000e2f8de8061d6d0f4bf13
knotplot:torus_6.15,knotplot,6_15,torus_6.15_final,knotplot,torus_link,f3ecc9b446954f6f78074fdbb4d70ace8e7c4c5526628b66779a5671a9ddba21
knotplot:knot_6.2,knotplot,6_2,knot_6.2_final,knotplot,knot,61f2ba7a09821bc3a9de94eb5e44692aa26ee8a4b624d8b34396203c2f20f642
knotplot:torus_6.21,knotplot,6_21,torus_6.21_final,knotplot,torus_link,f024fd71d0051b32d2bed8eb714a288b5299589734f8aad1ae51224bc0513f24
knotplot:link_6.2.1,knotplot,6_2_1,link_6.2.1_final,knotplot,link,d936b148d0e687d306a2640d9f2e48393d4152b9eede67fa1bdeb9e61c3ebbdc
knotplot:knot_6.3,knotplot,6_3,knot_6.3_final,knotplot,knot,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57
knotplot:link_6.3.1,knotplot,6_3_1,link_6.3.1_final,knotplot,link,4a1eca037b4671ad7296ab17e11f594e5032e7cfadf42af1204287f595eb73e3
knotplot:link_6.3.2,knotplot,6_3_2,link_6.3.2_final,knotplot,link,fb9f648ce5ea0a5c382c5abd126ec14aaff356dcbb3db8bd9b5ffcfe21a99eab
knotplot:link_6.3.3,knotplot,6_3_3,link_6.3.3_final,knotplot,link,826c43d3149cc6f2f0905f973c7b8c08380eebae5d9558b59883b2f4d98c2c5b
knotplot:torus_6.9,knotplot,6_9,torus_6.9_final,knotplot,torus_link,fc915c04a6cf2946d0a7d4b9a53c42aba018557b1db35b76d60b5b3102b94734
knotplot:knot_7.1,knotplot,7_1,knot_7.1_final,knotplot,knot,79b66c2d6bb799e8fe933ebcdf41957b275f577a82eec0c770ac55a81461516e
knotplot:knot_7.2,knotplot,7_2,knot_7.2_final,knotplot,knot,24cb1998ccbef26ac4d8755fb2f845acd0a6f73d7836db2cb1f67926417f3386
knotplot:link_7.2.5,knotplot,7_2_5,link_7.2.5_final,knotplot,link,2e1ff55f2dbcb200c172137f1bfda96db7dd998806c38461e3d577686ac28e8c
knotplot:link_7.2.6,knotplot,7_2_6,link_7.2.6_final,knotplot,link,46e9eef6b2f1b233cd044b8c4da50bcc9d71b03682ed265ab1bc50fbcf3b886f
knotplot:link_7.2.8,knotplot,7_2_8,link_7.2.8_final,knotplot,link,9190be88d45765116989f30958391a9a795c3ea3f4779bacf4993bbc968cea98
knotplot:knot_7.3,knotplot,7_3,knot_7.3_final,knotplot,knot,04e7ec789ef929f30bf24f0937343aaf0cf28a7f34cb1ca53ca2ec9ded05ae58
knotplot:knot_7.4,knotplot,7_4,knot_7.4_final,knotplot,knot,ffb8021c4db519e46ac7cbf603f745d8d480c633d79b7f4c1e69ca2fc57c5398
knotplot:knot_8.1,knotplot,8_1,knot_8.1_final,knotplot,knot,254f4e6a6972ff14d532cc9fc1bc6ae3f13cde047993a6d51256bbcfd9d0b95a
knotplot:knot_8.17,knotplot,8_17,knot_8.17_final,knotplot,knot,26272c74a20e2338c04f0690c8d0294aa19e64e03e7ab3f7598c662ee190358b
knotplot:knot_8.18,knotplot,8_18,knot_8.18_final,knotplot,knot,9836871d37b6abf573047a71c9bfa2ee4c7b83edf8fa84f1ae0ee94e0ddcc5ae
knotplot:link_8.2.1,knotplot,8_2_1,link_8.2.1_final,knotplot,link,773b5e67a82396c72fc455fe58f14bace99bcf00ccd61a052cf087d00e7c8a55
knotplot:knot_9.1,knotplot,9_1,knot_9.1_final,knotplot,knot,7861bfb1a9b29bd6e57229c4349f96dfd59a8b149d91da6b5156426a0fd198ef
knotplot:knot_9.2,knotplot,9_2,knot_9.2_final,knotplot,knot,5a27e68f78ff4ccacce8f3baa7f43506c437ed62551f6808c9eac35269e11dde
knotplot:link_9.2.20,knotplot,9_2_20,link_9.2.20_final,knotplot,link,66bac3fbecd8197e4655d031fa1344c8b96009e17f17424daf46507912a776f5
knotplot:link_9.2.40,knotplot,9_2_40,link_9.2.40_final,knotplot,link,6ae57b85756b4b2ae242e228e0b19319f124b8c4a8a0dfaf70ba154f5daa15b3
knotplot:knot_9.35,knotplot,9_35,knot_9.35_final,knotplot,knot,d5c78e55dbf668790ba1d0638103853eaa22d58ba42b32f072072de8106c4256
