blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non,analysis_scope,jacobian_reference_eps,jacobian_convergence_eps_count,jacobian_robustness_eps_count,jacobian_robustness_relative_drift_max,dominant_kmax_boundary_weight,dominant_kelvin_k,kmax_basis_present,min_component_nyquist_k,spectral_nyquist_fraction,spectral_nyquist_safe,reduced_mode_count,spectral_extension_fast_path
B17,fremlin:8_3:knot.8_3z,knot,1,LINEAR_FAIL,1,0.0589558480095508,0.06550649778838978,1.1111111111111112,0.7225940940732124,0.1334970030226816,0.035044096968036835,0.13101299557677956,inf,0.345281342858039,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.013514230353323775,8,True,360,0.08888888888888889,True,127,True
B18,fremlin:5_2:knot.5_2r,knot,1,LINEAR_FAIL,1,0.02609748443087674,0.02899720492319638,1.1111111111111112,0.6442593295669174,0.6686323745886801,0.05383137308248553,0.00754759966812704,inf,0.011173540063924237,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0007027009664492952,6,True,360,0.08888888888888889,True,127,True
B19,knotplot:knot_9.1,knot,1,LINEAR_FAIL,1,0.07030522286222533,0.07811691429136147,0.7253018281761305,0.33879991934529113,0.23519442318987718,0.018454425113778074,0.15623564366708068,inf,0.3553159777958903,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,7.016327338130976e-07,2,True,360,0.08888888888888889,True,127,True
B20,knotplot:knot_8.17,knot,1,LINEAR_FAIL,1,0.07547861606894735,0.08386512896549705,0.7158688185536375,0.20176039166849952,0.06812176748494843,0.08917670746685268,0.16773327783579975,inf,-0.06305911466977662,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.009853145788531656,2,True,360,0.08888888888888889,True,127,True
B21,fremlin:7_3:knot.7_3,knot,1,LINEAR_PASS,1,0.06514246086129193,0.07238051206810214,1.1111111111111112,0.36215704725560927,0.08361579930948165,0.03769979519483314,0.14476102413620429,inf,-9.069706150092251e-14,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00296120817137711,7,True,360,0.08888888888888889,True,127,True
B22,fremlin:8_7:knot.8_7s,knot,1,LINEAR_PASS,1,0.049726845408067676,0.05525205045340853,1.1111111111111112,0.42533576872507617,0.11815407636584496,0.04096949947994478,0.1359411327834452,inf,-0.3199858589398662,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.013022085620738632,4,True,360,0.08888888888888889,True,127,True
B23,fremlin:8_13:knot.8_13p,knot,1,LINEAR_FAIL,1,0.010866023991279549,0.01207335999031061,1.1111111111111112,0.7657912359131263,0.6378073481082421,0.407409943149907,0.00036466158074512436,inf,7.202318023892791e-13,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.059925559372954,29,True,360,0.08888888888888889,True,127,True
B24,knotplot:torus_2.8,torus_link,2,LINEAR_FAIL,2,0.07831089551607924,0.08701210612897693,1.1111121485501108,0.33753554585228324,0.08538482124105518,0.15511589167751083,0.23869368160619647,0.17402437474350807,4.63699569447745e-05,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,7.047633284020254e-05,4,True,180,0.17777777777777778,True,254,True
B25,fremlin:3_1:knot.3_1,knot,1,LINEAR_PASS,1,0.16551439516461458,0.18390488351623843,1.1111111111111112,0.3426926660022589,0.07971681275127966,0.025054882424440216,0.36780976703247686,inf,-0.2574681639609442,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,3.1657282548874352e-28,3,True,360,0.08888888888888889,True,127,True
B26,fremlin:8_19:knot.8_19t,knot,1,LINEAR_FAIL,1,0.08747917851033622,0.0971990872337069,1.111111111111111,0.4351752312004025,0.12669808958368198,0.03197426249625731,0.1943981744674138,inf,-0.23414128246291668,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.004157773235178798,4,True,360,0.08888888888888889,True,127,True
