cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,ppw,wavelength_status,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
22,2,42;44,oscillatory,-0.44610963919709123,-5.276011219535612e-18,21,3.0476190476190474,UNDERRESOLVED,-0.999871805154;-0.999871805154,1.0669396477974333,1.0980938268487255,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
23,2,43;45,oscillatory,0.44610963919709123,-5.276011219535612e-18,21,3.0476190476190474,UNDERRESOLVED,0.999871805154;0.999871805154,1.0669396477974333,1.0980938268487255,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
24,2,46;48,oscillatory,-0.39428805134932465,-2.638005609767805e-18,20,3.2,UNDERRESOLVED,-0.999830999555;-0.999830999555,1.0009657659696816,1.0017362414492041,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
25,2,47;49,oscillatory,0.39428805134932465,-2.638005609767805e-18,20,3.2,UNDERRESOLVED,0.999830999555;0.999830999555,1.0009657659696816,1.0017362414492041,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
26,2,50;52,oscillatory,-0.3420126405394478,-2.638005609767806e-18,19,3.3684210526315788,UNDERRESOLVED,-0.999769035333;-0.999769035333,1.0144101936317051,1.0239824399671458,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
27,2,51;53,oscillatory,0.3420126405394478,-2.638005609767806e-18,19,3.3684210526315788,UNDERRESOLVED,0.999769035333;0.999769035333,1.0144101936317051,1.0239824399671458,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
28,2,54;56,oscillatory,-0.290114245738034,9.81008336132403e-18,18,3.5555555555555554,UNDERRESOLVED,-0.999670659749;-0.999670659749,8.462369088499205,15.923592837358136,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
29,2,55;57,oscillatory,0.290114245738034,9.81008336132403e-18,18,3.5555555555555554,UNDERRESOLVED,0.999670659749;0.999670659749,8.462369088499205,15.923592837358136,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
30,2,58;60,oscillatory,-0.23941873187040616,-1.0552022439071224e-17,17,3.764705882352941,UNDERRESOLVED,-0.999505301286;-0.999505301286,1.1254734977529215,1.1264677563983563,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
31,2,59;61,oscillatory,0.23941873187040616,-1.0552022439071224e-17,17,3.764705882352941,UNDERRESOLVED,0.999505301286;0.999505301286,1.1254734977529215,1.1264677563983563,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
32,2,62;64,oscillatory,-0.19073093139281685,5.6057619207565885e-18,16,4.0,UNDERRESOLVED,-0.999205530166;-0.999205530166,3.125189715306086,5.223351721509744,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
33,2,63;65,oscillatory,0.19073093139281685,5.6057619207565885e-18,16,4.0,UNDERRESOLVED,0.999205530166;0.999205530166,3.125189715306086,5.223351721509744,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
34,2,66;68,oscillatory,-0.14481664719665796,-1.8466039268374644e-17,15,4.266666666666667,UNDERRESOLVED,-0.998601883293;-0.998601883293,1.7516876386910871,2.4043502090063624,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
35,2,67;69,oscillatory,0.14481664719665796,-1.8466039268374644e-17,15,4.266666666666667,UNDERRESOLVED,0.998601883293;0.998601883293,1.7516876386910871,2.4043502090063624,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
36,2,70;72,oscillatory,-0.10237995301218523,-2.4813740266878428e-17,14,4.571428571428571,UNDERRESOLVED,-0.997179016665;-0.997179016665,1.2277817174406696,1.255525501809171,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
37,2,71;73,oscillatory,0.10237995301218523,-2.4813740266878428e-17,14,4.571428571428571,UNDERRESOLVED,0.997179016665;0.997179016665,1.2277817174406696,1.255525501809171,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
38,2,74;76,oscillatory,-0.06402195531982365,-1.7724100190627448e-17,13,4.923076923076923,UNDERRESOLVED,-0.992796564131;-0.992796564131,2.295742688868069,3.515366937528899,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
