frame,time,component,rmsd,normalized_rmsd,Q_geom,dmin_mean,dmin_max,defect_fraction,largest_defect_cluster_fraction,Q_phase,global_phase_shift_rad
14,2.333333333333333,0,0.006655122646461624,0.006655122646461624,0.9999557103233773,1.455552647217388e-07,2.897030071032691e-07,0.0,0.0,0.9921650439319478,1.6332099008164374
15,2.5,0,0.007130488549780312,0.007130488549780312,0.9999491574255689,1.6709150286934291e-07,3.325672275420156e-07,0.0,0.0,0.993181186097384,1.749952582460633
16,2.6666666666666665,0,0.007605854453098998,0.007605854453098998,0.9999421526512606,1.9011299882023017e-07,3.7838760111446636e-07,0.0,0.0,0.9943602037886834,1.8666821317090754
17,2.833333333333333,0,0.008081220356417685,0.008081220356417685,0.9999346960099494,2.146197525744006e-07,4.27164127820633e-07,0.0,0.0,0.9954667553441124,1.9833769689954763
18,3.0,0,0.008556586259736374,0.008556586259736374,0.9999267875117447,2.406117641318538e-07,4.788968076605001e-07,0.0,0.0,0.9962548803769018,2.1000321129734374
19,3.1666666666666665,0,0.009031952163055062,0.009031952163055062,0.9999184271673687,2.6808903349259016e-07,5.335856406340726e-07,0.0,0.0,0.9965627427054011,2.2166599034132783
20,3.333333333333333,0,0.009507318066373747,0.009507318066373747,0.9999096149881561,2.9705156065660943e-07,5.912306267413615e-07,0.0,0.0,0.9963809302981772,2.3332835056529007
21,3.5,0,0.009982683969692435,0.009982683969692435,0.9999003509860541,3.27499345623912e-07,6.51831765982344e-07,0.0,0.0,0.9958629449804011,2.4499261799134917
22,3.6666666666666665,0,0.010458049873011122,0.010458049873011122,0.9998906351736223,3.59432388394498e-07,7.153890583570414e-07,0.0,0.0,0.9952705401671484,2.566600967305118
23,3.833333333333333,0,0.010933415776329811,0.010933415776329811,0.9998804675640328,3.9285068896836553e-07,7.819025038654457e-07,0.0,0.0,0.9948743258077034,2.6833051972942985
24,4.0,0,0.011408781679648497,0.011408781679648497,0.9998698481710704,4.2775424734551745e-07,8.513721025075513e-07,0.0,0.0,0.9948491283416282,2.800022149273544
25,4.166666666666666,0,0.011884147582967184,0.011884147582967184,0.9998587770091317,4.6414306352595184e-07,9.237978542833721e-07,0.0,0.0,0.9952059587896378,2.9167290818964
26,4.333333333333333,0,0.012359513486285872,0.012359513486285872,0.9998472540932264,5.020171375096699e-07,9.99179759192897e-07,0.0,0.0,0.9957877208820218,3.033407993549399
27,4.5,0,0.01283487938960456,0.01283487938960456,0.9998352794389759,5.413764692966706e-07,1.0775178172361164e-06,0.0,0.0,0.9963303672265096,-3.133131074637006
28,4.666666666666666,0,0.013310245292923248,0.013310245292923248,0.9998228530626142,5.822210588869542e-07,1.1588120284130684e-06,0.0,0.0,0.996565124029798,-3.0165062504064246
29,4.833333333333333,0,0.013785611196241936,0.013785611196241936,0.9998099749809876,6.245509062805215e-07,1.2430623927237085e-06,0.0,0.0,0.9963209035083067,-2.89988034827672
30,5.0,0,0.014260977099560625,0.014260977099560625,0.9997966452115543,6.683660114773706e-07,1.3302689101680635e-06,0.0,0.0,0.9955861324630696,-2.7832295699755414
31,5.166666666666666,0,0.014736343002879309,0.014736343002879309,0.9997828637723852,7.136663744775041e-07,1.4204315807460967e-06,0.0,0.0,0.9945065173577994,-2.6665397573611735
32,5.333333333333333,0,0.015211708906197996,0.015211708906197996,0.9997686306821629,7.604519952809207e-07,1.5135504044578673e-06,0.0,0.0,0.993322588022836,-2.549813624802936
33,5.5,0,0.015687074809516685,0.015687074809516685,0.9997539459601824,8.087228738876191e-07,1.6096253813033628e-06,0.0,0.0,0.9922760276694539,-2.4330709980080663
34,5.666666666666666,0,0.01616244071283537,0.01616244071283537,0.9997388096263504,8.584790102976023e-07,1.7086565112825233e-06,0.0,0.0,0.991525569708225,-2.3163416598409987
35,5.833333333333333,0,0.01663780661615406,0.01663780661615406,0.9997232217011859,9.097204045108657e-07,1.8106437943954133e-06,0.0,0.0,0.9911069284095022,-2.199653589665933
36,6.0,0,0.01711317251947275,0.01711317251947275,0.9997071822058199,9.624470565274136e-07,1.915587230641995e-06,0.0,0.0,0.9909504322662388,-2.0830214686378232
37,6.166666666666666,0,0.017588538422791435,0.017588538422791435,0.9996906911619949,1.0166589663472462e-06,2.023486820022315e-06,0.0,0.0,0.990944245968902,-1.966440294954925
38,6.333333333333333,0,0.018063904326110124,0.018063904326110124,0.9996737485920659,1.0723561339703594e-06,2.1343425625362803e-06,0.0,0.0,0.9910113132081705,-1.8498867974124682
39,6.5,0,0.01853927022942881,0.01853927022942881,0.9996563545189993,1.1295385593967589e-06,2.248154458184006e-06,0.0,0.0,0.9911626528160106,-1.7333280608606765
40,6.666666666666666,0,0.019014636132747495,0.019014636132747495,0.9996385089663732,1.188206242626438e-06,2.3649225069654512e-06,0.0,0.0,0.9915006649097101,-1.6167338229844588
41,6.833333333333333,0,0.019490002036066184,0.019490002036066184,0.9996202119583777,1.2483591836594012e-06,2.4846467088805677e-06,0.0,0.0,0.9921688723357777,-1.5000874474045354
42,7.0,0,0.01996536793938487,0.01996536793938487,0.9996014635198144,1.3099973824956475e-06,2.607327063929402e-06,0.0,0.0,0.993269104306487,-1.383391159430102
43,7.166666666666666,0,0.02044073384270356,0.02044073384270356,0.9995822636760964,1.3731208391351777e-06,2.7329635721119404e-06,0.0,0.0,0.9947828796639412,-1.2666635357535971
44,7.333333333333333,0,0.020916099746022244,0.020916099746022244,0.9995626124532485,1.4377295535779911e-06,2.8615562334281855e-06,0.0,0.0,0.9965339770082312,-1.1499305309837697
45,7.5,0,0.021391465649340934,0.021391465649340934,0.999542509877907,1.503823525824086e-06,2.993105047878127e-06,0.0,0.0,0.9982136312795222,-1.0332140865010113
46,7.666666666666666,0,0.021866831552659623,0.021866831552659623,0.9995219559773196,1.5714027558734627e-06,3.127610015461764e-06,0.0,0.0,0.9994643823859368,-0.9165233174868807
47,7.833333333333333,0,0.022342197455978305,0.022342197455978305,0.9995009507793453,1.6404672437261256e-06,3.265071136179175e-06,0.0,0.0,0.9999933169760398,-0.7998519803340794
48,8.0,0,0.022817563359296994,0.022817563359296994,0.9994794943124544,1.7110169893820698e-06,3.4054884100302153e-06,0.0,0.0,0.999671084349936,-0.6831830606098853
49,8.166666666666666,0,0.023292929262615687,0.023292929262615687,0.9994575866057285,1.7830519928412988e-06,3.5488618370149925e-06,0.0,0.0,0.9985768424930569,-0.5664982332148412
50,8.333333333333332,0,0.02376829516593437,0.02376829516593437,0.9994352276888603,1.8565722541038078e-06,3.69519141713349e-06,0.0,0.0,0.9969706749966973,-0.4497879102290872
51,8.5,0,0.02424366106925306,0.02424366106925306,0.9994124175921536,1.931577773169603e-06,3.844477150385658e-06,0.0,0.0,0.9952048319657082,-0.3330573503695485
52,8.666666666666666,0,0.024719026972571743,0.024719026972571743,0.9993891563465233,2.008068550038679e-06,3.996719036771561e-06,0.0,0.0,0.9936097583177077,-0.2163259393799056
53,8.833333333333332,0,0.025194392875890433,0.025194392875890433,0.9993654439834952,2.0860445847110426e-06,4.151917076291154e-06,0.0,0.0,0.9923994179028093,-0.09961968161317572
54,9.0,0,0.02566975877920912,0.02566975877920912,0.9993412805352062,2.165505877186685e-06,4.3100712689445036e-06,0.0,0.0,0.9916301255074883,0.01704000431208917
55,9.166666666666666,0,0.026145124682527807,0.026145124682527807,0.9993166660344037,2.2464524274656097e-06,4.471181614731569e-06,0.0,0.0,0.9912235731865636,0.1336463098932046
56,9.333333333333332,0,0.026620490585846496,0.026620490585846496,0.9992916005144461,2.328884235547818e-06,4.635248113652348e-06,0.0,0.0,0.9910383279867256,0.25021139564777484
57,9.5,0,0.027095856489165182,0.027095856489165182,0.9992660840093022,2.4128013014333124e-06,4.80227076570672e-06,0.0,0.0,0.9909553315999269,0.366763009854265
58,9.666666666666666,0,0.02757122239248387,0.02757122239248387,0.9992401165535517,2.4982036251220837e-06,4.972249570894839e-06,0.0,0.0,0.9909390154254157,0.48333459274184964
59,9.833333333333332,0,0.028046588295802557,0.028046588295802557,0.9992136981823846,2.5850912066141426e-06,5.145184529216658e-06,0.0,0.0,0.9910479427931858,0.5999528291190837
60,10.0,0,0.02852195419912125,0.02852195419912125,0.9991868289316015,2.6734640459094836e-06,5.321075640672222e-06,0.0,0.0,0.9913921910726979,0.7166276947951375
61,10.166666666666666,0,0.02899732010243993,0.02899732010243993,0.9991595088376133,2.763322143008109e-06,5.499922905261512e-06,0.0,0.0,0.9920589448036395,0.8333490706355922
62,10.333333333333332,0,0.029472686005758617,0.029472686005758617,0.9991317379374409,2.8546654979100146e-06,5.681726322984413e-06,0.0,0.0,0.9930424069952407,0.9500913269046904
63,10.5,0,0.029948051909077306,0.029948051909077306,0.999103516268716,2.947494110615203e-06,5.866485893841139e-06,0.0,0.0,0.9942127940171345,1.0668239510722195
64,10.666666666666666,0,0.030423417812395992,0.030423417812395992,0.9990748438696797,3.041807981123681e-06,6.054201617831484e-06,0.0,0.0,0.9953423801492355,1.1835237356670127
65,10.833333333333332,0,0.03089878371571468,0.03089878371571468,0.9990457207791837,3.13760710943544e-06,6.244873494955593e-06,0.0,0.0,0.9961812835068963,1.3001834434392803
66,11.0,0,0.03137414961903337,0.03137414961903337,0.9990161470366893,3.234891495550476e-06,6.438501525213394e-06,0.0,0.0,0.9965526286313848,1.4168134920940199
67,11.166666666666666,0,0.03184951552235206,0.03184951552235206,0.9989861226822677,3.3336611394688028e-06,6.635085708604944e-06,0.0,0.0,0.9964261891875604,1.533436243135336
68,11.333333333333332,0,0.03232488142567074,0.03232488142567074,0.9989556477565998,3.4339160411904066e-06,6.834626045130029e-06,0.0,0.0,0.9959370147419231,1.6500755601659143
69,11.5,0,0.03280024732898944,0.03280024732898944,0.9989247223009766,3.5356562007152916e-06,7.037122534789051e-06,0.0,0.0,0.9953382599945234,1.7667461800760378
70,11.666666666666666,0,0.03327561323230812,0.03327561323230812,0.998893346357298,3.6388816180434655e-06,7.242575177581692e-06,0.0,0.0,0.9949054356035412,1.8834474400246972
71,11.833333333333332,0,0.03375097913562681,0.03375097913562681,0.9988615199680737,3.743592293174924e-06,7.450983973507951e-06,0.0,0.0,0.9948300179197571,2.000164028519803
72,12.0,0,0.0342263450389455,0.0342263450389455,0.9988292431764229,3.849788226109657e-06,7.662348922567973e-06,0.0,0.0,0.9951449718632193,2.1168733759281473
73,12.166666666666666,0,0.03470171094226418,0.03470171094226418,0.9987965160260738,3.957469416847679e-06,7.876670024761768e-06,0.0,0.0,0.9957119023938032,2.2335563370113594
74,12.333333333333332,0,0.03517707684558287,0.03517707684558287,0.9987633385613639,4.066635865388979e-06,8.093947280089293e-06,0.0,0.0,0.9962749481379827,2.3502063197769862
75,12.5,0,0.035652442748901565,0.035652442748901565,0.9987297108272399,4.177287571733574e-06,8.314180688550372e-06,0.0,0.0,0.9965599412721093,2.46683272449595
76,12.666666666666666,0,0.03612780865222025,0.03612780865222025,0.9986956328692574,4.289424535881436e-06,8.53737025014513e-06,0.0,0.0,0.99637918844449,2.583457118219613
77,12.833333333333332,0,0.03660317455553893,0.03660317455553893,0.9986611047335808,4.403046757832588e-06,8.76351596487382e-06,0.0,0.0,0.9957000916954449,2.7001037578517857
78,13.0,0,0.03707854045885762,0.03707854045885762,0.9986261264669833,4.518154237587032e-06,8.992617832736031e-06,0.0,0.0,0.9946512301778382,2.81678850450968
79,13.166666666666666,0,0.03755390636217631,0.03755390636217631,0.9985906981168469,4.634746975144748e-06,9.224675853732085e-06,0.0,0.0,0.993466210824136,2.9335109065715206
80,13.333333333333332,0,0.03802927226549499,0.03802927226549499,0.9985548197311619,4.752824970505756e-06,9.459690027861798e-06,0.0,0.0,0.9923917215231831,3.05025300570041
81,13.5,0,0.038504638168813686,0.038504638168813686,0.9985184913585271,4.872388223670044e-06,9.697660355125144e-06,0.0,0.0,0.991600076212893,-3.116199640740338
82,13.666666666666666,0,0.03898000407213237,0.03898000407213237,0.99848171304815,4.99343673463761e-06,9.938586835522193e-06,0.0,0.0,0.9911424325212517,-2.999505301346432
83,13.833333333333332,0,0.03945536997545106,0.03945536997545106,0.9984444848498459,5.115970503408462e-06,1.01824694690531e-05,0.0,0.0,0.9909594244914425,-2.8828661001072753
84,14.0,0,0.03993073587876974,0.03993073587876974,0.9984068068140385,5.239989529982592e-06,1.0429308255717634e-05,0.0,0.0,0.9909401765360616,-2.7662795638755586
85,14.166666666666666,0,0.040406101782088436,0.040406101782088436,0.9983686789917593,5.365493814360009e-06,1.0679103195515729e-05,0.0,0.0,0.9909996247582308,-2.649724339439939
86,14.333333333333332,0,0.04088146768540712,0.04088146768540712,0.9983301014346477,5.492483356540704e-06,1.0931854288447753e-05,0.0,0.0,0.9911365408385204,-2.533168068189143
87,14.5,0,0.04135683358872581,0.04135683358872581,0.9982910741949511,5.620958156524698e-06,1.1187561534513327e-05,0.0,0.0,0.9914437517644228,-2.4165794882327756
88,14.666666666666666,0,0.04183219949204449,0.04183219949204449,0.9982515973255243,5.750918214311971e-06,1.1446224933712686e-05,0.0,0.0,0.9920638318053249,-2.2999398425699957
89,14.833333333333332,0,0.042307565395363185,0.042307565395363185,0.9982116708798298,5.882363529902511e-06,1.1707844486045729e-05,0.0,0.0,0.993108512600797,-2.183248997092574
90,15.0,0,0.04278293129868187,0.04278293129868187,0.9981712949119373,6.015294103296344e-06,1.1972420191512503e-05,0.0,0.0,0.9945773808843075,-2.066523888344882
91,15.166666666666666,0,0.043258297202000556,0.043258297202000556,0.9981304694765241,6.149709934493465e-06,1.2239952050112956e-05,0.0,0.0,0.9963137380474648,-1.949790174195917
92,15.333333333333332,0,0.043733663105319245,0.043733663105319245,0.9980891946288745,6.2856110234938535e-06,1.2510440061847147e-05,0.0,0.0,0.9980216927753386,-1.833070868522591
93,15.5,0,0.04420902900863793,0.04420902900863793,0.9980474704248797,6.42299737029754e-06,1.2783884226714832e-05,0.0,0.0,0.9993438803532738,-1.7163769619903186
94,15.666666666666666,0,0.04468439491195661,0.04468439491195661,0.9980052969210381,6.561868974904502e-06,1.30602845447167e-05,0.0,0.0,0.9999732940495162,-1.5997039995283673
95,15.833333333333332,0,0.0451597608152753,0.0451597608152753,0.9979626741744547,6.702225837314752e-06,1.3339641015851833e-05,0.0,0.0,0.9997564907373142,-1.4830358510238935
96,16.0,0,0.04563512671859399,0.04563512671859399,0.9979196022428412,6.8440679575282825e-06,1.3621953640120804e-05,0.0,0.0,0.998746804153798,-1.3663537743686294
97,16.166666666666664,0,0.04611049262191267,0.04611049262191267,0.9978760811845159,6.987395335545102e-06,1.3907222417523527e-05,0.0,0.0,0.9971857441003643,-1.2496466500703796
98,16.333333333333332,0,0.04658585852523137,0.04658585852523137,0.9978321110584034,7.132207971365203e-06,1.4195447348059885e-05,0.0,0.0,0.9954202428537643,-1.1329177847623622
99,16.5,0,0.04706122442855006,0.04706122442855006,0.9977876919240346,7.278505864988577e-06,1.4486628431730062e-05,0.0,0.0,0.9937893786023723,-1.016185101894378
100,16.666666666666664,0,0.04753659033186874,0.04753659033186874,0.9977428238415467,7.426289016415233e-06,1.4780765668533957e-05,0.0,0.0,0.9925250807737959,-0.8994743618556784
101,16.833333333333332,0,0.04801195623518743,0.04801195623518743,0.9976975068716825,7.575557425645179e-06,1.5077859058471507e-05,0.0,0.0,0.9917032012294826,-0.7828081683195534
102,17.0,0,0.04848732213850612,0.04848732213850612,0.9976517410757909,7.726311092678412e-06,1.5377908601542734e-05,0.0,0.0,0.9912589382551542,-0.6661955241278166
103,17.166666666666664,0,0.0489626880418248,0.0489626880418248,0.9976055265158267,7.87855001751492e-06,1.5680914297747608e-05,0.0,0.0,0.9910539407237943,-0.5496265944953708
104,17.333333333333332,0,0.04943805394514349,0.04943805394514349,0.9975588632543501,8.032274200154715e-06,1.5986876147086287e-05,0.0,0.0,0.9909622386877159,-0.4330751284738191
105,17.5,0,0.04991341984846218,0.04991341984846218,0.9975117513545265,8.18748364059781e-06,1.6295794149558715e-05,0.0,0.0,0.9909361835312194,-0.31650771967103075
106,17.666666666666664,0,0.050388785751780865,0.050388785751780865,0.997464190880127,8.34417833884416e-06,1.6607668305164523e-05,0.0,0.0,0.9910240236079988,-0.19989620875884465
107,17.833333333333332,0,0.050864151655099554,0.050864151655099554,0.9974161818955277,8.502358294893796e-06,1.692249861390446e-05,0.0,0.0,0.9913331592310887,-0.08322820593676061
108,18.0,0,0.05133951755841824,0.05133951755841824,0.9973677244657096,8.66202350874673e-06,1.7240285075777923e-05,0.0,0.0,0.9919578731614398,0.03348856736985192
109,18.166666666666664,0,0.051814883461736926,0.051814883461736926,0.9973188186562588,8.823173980402947e-06,1.7561027690785076e-05,0.0,0.0,0.9929066292868858,0.15022991367120084
110,18.333333333333332,0,0.052290249365055615,0.052290249365055615,0.9972694645333658,8.985809709862435e-06,1.7884726458926438e-05,0.0,0.0,0.9940647894627784,0.26696524502120456
111,18.5,0,0.052765615268374304,0.052765615268374304,0.9972196621638261,9.14993069712522e-06,1.821138138020076e-05,0.0,0.0,0.9952134475990229,0.3836698636508365
112,18.666666666666664,0,0.05324098117169299,0.05324098117169299,0.997169411615039,9.315536942191269e-06,1.8540992454609138e-05,0.0,0.0,0.9961003156745454,0.500334302789406
113,18.833333333333332,0,0.053716347075011675,0.053716347075011675,0.9971187129550085,9.482628445060609e-06,1.8873559682150777e-05,0.0,0.0,0.996534654242435,0.6169669668429418
114,19.0,0,0.054191712978330364,0.054191712978330364,0.9970675662523428,9.651205205733253e-06,1.9209083062826892e-05,0.0,0.0,0.9964657230997552,0.7335892471606095
115,19.166666666666664,0,0.05466707888164904,0.05466707888164904,0.9970159715762538,9.82126722420916e-06,1.9547562596635878e-05,0.0,0.0,0.996009372524824,0.8502254415345297
116,19.333333333333332,0,0.05514244478496774,0.05514244478496774,0.9969639289965572,9.992814500488343e-06,1.9888998283579604e-05,0.0,0.0,0.9954086381825852,0.9668918827775816
117,19.5,0,0.05561781068828644,0.05561781068828644,0.9969114385836723,1.0165847034570822e-05,2.023339012365585e-05,0.0,0.0,0.9949422417742597,1.0835899277641607
118,19.666666666666664,0,0.056093176591605114,0.056093176591605114,0.9968585004086221,1.0340364826456574e-05,2.0580738116866618e-05,0.0,0.0,0.9948171269342624,1.2003057920312445
119,19.833333333333332,0,0.0565685424949238,0.0565685424949238,0.9968051145430329,1.0516367876145617e-05,2.0931042263211028e-05,0.0,0.0,0.9950880084850605,1.3170172481275073
