pair_key,topology_key,variant_key,fseries_present,short_present,fseries_relative_path,short_relative_path,fseries_sha256,short_sha256,fseries_rows,short_vertices,fseries_field_width,short_field_width,fseries_first_row_all_zero,fseries_first_row_zero_fields,fseries_first_numeric_tokens,short_first_numeric_tokens,fseries_zero_token_styles,short_zero_token_styles,harmonic_origin,origin_method,origin_status,origin_fit_rmsd_j0,origin_fit_rmsd_j1,origin_confidence_ratio
5_2/knot.5_2r,5_2,5_2r,True,True,5_2/knot.5_2r.fseries,5_2/knot.5_2r.short,dc00c055ee281227174e7d5d870666718c2dfb79f9401c2e1add366b4de8f03a,9dceabb217440a876a3c8f9d2cb6b4c67f9893ae69b08fed1a1cc26033d36398,11,125,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.018515 2.164648 -0.024588,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.014397367650551114,1.026559563673478,71.30189272024198
6_1/knot.6_1,6_1,6_1,True,True,6_1/knot.6_1.fseries,6_1/knot.6_1.short,d9d4d4b5776c21de35cae284b26b1831ff30ad21e65c9cbf899c2946fbd4f7a4,b10ef15b74029c29716059430bfeb328b7563bafaec413005eb2e8f46ba1027d,10,167,6,3,False,3,0.000000 0.223730 0.048025 0.000000 0.000000 -0.001500,-0.044833 2.510867 0.036877,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.8378167326443455,0.02820531701347845,29.704212586725358
6_2/knot.6_2,6_2,6_2,True,True,6_2/knot.6_2.fseries,6_2/knot.6_2.short,83f985f8562cc67b67ccf55a6200df0a75ee105c9085beeb94a7bc4f83dc24e5,a31eb4a1aab987ea94497295bdc4234871265017e8fc239684523d7589682559,10,156,6,3,False,3,0.000000 0.007472 0.063962 0.000000 0.000000 -0.006663,-0.038785 -2.791829 0.038165,"[""0.000000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1065311873399375,0.02598024432867707,42.59125408295507
6_2/knot.6_2d,6_2,6_2d,True,True,6_2/knot.6_2d.fseries,6_2/knot.6_2d.short,74a25b30a81bd39f686b602956f5b88dca4aa4d14fc387fb34cbf092e474b7c3,c11231141354b896b7f652d43c24ff209421ed419f2b297334051caf91c88857,11,317,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.175698 2.013589 0.009753,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.06495372963499137,1.0777480683635905,16.59255095003805
6_2/knot.6_2p,6_2,6_2p,True,True,6_2/knot.6_2p.fseries,6_2/knot.6_2p.short,48c7201e671b8c576f2418575a3b7dd0b6db266757584b35609afd9de195caa3,fa75946e68b34af036385c9d659c7bdb24a4151ff5e8ba351daeecb7631d6e8a,11,184,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.300751 -2.556112 -0.806188,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.024721790706303082,1.030981903115721,41.70336669231899
6_3/knot.6_3d,6_3,6_3d,True,True,6_3/knot.6_3d.fseries,6_3/knot.6_3d.short,9ebd76337b5d9615358acebb607db3f180b222f3718da380e38ceeb254aa4c59,e88502e19274b9a15ce698be50ac0c0d17a5719a7d0ed2271967ee13fdb28e89,11,288,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.099191 -0.504697 0.108664,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.056841004162932585,0.7873270676851677,13.851392657109372
6_3/knot.6_3z,6_3,6_3z,True,True,6_3/knot.6_3z.fseries,6_3/knot.6_3z.short,f8664bea8c0296953216ddf86503c741dac9b8dd77af30ca5e19bd96de62f9d3,259e82660dbc36cf95876464679582eff63e5f7882290eb518ad22ff0e4f250c,10,236,6,3,False,2,0.048379 0.122795 0.122795 -0.048379 0.000000 0.000000,0.001239 -1.364673 1.816751,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1223432290747284,0.049554558223855766,22.64863756840895
7_1/knot.7_1,7_1,7_1,True,True,7_1/knot.7_1.fseries,7_1/knot.7_1.short,fecaf3a5cc5cf6b119aed022bf5ca681155db23d179a5393708944e61f907572,80b94298c933f45e778dc06d27bb9ae1b5ae2d02db729c11271242239fd78830,9,205,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,1.807862 0.041238 -0.533539,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.4096422947726708,0.01096560340178997,128.55127466515594
7_1/knot.7_1p,7_1,7_1p,True,True,7_1/knot.7_1p.fseries,7_1/knot.7_1p.short,2c62358ece6a742a22d6160b20ff1f8b1ed2f634bbf9ae28c5d1b314152b906a,277b6ea6c1e05f0c1b97f21a3f80bd25de26e90105a3f15d9383ec6d63ea627c,20,352,6,3,False,4,0.000 0.000 0.000 0.151 -0.018 0.000,0.061059 0.081361 -0.540791,"[""0.000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.8647875889063527,0.0349833907869112,24.719947650983766
7_2/knot.7_2,7_2,7_2,True,True,7_2/knot.7_2.fseries,7_2/knot.7_2.short,6b43345f0304194b1f7e4abc672cdead4c9208e64d73f203382fa016f5f4d06f,bd69a5dfce3a25274621d74a050a9a03f6fedce90875c4ecf0a58f280fda952c,10,183,6,3,False,2,0.170716 0.149436 0.000000 0.000000 -0.020303 -0.014599,-1.887805 -0.502853 -0.425555,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.6285041243344383,0.021784222276293713,28.851345545550945
7_2/knot.7_2d,7_2,7_2d,True,True,7_2/knot.7_2d.fseries,7_2/knot.7_2d.short,9ea35b50522c8a9671d313fd5cc93663491146cb1f8d18f0a0128febea982f1c,4e3002a4db0f5a55fe121242a77a635b0640db4cc676aa883c56634e30f94b07,11,323,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.087126 -1.536963 0.105860,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.056461733895300015,1.1816779584711672,20.928828729603225
7_2/knot.7_2r,7_2,7_2r,True,True,7_2/knot.7_2r.fseries,7_2/knot.7_2r.short,5d7704f1773e63217d9ededa1a7d92d519ce4a6e32e3fbf970ebe01ae4c3465c,70535b38a3beb9fb18690b8cf5793d45b2e430be84fd201104caf6eaa9de4823,11,158,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.028732 2.795286 0.023995,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.01707792040043538,0.921784095651244,53.9751956934841
7_3/knot.7_3,7_3,7_3,True,True,7_3/knot.7_3.fseries,7_3/knot.7_3.short,9dc0bac5670f311d4bb402fdd001c4712796c85066dbc696f96232a140c7ee03,7c9d0622733f0104c9e1bad4bc422b932b8e1fc8c95c8ce8e1c1be0928f6e38b,10,194,6,3,False,3,0.000000 -0.048312 -0.084527 0.000000 0.000000 0.006108,-0.040640 1.529886 -0.048571,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.113819391597466,0.022532293168110014,49.43213650237145
7_3/knot.7_3d,7_3,7_3d,True,True,7_3/knot.7_3d.fseries,7_3/knot.7_3d.short,66468831adb23de3924e23ac8496387f3b3af6efa77e816ea88226417bb08a29,0d7d8e40f135874df6b7d50f717116cb77a4d7bb5fa47ca649d381604627b603,21,251,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.691747 0.014676 -0.028672,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.015226800372947848,1.0390615487841552,68.23899462359583
7_4/knot.7_4,7_4,7_4,True,True,7_4/knot.7_4.fseries,7_4/knot.7_4.short,bfdfbacdf2011fd41abd90393d04421b9728c906941508165ee6ce3693b675d0,ebde3cad6e5e09000848ab41a244e5ed07b9ae9ddc42024b7319c0d3b3909907,11,201,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.099502 1.719308 -0.076996,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.0507187714850034,0.9475512480844156,18.682456619924025
7_5/knot.7_5,7_5,7_5,True,True,7_5/knot.7_5.fseries,7_5/knot.7_5.short,2d2f150256ac71a938842d5d637b3bb3c1cda167458d4d131d3ca5e470dc3f12,4a2004466e6c82d261e20dbad7a3d61bbb094c650624f62405d13caa9d3c8202,10,188,6,3,False,3,0.000000 -0.017022 -0.062395 0.000000 0.000000 0.003299,0.040584 -2.726100 0.044192,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1319207276593755,0.019929300843710855,56.79681071283436
7_5/knot.7_5d,7_5,7_5d,True,True,7_5/knot.7_5d.fseries,7_5/knot.7_5d.short,c6b721096d19b55c086462cb47879907c2d5630cb72544303d9f72a874a45ff0,40f28c06045a7750728825c4bfa96e3fcb0d7e65732ce2a20718dc05147f1b03,21,304,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.170532 -3.530795 -0.034416,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.07108162567277845,1.1997993479286944,16.879177094962976
7_6/knot.7_6d,7_6,7_6d,True,True,7_6/knot.7_6d.fseries,7_6/knot.7_6d.short,0f3921472c4240aacd72bc41d6ef7e343e8870565a0f4329723e3cabe5b73f52,6c0d701f0bf9bf3eb1eb628b70ff0824d44e7a8c1fe1f31dd377dbcf6b02677b,21,316,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.110841 0.491443 0.106750,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.03812652942684639,1.3077092184518713,34.29919371394612
7_6/knot.7_6s,7_6,7_6s,True,True,7_6/knot.7_6s.fseries,7_6/knot.7_6s.short,25449fc1cf63056a094c08ed3a9e41598817a6ebd8baeae610492a4bada0a056,0de9a972b3222183731552e523d29c1905599c9fa00035e9df3ae8d3c58f69f8,10,197,6,3,False,3,0.000000 -0.120711 0.055724 0.000000 0.000000 0.057462,0.058673 1.713581 -0.065450,"[""0.000000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1062378786568385,0.04337808736331347,25.50222810405483
7_7/knot.7_7d,7_7,7_7d,True,True,7_7/knot.7_7d.fseries,7_7/knot.7_7d.short,2c4c644cc62dd0e639115f5b3759c613e8866591254573e92cc778a826a81231,f7f9fbc134f2aec733d65ab8cde3b166f834b12bf27a77a2ac065f90565a2a4a,11,247,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.136751 -1.754170 0.050984,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.05745544638014606,1.043542706162909,18.162642045428594
8_1/knot.8_1,8_1,8_1,True,True,8_1/knot.8_1.fseries,8_1/knot.8_1.short,f3728d1157e836130bde8c8f67a147ccf720428e9130be0e49d276777ffa09a4,6b40028bd76500aab9830c557ad6b224c67c2f4137903f6e411bd52ab8c5de35,10,206,6,3,False,3,0.000000 0.196740 0.002762 0.000000 0.000000 -0.003808,-0.037006 1.619971 -0.044285,"[""0.000000""]","[""0.000000""]",1,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.8426018071967849,0.025857716221794485,32.58608764862954
8_1/knot.8_1d,8_1,8_1d,True,True,8_1/knot.8_1d.fseries,8_1/knot.8_1d.short,836641f2307cdb1f652320b65af045ba6864443184d47f7cff142f1b8dde0aab,a45e5e09efe95c89082b6aeee26461654141afbaf759e5539b790a8467cdfd38,21,305,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.073463 -0.496346 0.065912,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.029023742783357658,1.3121217666260063,45.20856515371211
8_10/knot.8_10s,8_10,8_10s,True,True,8_10/knot.8_10s.fseries,8_10/knot.8_10s.short,be7e95480a1728cdaaf6844c6affe15e055471695376abfc2ae326b83ee86229,8a70cd0f337ac6dc72959a59de1b40a6ff95069aec187cac5503a201f31962d5,10,213,6,3,False,3,0.000000 0.011642 0.101328 0.000000 0.000000 0.032148,-0.057356 2.510836 -0.037361,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.0073498912079224,0.025334679374312254,39.76169882889108
8_11/knot.8_11,8_11,8_11,True,True,8_11/knot.8_11.fseries,8_11/knot.8_11.short,92b36e6ffa73f4280f9998df37980a0ccc6e6ae2dd4ce7dc00284d1b1b41143f,4539c046650b3732ccb706a5663030af9d39655f9c4cc0c640c989a1ddf2c610,10,239,6,3,False,3,0.000000 -0.025611 0.055860 0.000000 0.000000 -0.013177,-0.046845 2.777888 0.057674,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.2350315149033873,0.028833901022661708,42.832619628288484
8_11/knot.8_11d,8_11,8_11d,True,True,8_11/knot.8_11d.fseries,8_11/knot.8_11d.short,80cfdd99537cddc6267449d296f9ecc876c59b57f3cf0ce62727d84ca05982f0,668877f0d41a7e04ab9397764f2e8266429559ca76be6f312a7840faa1d37940,21,369,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.141965 -3.645845 0.076312,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.053049743009746075,1.015727852344768,19.1467063687408
8_12/knot.8_12d,8_12,8_12d,True,True,8_12/knot.8_12d.fseries,8_12/knot.8_12d.short,2119d4fc2f0ced91b827195706dfd78f451ca352cca02da60d66c10e446b4593,998c75357da2d82134f93f79526024e8df798f76c41deb63611c7bf31b7eb79d,21,303,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.043176 0.499255 -0.057049,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.01410504890606181,1.3868468034369257,98.3227220744277
8_12/knot.8_12z,8_12,8_12z,True,True,8_12/knot.8_12z.fseries,8_12/knot.8_12z.short,7a5d1676d7998921f053594533e2b7792a8cfacf949b929603cded7af5ef540d,5f688dc20f990557e48a4308c53157f0791f9eba06a0a4c853d3d23647c2c903,10,292,6,3,False,2,-0.023918 -0.133540 -0.133540 0.023918 0.000000 0.000000,-0.777756 2.542039 0.963426,"[""0.000000""]",[],1,PAIRED_SHORT_PROCRUSTES,RESOLVED,1.1446213404571286,0.04582397801400424,24.978655063672594
8_13/knot.8_13d,8_13,8_13d,True,True,8_13/knot.8_13d.fseries,8_13/knot.8_13d.short,8f578f9f6c2c3d9fb78d80d00acb812ea648939af9c3cc078add77432a1b5780,6327641a2061a990f51d4c0a94e11253412288f08df5414451c1c9eeda5dfeea,21,351,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.172443 -0.532205 0.056703,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.07290401824972287,1.2789923282110724,17.543509382844398
8_13/knot.8_13p,8_13,8_13p,True,True,8_13/knot.8_13p.fseries,8_13/knot.8_13p.short,4e0cb979fa3922de5ae89b47b259b20a5a1b190139dba6443830560c4786d046,5d7aa48b47e63b85a368886103d7783c81e1cb66ce5cb3d6d0ab1c1712a721d7,11,240,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.607700 -3.388352 -0.738841,"[""0.000000""]",[],0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.04718810262812936,1.0907789959387084,23.115551064527924
8_14/knot.8_14d,8_14,8_14d,True,True,8_14/knot.8_14d.fseries,8_14/knot.8_14d.short,2235670dc562564d6dc9372154d5cd44ecfbf6bef7968f89654cabb8bba5e4ae,99acabed6868ccd51ac15059764384a1f833af2e799566b0d3142dbd94c496dd,21,365,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.127790 3.132122 0.101587,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.07009792625863819,0.7021648260704504,10.016912960872682
8_14/knot.8_14r,8_14,8_14r,True,True,8_14/knot.8_14r.fseries,8_14/knot.8_14r.short,7982f98e5c7bc8cecfd219583f2d8ca99526acedc124a0c870f429dd4c9ddc2c,8ed35a8a6e8ba28c93d1679efa6f7b327ac1683ef1501585d6e13b331149c15b,21,244,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.094844 4.633426 -0.059180,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.038011100487034995,1.2261989800371327,32.258970782899866
8_15/knot.8_15,8_15,8_15,True,True,8_15/knot.8_15.fseries,8_15/knot.8_15.short,fd7644168aa8914ae7a3c7c09cac88d6900596271ab0d63cf59bd185c474f216,e405e209c58fe8e37889ca36dc7be18164d32e50329b91d9261d2d72e49b518e,11,258,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,0.056775 1.095793 -0.177892,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.06265988973378929,1.0740230288010721,17.140518972568607
8_15/knot.8_15d,8_15,8_15d,True,True,8_15/knot.8_15d.fseries,8_15/knot.8_15d.short,1b6b05b5c16fa4b74f8387ea8369fdd71fc91ae5789098d5da747f24e4210083,f0a9d6a7a82b18dabb37148b546f4c1449891fa2b7112e0dca336a381dc57697,11,282,6,3,True,6,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,-0.096737 0.522513 0.096568,"[""0.000000""]","[""0.000000""]",0,PAIRED_SHORT_PROCRUSTES,RESOLVED,0.06837968328106744,1.1864227741596374,17.350515785265813
