cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,ppw,wavelength_status,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,2,0;98,oscillatory,-1.368633066808794,5.919025086916516e-17,64,5.0,UNDERRESOLVED,-0.999986364297;-0.999986364297,1227.5187378248936,2454.0374617473776,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
20,2,36;38,oscillatory,-1.0961054116772795,1.0552022439071224e-17,54,5.925925925925926,UNDERRESOLVED,-0.999978469904;-0.999978469904,1.0048745333895361,1.006578424740964,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
21,2,37;39,oscillatory,1.0961054116772795,1.0552022439071224e-17,54,5.925925925925926,UNDERRESOLVED,0.999978469904;0.999978469904,1.0048745333895361,1.006578424740964,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
22,2,40;42,oscillatory,-1.3922472358512263,2.1104044878142451e-16,65,4.923076923076923,UNDERRESOLVED,-0.999986838805;-0.999986838805,1.0010313159201256,1.0016637868283593,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
23,2,41;43,oscillatory,1.3922472358512263,2.1104044878142451e-16,65,4.923076923076923,UNDERRESOLVED,0.999986838805;0.999986838805,1.0010313159201256,1.0016637868283593,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
24,2,44;58,oscillatory,-1.033894856669944,-7.254515426861467e-17,52,6.153846153846154,UNDERRESOLVED,-0.999975740209;-0.999975740209,1.0003752870782,1.0005908744240688,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
25,2,45;59,oscillatory,1.033894856669944,-7.254515426861467e-17,52,6.153846153846154,UNDERRESOLVED,0.999975740209;0.999975740209,1.0003752870782,1.0005908744240688,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
26,2,46;50,oscillatory,-1.0653026738799116,-1.0024421317117663e-16,53,6.037735849056604,UNDERRESOLVED,-0.999977178046;-0.999977178046,46.795202380709064,92.59036309846609,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
27,2,47;51,oscillatory,1.0653026738799116,-1.0024421317117663e-16,53,6.037735849056604,UNDERRESOLVED,0.999977178046;0.999977178046,46.795202380709064,92.59036309846609,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
28,2,48;52,oscillatory,-1.415203658972698,-1.0552022439071226e-16,66,4.848484848484849,UNDERRESOLVED,-0.999987277426;-0.999987277426,4.783990257764572,8.560496679970623,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
29,2,49;53,oscillatory,1.415203658972698,-1.0552022439071226e-16,66,4.848484848484849,UNDERRESOLVED,0.999987277426;0.999987277426,4.783990257764572,8.560496679970623,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
30,2,54;56,oscillatory,-1.4375072945735308,-3.693207853674929e-17,67,4.776119402985074,UNDERRESOLVED,-0.999987683524;-0.999987683524,5.0401240232345375,9.079044458928978,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
31,2,55;57,oscillatory,1.4375072945735308,-3.693207853674929e-17,67,4.776119402985074,UNDERRESOLVED,0.999987683524;0.999987683524,5.0401240232345375,9.079044458928978,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
32,2,60;62,oscillatory,-1.001899297914413,1.08817731402922e-16,51,6.2745098039215685,UNDERRESOLVED,-0.999974134375;-0.999974134375,18.348253875101157,35.696458343923396,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
33,2,61;63,oscillatory,1.001899297914413,1.08817731402922e-16,51,6.2745098039215685,UNDERRESOLVED,0.999974134375;0.999974134375,18.348253875101157,35.696458343923396,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
34,2,64;66,oscillatory,-1.459164063777873,-1.0552022439071226e-16,68,4.705882352941177,UNDERRESOLVED,-0.999988060079;-0.999988060079,2.3334955652807285,3.6610852485794494,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
35,2,65;67,oscillatory,1.459164063777873,-1.0552022439071226e-16,68,4.705882352941177,UNDERRESOLVED,0.999988060079;0.999988060079,2.3334955652807285,3.6610852485794494,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
36,2,68;70,oscillatory,-0.9693359566743909,3.693207853674929e-17,50,6.4,UNDERRESOLVED,-0.9999723343;-0.9999723343,78.73196765056777,156.46386403462313,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
37,2,69;71,oscillatory,0.9693359566743909,3.693207853674929e-17,50,6.4,UNDERRESOLVED,0.9999723343;0.9999723343,78.73196765056777,156.46386403462313,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
38,2,72;86,oscillatory,-1.480180765360212,-2.1994371771439055e-16,69,4.63768115942029,UNDERRESOLVED,-0.999988409741;-0.999988409741,1.0085360904797267,1.0160735725041898,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
39,2,73;87,oscillatory,1.480180765360212,-2.1994371771439055e-16,69,4.63768115942029,UNDERRESOLVED,0.999988409741;0.999988409741,1.0085360904797267,1.0160735725041898,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
40,2,74;76,oscillatory,-0.9362275619287668,1.035417201833864e-16,49,6.530612244897959,UNDERRESOLVED,-0.999970308528;-0.999970308528,10.527406653893822,20.051130169124395,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
41,2,75;77,oscillatory,0.9362275619287668,1.035417201833864e-16,49,6.530612244897959,UNDERRESOLVED,0.999970308528;0.999970308528,10.527406653893822,20.051130169124395,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
42,2,78;80,oscillatory,-0.9025997639698653,-6.067412902465954e-17,48,6.666666666666667,UNDERRESOLVED,-0.999968019113;-0.999968019113,11.402067975382888,21.8040818499446,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
43,2,79;81,oscillatory,0.9025997639698653,-6.067412902465954e-17,48,6.666666666666667,UNDERRESOLVED,0.999968019113;0.999968019113,11.402067975382888,21.8040818499446,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
44,2,82;84,oscillatory,-0.8684812879437491,1.0552022439071226e-16,47,6.808510638297872,UNDERRESOLVED,-0.999965419983;-0.999965419983,1.015404814588614,1.0178740673606628,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
45,2,83;85,oscillatory,0.8684812879437491,1.0552022439071226e-16,47,6.808510638297872,UNDERRESOLVED,0.999965419983;0.999965419983,1.015404814588614,1.0178740673606628,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
46,2,88;130,oscillatory,-1.7710222762036278,2.018074291472369e-16,88,3.6363636363636362,UNDERRESOLVED,-0.999992036953;-0.999992036953,1.000558677294912,1.0009128889105583,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
47,2,89;131,oscillatory,1.7710222762036278,2.018074291472369e-16,88,3.6363636363636362,UNDERRESOLVED,0.999992036953;0.999992036953,1.000558677294912,1.0009128889105583,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
48,2,90;128,oscillatory,-1.748943764873251,2.980946339037621e-16,86,3.7209302325581395,UNDERRESOLVED,-0.999991823807;-0.999991823807,49.69514927711896,98.38893354040395,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
49,2,91;129,oscillatory,1.748943764873251,2.980946339037621e-16,86,3.7209302325581395,UNDERRESOLVED,0.999991823807;0.999991823807,49.69514927711896,98.38893354040395,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
50,2,92;216,oscillatory,-1.73724872981367,-2.659439405347169e-16,85,3.764705882352941,UNDERRESOLVED,-0.999991707573;-0.999991707573,48.03935568291157,95.07866363063839,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
51,2,93;217,oscillatory,1.73724872981367,-2.659439405347169e-16,85,3.764705882352941,UNDERRESOLVED,0.999991707573;0.999991707573,48.03935568291157,95.07866363063839,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
52,2,94;126,oscillatory,-1.7251000328424075,4.596724774234207e-16,84,3.8095238095238093,UNDERRESOLVED,-0.999991584302;-0.999991584302,5.222390385387775,9.440326374722178,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
53,2,95;127,oscillatory,1.7251000328424075,4.596724774234207e-16,84,3.8095238095238093,UNDERRESOLVED,0.999991584302;0.999991584302,5.222390385387775,9.440326374722178,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
54,2,100;168,oscillatory,-1.5580091800862041,3.073276535379518e-16,73,4.383561643835616,UNDERRESOLVED,-0.999989583092;-0.999989583092,6.406064874840697,11.810130691076896,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
55,2,101;169,oscillatory,1.5580091800862041,3.073276535379518e-16,73,4.383561643835616,UNDERRESOLVED,0.999989583092;0.999989583092,6.406064874840697,11.810130691076896,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
56,2,102;104,oscillatory,-1.7601975094602291,3.8572588275323644e-16,87,3.67816091954023,UNDERRESOLVED,-0.999991933459;-0.999991933459,4.47378373465717,7.946558585351363,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
57,2,103;105,oscillatory,1.7601975094602291,3.8572588275323644e-16,87,3.67816091954023,UNDERRESOLVED,0.999991933459;0.999991933459,4.47378373465717,7.946558585351363,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
58,2,106;118,oscillatory,-1.5394699492332276,-1.2299701155542517e-16,72,4.444444444444445,UNDERRESOLVED,-0.999989319755;-0.999989319755,72.40204451807621,124.57589238661878,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
59,2,107;119,oscillatory,1.5394699492332276,-1.2299701155542517e-16,72,4.444444444444445,UNDERRESOLVED,0.999989319755;0.999989319755,72.40204451807621,124.57589238661878,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
60,2,108;120,oscillatory,-1.5203250683930396,4.484609536605271e-17,71,4.507042253521127,UNDERRESOLVED,-0.99998903758;-0.99998903758,1.0001334325143052,1.0002558126375865,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
61,2,109;121,oscillatory,1.5203250683930396,4.484609536605271e-17,71,4.507042253521127,UNDERRESOLVED,0.99998903758;0.99998903758,1.0001334325143052,1.0002558126375865,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
62,2,110;112,oscillatory,-0.8339040889126771,-1.8466039268374644e-17,46,6.956521739130435,UNDERRESOLVED,-0.9999624548;-0.9999624548,1.5108801244614678,1.7619981302960672,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
63,2,111;113,oscillatory,0.8339040889126771,-1.8466039268374644e-17,46,6.956521739130435,UNDERRESOLVED,0.9999624548;0.9999624548,1.5108801244614678,1.7619981302960672,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
64,2,114;116,oscillatory,-1.5005649949466744,-3.5876876292842167e-16,70,4.571428571428571,UNDERRESOLVED,-0.999988734872;-0.999988734872,1.1410127986910439,1.15255655194116,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
65,2,115;117,oscillatory,1.5005649949466744,-3.5876876292842167e-16,70,4.571428571428571,UNDERRESOLVED,0.999988734872;0.999988734872,1.1410127986910439,1.15255655194116,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
66,2,122;146,oscillatory,-0.7989035077088387,1.5300432536653264e-16,45,7.111111111111111,UNDERRESOLVED,-0.999959054148;-0.999959054148,1.0003478195976423,1.0004344606092734,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
67,2,123;147,oscillatory,0.7989035077088387,1.5300432536653264e-16,45,7.111111111111111,UNDERRESOLVED,0.999959054148;0.999959054148,1.0003478195976423,1.0004344606092734,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
68,2,124;222,oscillatory,-1.8010445039262173,2.1104044878147173e-17,91,3.5164835164835164,UNDERRESOLVED,-0.999992314231;-0.999992314231,1.82073341828028,2.559158909769933,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
69,2,125;223,oscillatory,1.8010445039262173,2.1104044878147173e-17,91,3.5164835164835164,UNDERRESOLVED,0.999992314231;0.999992314231,1.82073341828028,2.559158909769933,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
70,2,132;134,oscillatory,-1.7814302968822513,-1.4739856344577619e-16,89,3.595505617977528,UNDERRESOLVED,-0.999992134677;-0.999992134677,8.17007493416608,15.33880586330591,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
71,2,133;135,oscillatory,1.7814302968822513,-1.4739856344577619e-16,89,3.595505617977528,UNDERRESOLVED,0.999992134677;0.999992134677,8.17007493416608,15.33880586330591,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
72,2,136;138,oscillatory,-1.7914337022932239,-4.853930321972763e-16,90,3.5555555555555554,UNDERRESOLVED,-0.999992226992;-0.999992226992,5.08458246308186,9.164999816127583,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
73,2,137;139,oscillatory,1.7914337022932239,-4.853930321972763e-16,90,3.5555555555555554,UNDERRESOLVED,0.999992226992;0.999992226992,5.08458246308186,9.164999816127583,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
74,2,140;142,oscillatory,-1.575952817903912,-3.5613075731865386e-17,74,4.324324324324325,UNDERRESOLVED,-0.999989829117;-0.999989829117,94.06782679332076,187.13510190529686,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
75,2,141;143,oscillatory,1.575952817903912,-3.5613075731865386e-17,74,4.324324324324325,UNDERRESOLVED,0.999989829117;0.999989829117,94.06782679332076,187.13510190529686,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
76,2,144;162,oscillatory,-0.7635184267252066,1.6619435341537142e-16,44,7.2727272727272725,UNDERRESOLVED,-0.999955131787;-0.999955131787,1.0004516585058623,1.0005083174799867,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
77,2,145;163,oscillatory,0.7635184267252066,1.6619435341537142e-16,44,7.2727272727272725,UNDERRESOLVED,0.999955131787;0.999955131787,1.0004516585058623,1.0005083174799867,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
78,2,148;182,oscillatory,-1.62631720102374,-1.0552022439110213e-17,77,4.1558441558441555,UNDERRESOLVED,-0.99999047642;-0.99999047642,1.0001644328666057,1.000188285704095,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
79,2,149;183,oscillatory,1.62631720102374,-1.0552022439110213e-17,77,4.1558441558441555,UNDERRESOLVED,0.99999047642;0.99999047642,1.0001644328666057,1.000188285704095,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
80,2,150;158,oscillatory,-1.7124852677646938,1.5828033658606842e-16,83,3.855421686746988,UNDERRESOLVED,-0.999991453495;-0.999991453495,2.1659477488960475,3.2880982544991286,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
81,2,151;159,oscillatory,1.7124852677646938,1.5828033658606842e-16,83,3.855421686746988,UNDERRESOLVED,0.999991453495;0.999991453495,2.1659477488960475,3.2880982544991286,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
82,2,152;160,oscillatory,-1.5933113729388786,-5.276011219536152e-17,75,4.266666666666667,UNDERRESOLVED,-0.999990059205;-0.999990059205,5.949848586035117,10.895733633893904,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
83,2,153;161,oscillatory,1.5933113729388786,-5.276011219536152e-17,75,4.266666666666667,UNDERRESOLVED,0.999990059205;0.999990059205,5.949848586035117,10.895733633893904,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
84,2,154;156,oscillatory,-1.6100957513076528,2.110404487814245e-17,76,4.2105263157894735,UNDERRESOLVED,-0.999990274597;-0.999990274597,3.1071097882018366,4.902021975253325,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
85,2,155;157,oscillatory,1.6100957513076528,2.110404487814245e-17,76,4.2105263157894735,UNDERRESOLVED,0.999990274597;0.999990274597,3.1071097882018366,4.902021975253325,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
86,2,164;206,oscillatory,-0.582453578369888,-1.0552022439071187e-17,39,8.205128205128204,DIAGNOSTIC,-0.99992268034;-0.99992268034,2.162723104639801,3.263680824247644,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
87,2,165;207,oscillatory,0.582453578369888,-1.0552022439071187e-17,39,8.205128205128204,DIAGNOSTIC,0.99992268034;0.99992268034,2.162723104639801,3.263680824247644,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
88,2,166;170,oscillatory,-0.7277914246489142,-4.7484100975820476e-17,43,7.441860465116279,UNDERRESOLVED,-0.999950579629;-0.999950579629,8.105589375422115,15.20801134626049,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
89,2,167;171,oscillatory,0.7277914246489142,-4.7484100975820476e-17,43,7.441860465116279,UNDERRESOLVED,0.999950579629;0.999950579629,8.105589375422115,15.20801134626049,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
90,2,172;174,oscillatory,-0.6917689289816853,-4.748410097582051e-17,42,7.619047619047619,UNDERRESOLVED,-0.999945260887;-0.999945260887,2.5220188262257883,3.998588575479689,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
91,2,173;175,oscillatory,0.6917689289816853,-4.748410097582051e-17,42,7.619047619047619,UNDERRESOLVED,0.999945260887;0.999945260887,2.5220188262257883,3.998588575479689,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
92,2,176;188,oscillatory,-1.6419872613729773,1.2662426926886445e-16,78,4.102564102564102,UNDERRESOLVED,-0.999990665692;-0.999990665692,14.22479902034508,27.449581364595762,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
93,2,177;189,oscillatory,1.6419872613729773,1.2662426926886445e-16,78,4.102564102564102,UNDERRESOLVED,0.999990665692;0.999990665692,14.22479902034508,27.449581364595762,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
94,2,178;180,oscillatory,-0.6555013650061121,9.496820195164103e-17,41,7.804878048780488,UNDERRESOLVED,-0.999939000634;-0.999939000634,11.527130075536746,22.048126651411607,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
95,2,179;181,oscillatory,0.6555013650061121,9.496820195164103e-17,41,7.804878048780488,UNDERRESOLVED,0.999939000634;0.999939000634,11.527130075536746,22.048126651411607,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
96,2,184;186,oscillatory,-0.6190432996403841,-1.5828033658606837e-17,40,8.0,DIAGNOSTIC,-0.999931572591;-0.999931572591,3.1033544888920117,5.185400150960036,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
97,2,185;187,oscillatory,0.6190432996403841,-1.5828033658606837e-17,40,8.0,DIAGNOSTIC,0.999931572591;0.999931572591,3.1033544888920117,5.185400150960036,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
98,2,190;192,oscillatory,-1.6571177155034742,-1.1607224682978347e-16,79,4.050632911392405,UNDERRESOLVED,-0.999990843339;-0.999990843339,4.488762178219,7.974257234039571,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
99,2,191;193,oscillatory,1.6571177155034742,-1.1607224682978347e-16,79,4.050632911392405,UNDERRESOLVED,0.999990843339;0.999990843339,4.488762178219,7.974257234039571,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
100,2,194;196,oscillatory,-1.6858078940336183,-2.3214449365956695e-16,81,3.950617283950617,UNDERRESOLVED,-0.999991167064;-0.999991167064,1.2156242853402497,1.411028686807339,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
101,2,195;197,oscillatory,1.6858078940336183,-2.3214449365956695e-16,81,3.950617283950617,UNDERRESOLVED,0.999991167064;0.999991167064,1.2156242853402497,1.411028686807339,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
102,2,198;200,oscillatory,-1.671720546102535,-5.276011219535612e-18,80,4.0,UNDERRESOLVED,-0.999991010207;-0.999991010207,7.2938771061235945,13.5595654196025,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
103,2,199;201,oscillatory,1.671720546102535,-5.276011219535612e-18,80,4.0,UNDERRESOLVED,0.999991010207;0.999991010207,7.2938771061235945,13.5595654196025,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
104,2,202;204,oscillatory,-1.699392019807725,1.0552022439071226e-16,82,3.902439024390244,UNDERRESOLVED,-0.999991314612;-0.999991314612,3.326035380104786,5.625152930616594,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
105,2,203;205,oscillatory,1.699392019807725,1.0552022439071226e-16,82,3.902439024390244,UNDERRESOLVED,0.999991314612;0.999991314612,3.326035380104786,5.625152930616594,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
106,2,208;210,oscillatory,-0.5457954531390453,-6.990714865884687e-17,38,8.421052631578947,DIAGNOSTIC,-0.999911930148;-0.999911930148,5.715552424463309,10.430216472700085,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
107,2,209;211,oscillatory,0.5457954531390453,-6.990714865884687e-17,38,8.421052631578947,DIAGNOSTIC,0.999911930148;0.999911930148,5.715552424463309,10.430216472700085,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
108,2,212;214,oscillatory,-0.5091366987136468,-3.1656067317213673e-17,37,8.64864864864865,DIAGNOSTIC,-0.999898790883;-0.999898790883,5.591269472890381,10.125497696991998,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
109,2,213;215,oscillatory,0.5091366987136468,-3.1656067317213673e-17,37,8.64864864864865,DIAGNOSTIC,0.999898790883;0.999898790883,5.591269472890381,10.125497696991998,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
110,2,218;220,oscillatory,-1.8102745773443993,1.4772831414699715e-16,92,3.4782608695652173,UNDERRESOLVED,-0.999992396702;-0.999992396702,1.3816757287874184,1.4476528539522973,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
111,2,219;221,oscillatory,1.8102745773443993,1.4772831414699715e-16,92,3.4782608695652173,UNDERRESOLVED,0.999992396702;0.999992396702,1.3816757287874184,1.4476528539522973,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
112,2,224;330,oscillatory,-0.3999042586206131,-3.4953574329411423e-17,34,9.411764705882353,DIAGNOSTIC,-0.99983614555;-0.99983614555,4.976103462610782,8.945549583586075,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
113,2,225;331,oscillatory,0.3999042586206131,-3.4953574329411423e-17,34,9.411764705882353,DIAGNOSTIC,0.99983614555;0.99983614555,4.976103462610782,8.945549583586075,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
114,2,226;228,oscillatory,-0.47254971455251893,-4.616509817093717e-18,36,8.88888888888889,DIAGNOSTIC,-0.999882533593;-0.999882533593,4.12219287934737,7.22068364937831,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
115,2,227;229,oscillatory,0.47254971455251893,-4.616509817093717e-18,36,8.88888888888889,DIAGNOSTIC,0.999882533593;0.999882533593,4.12219287934737,7.22068364937831,True,0.39269277348600645,RESOLVED,relative_equilibrium_reference
