low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
255,253,1,1,255,253,0.031744673431428366,0.031000459277936408,0.02344374892057213,0.9969823498370833,0.9969823498370833,0.996685495091765,15,15,17.066666666666666,21.333333333333332,RESOLVED,RESOLVED,0.00564185785257,-0.00209667724203,0.007738535094597043,1.6142009068754337,1.6727375452547284,mixed,mixed,RESOLVED,RESOLVED,False,0.9938442213371055,True,False
248,244,1,1,248,244,-0.018036381688695077,-0.01755895119902402,0.02647041396170411,0.9962582553876104,0.9962582553876104,0.9974948076328585,16,16,16.0,20.0,RESOLVED,RESOLVED,-0.0204701866448,-0.022059577686,0.0015893910411269307,1.4967430637787906,1.4196063625466553,mixed,mixed,RESOLVED,RESOLVED,False,0.9931580930465252,True,False
249,245,1,1,249,245,0.018036381688695077,0.01755895119902402,0.02647041396170411,0.9962582553876104,0.9962582553876104,0.9974948076328585,16,16,16.0,20.0,RESOLVED,RESOLVED,0.0204701866448,0.022059577686,0.0015893910411269307,1.4967430637787906,1.4196063625466553,mixed,mixed,RESOLVED,RESOLVED,False,0.9931580930465252,True,False
246,240,1,1,246,240,-0.018036381688695088,-0.01755895119902398,0.026470413961706872,0.9962582553876088,0.9962582553876088,0.9974948076328585,16,16,16.0,20.0,RESOLVED,RESOLVED,-0.0204701866448,-0.022059577686,0.0015893910411243599,1.4967430637787835,1.4196063625466484,mixed,mixed,RESOLVED,RESOLVED,False,0.9931580930465238,True,False
247,241,1,1,247,241,0.018036381688695088,0.01755895119902398,0.026470413961706872,0.9962582553876088,0.9962582553876088,0.9974948076328585,16,16,16.0,20.0,RESOLVED,RESOLVED,0.0204701866448,0.022059577686,0.0015893910411243599,1.4967430637787835,1.4196063625466484,mixed,mixed,RESOLVED,RESOLVED,False,0.9931580930465238,True,False
34,18,1,1,34,18,-0.7825085439784912,-0.7528525831044379,0.03789857772449888,0.9977501459992018,0.9977501459992018,0.9997825028343611,31,31,8.258064516129032,10.32258064516129,DIAGNOSTIC,DIAGNOSTIC,-0.989136879392,-0.988214888451,0.0009219909410909111,1.0190714881014473,1.021086272915671,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9929109266494364,True,False
35,19,1,1,35,19,0.7825085439784912,0.7528525831044379,0.03789857772449888,0.9977501459992018,0.9977501459992018,0.9997825028343611,31,31,8.258064516129032,10.32258064516129,DIAGNOSTIC,DIAGNOSTIC,0.989136879392,0.988214888451,0.0009219909410909111,1.0190714881014473,1.021086272915671,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9929109266494364,True,False
36,14,1,1,36,14,-0.8335446407304316,-0.8028668858015654,0.036803973572409256,0.997477844871182,0.997477844871182,0.9997541404438445,32,32,8.0,10.0,DIAGNOSTIC,DIAGNOSTIC,-0.990628354642,-0.989856250211,0.0007721044307340552,1.0172841404091029,1.0191960774579518,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9929046459978088,True,False
37,15,1,1,37,15,0.8335446407304316,0.8028668858015654,0.036803973572409256,0.997477844871182,0.997477844871182,0.9997541404438445,32,32,8.0,10.0,DIAGNOSTIC,DIAGNOSTIC,0.990628354642,0.989856250211,0.0007721044307340552,1.0172841404091029,1.0191960774579518,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9929046459978088,True,False
68,20,1,1,68,20,-0.7305333667316424,-0.701968286825647,0.039101677222210474,0.9980004112608964,0.9980004112608964,0.9998074631617386,30,30,8.533333333333333,10.666666666666666,DIAGNOSTIC,DIAGNOSTIC,-0.987217453872,-0.986094959021,0.0011224948506892707,1.0213005289926715,1.0234689965707582,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992886860963641,True,False
69,21,1,1,69,21,0.7305333667316424,0.701968286825647,0.039101677222210474,0.9980004112608964,0.9980004112608964,0.9998074631617386,30,30,8.533333333333333,10.666666666666666,DIAGNOSTIC,DIAGNOSTIC,0.987217453872,0.986094959021,0.0011224948506892707,1.0213005289926715,1.0234689965707582,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992886860963641,True,False
42,30,1,1,42,30,-0.8835581479622567,-0.8519281085887976,0.03579848077504256,0.9971823029766992,0.9971823029766992,0.9997221246992537,33,33,7.757575757575758,9.696969696969697,UNDERRESOLVED,DIAGNOSTIC,-0.991830498104,-0.991176069239,0.0006544288649457108,1.0157900140423313,1.0176300850581688,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928701408445765,True,False
43,31,1,1,43,31,0.8835581479622567,0.8519281085887976,0.03579848077504256,0.9971823029766992,0.9971823029766992,0.9997221246992537,33,33,7.757575757575758,9.696969696969697,UNDERRESOLVED,DIAGNOSTIC,0.991830498104,0.991176069239,0.0006544288649457108,1.0157900140423313,1.0176300850581688,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928701408445765,True,False
94,10,1,1,94,10,-0.6777458862326027,-0.6503288608418516,0.04045325238808098,0.9982305417996985,0.9982305417996985,0.999829397409426,29,29,8.827586206896552,11.03448275862069,DIAGNOSTIC,DIAGNOSTIC,-0.984761685665,-0.983374812957,0.001386872708167508,1.0240777022222753,1.0264660613459817,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928276865739634,True,False
95,11,1,1,95,11,0.6777458862326027,0.6503288608418516,0.04045325238808098,0.9982305417996985,0.9982305417996985,0.999829397409426,29,29,8.827586206896552,11.03448275862069,DIAGNOSTIC,DIAGNOSTIC,0.984761685665,0.983374812957,0.001386872708167508,1.0240777022222753,1.0264660613459817,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928276865739634,True,False
