theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
FS_Attachment,sst_ffs_02_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,4,2,3,0,4,30
FS_Attachment,sst_ffs_03_ideal_3_1_1_results.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,3,1,1,0,1,25
FS_Attachment,sst_ffs_research_package (1).zip,X,False,uses legacy reference normalization (5 hits) -> gate 1 fails,17,5,8,0,19,120
FS_Attachment,sst_ffs_research_package.zip,X,False,uses legacy reference normalization (5 hits) -> gate 1 fails,17,5,8,0,19,120
FS_Attachment,sst_ffs_research_package_v2.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,30,8,10,0,13,120
FS_Attachment,sst_ffs_research_package_v4_helicity (1).zip,X,False,uses legacy reference normalization (21 hits) -> gate 1 fails,119,21,23,0,38,141
FS_Attachment,sst_ffs_research_package_v4_helicity.zip,X,False,uses legacy reference normalization (21 hits) -> gate 1 fails,119,21,23,0,38,141
FS_Attachment,unified_attachment_audit_full_exports.zip,A/B,False,no absolute dimensionful or action-scale observable found,13,0,0,0,1,2
Hopf,SST_Hopf_Benchmark_Packet_v0.1.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,11,10
Hopf,SST_Hopf_Python_Scripts_v0.1.zip,A/B,False,no absolute dimensionful or action-scale observable found,27,0,0,0,43,11
Horn_SSDL,sst_horn_dirichlet_package.zip,C,True,"absolute observable present (C=6, Q=0)",7,0,6,0,1,0
Horn_SSDL,sst_horn_dirichlet_package_fixed.zip,C,True,"absolute observable present (C=8, Q=0)",7,0,8,0,3,0
Horn_SSDL,sst_ssdl_audit_v0_2.zip,X,False,uses legacy reference normalization (11 hits) -> gate 1 fails,10,11,15,0,0,0
KnotPlot,Fresnel_FourierSeries.zip,A/B,False,no absolute dimensionful or action-scale observable found,3,0,0,0,0,0
KnotPlot,Fseries.zip,A/B,False,no absolute dimensionful or action-scale observable found,4,0,0,0,1,0
KnotPlot,fseries_batch_results.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,1,0
KnotPlot,ideal_3_1_1.zip,A/B,False,no absolute dimensionful or action-scale observable found,27,0,0,0,8,0
KnotPlot,ideal_3_1_ab_bundle.zip,A/B,False,dominated by dimensionless observables (AB=7 vs CQ=1),6,0,1,0,7,0
KnotPlot,knotplot_knots_data_tooling_v1.zip,C,True,"absolute observable present (C=3, Q=0)",2,0,3,0,11,0
KnotPlot,Knotplot_outputs_fseries.zip,X,False,uses legacy reference normalization (336 hits) -> gate 1 fails,374,336,0,0,1344,1008
KnotPlot,knotplot_txt_to_vect_tooling_v1.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
KnotPlot,KnotPlotridgerunner.zip,A/B,False,dominated by dimensionless observables (AB=26 vs CQ=4),69,0,4,0,26,0
KnotPlot,knots.zip,X,False,uses legacy reference normalization (31 hits) -> gate 1 fails,44,31,0,0,127,93
KnotPlot,Knots_FourierSeries.zip,A/B,False,no absolute dimensionful or action-scale observable found,5,0,0,0,1,0
KnotPlot,ridgerunner.zip,C,True,"absolute observable present (C=43, Q=0)",20,0,43,0,69,18
KnotPlot,RidgeRunner_knots-20260717T154359Z-1-001.zip,A/B,False,no absolute dimensionful or action-scale observable found,0,0,0,0,0,0
KnotPlot,SST_Fseries.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,12,2,10,0,15,10
KnotPlot,SST_KnotPlot_preset_pack.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,3,1,0,0,1,1
