time_hat,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.126,0.0055849332729640926,0.0023450262087834784,0.004514258473231393,0.0034787385311579187,0.002347447943210658,0.005006201612565703,-4.8526519000161115e-05,-0.00011252020192706455,-0.00011300723700740289,-0.00010680657691210758,-0.0015683783958198448,-0.005423075712204307
0.132,0.005671542079911477,0.0021420478716813267,0.0047248599494634546,0.003158242307422666,0.0028323733781670394,0.004711842222810807,-6.886819518861021e-05,-0.00011414533625493184,-0.00012665403759427375,-9.656195561871111e-05,-0.002493674659009564,-0.005091926320298088
0.138,0.005750350132973193,0.0019360712298419915,0.004913343147978812,0.0028243634392174713,0.003284925539518543,0.004370696059199054,-9.04977019719924e-05,-0.00011236737022671706,-0.00013921101340615854,-8.432952555275947e-05,-0.0033506915431129607,-0.0046114521495099975
0.14400000000000002,0.005821201287403342,0.0017273432138544525,0.0050789007024525604,0.0024784123566028537,0.0037007939971450774,0.0039863307991617036,-0.00011283862709712041,-0.0001068562603099522,-0.00015039861065115978,-7.024855645575601e-05,-0.00411536928056933,-0.003995056520484572
0.15,0.005883944744962273,0.0015161166023388434,0.005220783860660714,0.0021217680073958595,0.004076035739556256,0.0035627025017457383,-0.00013524291253428342,-9.73838167465566e-05,-0.00015995500802491605,-5.449584311896646e-05,-0.004766223174210819,-0.003259961426400871
0.156,0.005938434543823307,0.001302650185637493,0.005338316050813752,0.0017558773009229472,0.004407109549767323,0.003104120738224256,-0.00015700967626347713,-8.383758733917016e-05,-0.0001676410075142909,-3.7283550361365356e-05,-0.0052849479941589166,-0.0024267311642918454
0.162,0.005984529029718172,0.0010872093248937053,0.005430905811378197,0.0013822503840729599,0.004690907916455172,0.0026152095389588943,-0.0001774066652859116,-6.623111121791328e-05,-0.00017324476595703014,-1.885644481899179e-05,-0.005656935955634795,-0.0015187011774510232
0.168,0.006022090449107249,0.000870066941906568,0.005498057815438169,0.0010024523330940532,0.004924785397370874,0.0021008642226543984,-0.00019569360300114125,-4.4710055318882176e-05,-0.00017658628662560938,5.115112041080387e-07,-0.005871693135998454,-0.0005613271304443015
0.17400000000000002,0.006050984821896604,0.000651504926644352,0.005539381007055138,0.0006180922035363228,0.005106582386022796,0.0015662045992259402,-0.0002111465984254695,-1.9553910007753892e-05,-0.00017752157056974936,2.0521215029608176e-05,-0.005923141728545585,0.00041852819404096997
0.18,0.006071082253829229,0.00043181589294418983,0.0055545932506668675,0.0002308106260944835,0.005234643437755171,0.0010165254164242873,-0.00022308273188569874,8.82689609375516e-06,-0.00017594631157395908,4.0853117794798204e-05,-0.005809798583375037,0.0013933504367745157
