low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_m,high_m,low_omega_hat,high_omega_hat,frequency_rel_error,low_sigma_hat,high_sigma_hat,sigma_hat_abs_error,overlap,minimum_overlap,low_circularity_eigs,high_circularity_eigs,circularity_error,low_class,high_class,converged,physical_interpretation_allowed
49,109,1,1,49,113,,,0.6638456222977659,0.4277275575783937,0.3556821899376211,-2.110404487814245e-17,-1.688323590251396e-16,1.4772831414699715e-16,0.956302136426267,0.956302136426267,0.981440537047,0.946492521634,0.03494801541294856,oscillatory,oscillatory,False,False
46,106,1,1,46,110,,,-0.6998832901012354,-0.4660356355774363,0.3341237858243106,-2.110404487814245e-17,4.22080897562849e-17,6.331213463442735e-17,0.9533007053939405,0.9533007053939405,-0.991776028437,-0.9820826754,0.009693353037216412,oscillatory,oscillatory,False,False
47,107,1,1,47,111,,,0.6998832901012354,0.4660356355774363,0.3341237858243106,-2.110404487814245e-17,4.22080897562849e-17,6.331213463442735e-17,0.9533007053939405,0.9533007053939405,0.991776028437,0.9820826754,0.009693353037216412,oscillatory,oscillatory,False,False
86,134,1,1,86,138,,,-0.022991309305745947,-0.04304843529481819,0.4659199771538862,0.13662776503084315,0.12529313223359087,0.011334632797252275,0.9568445689176616,0.9568445689176616,-0.00735007036663,-0.0244634822165,0.017113411849890674,mixed,mixed,False,False
87,135,1,1,87,139,,,0.022991309305745947,0.04304843529481819,0.4659199771538862,0.13662776503084315,0.12529313223359087,0.011334632797252275,0.9568445689176616,0.9568445689176616,0.00735007036663,0.0244634822165,0.017113411849890674,mixed,mixed,False,False
88,136,1,1,88,140,,,-0.022991309305745694,-0.04304843529481822,0.46591997715389255,-0.1366277650308434,-0.12529313223359104,0.011334632797252359,0.9568445689176607,0.9568445689176607,-0.00735007036663,-0.0244634822165,0.01711341184988781,mixed,mixed,False,False
89,137,1,1,89,141,,,0.022991309305745694,0.04304843529481822,0.46591997715389255,-0.1366277650308434,-0.12529313223359104,0.011334632797252359,0.9568445689176607,0.9568445689176607,0.00735007036663,0.0244634822165,0.01711341184988781,mixed,mixed,False,False
44,104,1,1,44,108,,,-0.7372490173208459,-0.49990702027933365,0.3219292145061248,2.954566282939943e-16,1.7410837024467522e-16,1.2134825804931908e-16,0.9430556539266259,0.9430556539266259,-0.985684657672,-0.962503928559,0.023180729113735477,oscillatory,oscillatory,False,False
45,105,1,1,45,109,,,0.7372490173208459,0.49990702027933365,0.3219292145061248,2.954566282939943e-16,1.7410837024467522e-16,1.2134825804931908e-16,0.9430556539266259,0.9430556539266259,0.985684657672,0.962503928559,0.023180729113735477,oscillatory,oscillatory,False,False
42,102,1,1,42,106,,,-0.7707369911236039,-0.5376159390967266,0.30246511418509503,2.110404487814245e-17,-4.22080897562849e-17,6.331213463442735e-17,0.9373355515658879,0.9373355515658879,-0.993241490965,-0.986129661798,0.007111829166753014,oscillatory,oscillatory,False,False
43,103,1,1,43,107,,,0.7707369911236039,0.5376159390967266,0.30246511418509503,2.110404487814245e-17,-4.22080897562849e-17,6.331213463442735e-17,0.9373355515658879,0.9373355515658879,0.993241490965,0.986129661798,0.007111829166753014,oscillatory,oscillatory,False,False
60,128,1,1,60,132,,,-0.42463679420106637,-0.19935112295585822,0.5305373305416745,0.0,6.595014024419515e-17,6.595014024419515e-17,0.9454658739287729,0.9454658739287729,-0.934341509074,-0.593190485624,0.3411510234497923,oscillatory,oscillatory,False,False
61,129,1,1,61,133,,,0.42463679420106637,0.19935112295585822,0.5305373305416745,0.0,6.595014024419515e-17,6.595014024419515e-17,0.9454658739287729,0.9454658739287729,0.934341509074,0.593190485624,0.3411510234497923,oscillatory,oscillatory,False,False
40,100,1,1,40,104,,,-0.8061884033134837,-0.5726029025894745,0.28974058639885975,3.376647180502792e-16,6.331213463442735e-17,2.743525834158518e-16,0.9198559532114216,0.9198559532114216,-0.989418578131,-0.973883231754,0.01553534637661802,oscillatory,oscillatory,False,False
41,101,1,1,41,105,,,0.8061884033134837,0.5726029025894745,0.28974058639885975,3.376647180502792e-16,6.331213463442735e-17,2.743525834158518e-16,0.9198559532114216,0.9198559532114216,0.989418578131,0.973883231754,0.01553534637661802,oscillatory,oscillatory,False,False
38,98,1,1,38,102,,,-0.836400975157069,-0.6088916748642559,0.2720098458159842,5.276011219535613e-17,-8.44161795125698e-17,1.3717629170792594e-16,0.910382068572747,0.910382068572747,-0.994357269555,-0.988827802135,0.0055294674192711835,oscillatory,oscillatory,False,False
39,99,1,1,39,103,,,0.836400975157069,0.6088916748642559,0.2720098458159842,5.276011219535613e-17,-8.44161795125698e-17,1.3717629170792594e-16,0.910382068572747,0.910382068572747,0.994357269555,0.988827802135,0.0055294674192711835,oscillatory,oscillatory,False,False
72,172,1,1,72,176,,,-0.23239122148976693,-0.0592402256160976,0.7450840645514394,-1.266242692688547e-16,-5.5233242454513443e-17,7.139102681434126e-17,0.9175920782096899,0.9175920782096899,-0.943069445847,-0.65155232423,0.29151712161682664,oscillatory,oscillatory,False,False
73,173,1,1,73,177,,,0.23239122148976693,0.0592402256160976,0.7450840645514394,-1.266242692688547e-16,-5.5233242454513443e-17,7.139102681434126e-17,0.9175920782096899,0.9175920782096899,0.943069445847,0.65155232423,0.29151712161682664,oscillatory,oscillatory,False,False
116,178,1,1,116,182,,,-0.05716242153714422,-0.08496370890309202,0.32721367422480835,8.177817390280199e-17,3.1656067317213673e-17,5.012210658558832e-17,0.8854306916941479,0.8854306916941479,0.394626673327,0.724183509391,0.32955683606379305,oscillatory,oscillatory,False,False
117,179,1,1,117,183,,,0.05716242153714422,0.08496370890309202,0.32721367422480835,8.177817390280199e-17,3.1656067317213673e-17,5.012210658558832e-17,0.8854306916941479,0.8854306916941479,-0.394626673327,-0.724183509391,0.32955683606379305,oscillatory,oscillatory,False,False
124,170,1,1,124,174,,,-0.026833873869730195,-0.08473280445815876,0.6833118643797419,1.1145573701268982e-16,-4.550559676849466e-17,1.5696133378118448e-16,0.894821784798737,0.894821784798737,0.477340576751,0.66921479874,0.19187422198944243,oscillatory,oscillatory,False,False
125,171,1,1,125,175,,,0.026833873869730195,0.08473280445815876,0.6833118643797419,1.1145573701268982e-16,-4.550559676849466e-17,1.5696133378118448e-16,0.894821784798737,0.894821784798737,-0.477340576751,-0.66921479874,0.19187422198944243,oscillatory,oscillatory,False,False
34,94,1,1,34,98,,,-0.8951497921015871,-0.6803554807504752,0.23995348403849678,-1.1079623561024787e-16,4.22080897562849e-17,1.5300432536653276e-16,0.8537536700622971,0.8537536700622971,-0.99474101272,-0.990866541696,0.0038744710237722524,oscillatory,oscillatory,False,False
35,95,1,1,35,99,,,0.8951497921015871,0.6803554807504752,0.23995348403849678,-1.1079623561024787e-16,4.22080897562849e-17,1.5300432536653276e-16,0.8537536700622971,0.8537536700622971,0.99474101272,0.990866541696,0.0038744710237722524,oscillatory,oscillatory,False,False
36,96,1,1,36,100,,,-0.8666712398342632,-0.6447793894116354,0.25602770719040013,1.5828033658606837e-16,1.266242692688547e-16,3.165606731721368e-17,0.8447179645995185,0.8447179645995185,-0.992409350176,-0.980211862098,0.012197488077604901,oscillatory,oscillatory,False,False
37,97,1,1,37,101,,,0.8666712398342632,0.6447793894116354,0.25602770719040013,1.5828033658606837e-16,1.266242692688547e-16,3.165606731721368e-17,0.8447179645995185,0.8447179645995185,0.992409350176,0.980211862098,0.012197488077604901,oscillatory,oscillatory,False,False
114,164,1,1,114,168,,,-0.07726653698030408,-0.10064248884015113,0.23226722758192825,-1.3981429731769374e-16,-3.693207853674929e-17,1.0288221878094445e-16,0.837994486422011,0.837994486422011,0.493360205758,0.755460858303,0.2621006525451466,oscillatory,oscillatory,False,False
115,165,1,1,115,169,,,0.07726653698030408,0.10064248884015113,0.23226722758192825,-1.3981429731769374e-16,-3.693207853674929e-17,1.0288221878094445e-16,0.837994486422011,0.837994486422011,-0.493360205758,-0.755460858303,0.2621006525451466,oscillatory,oscillatory,False,False
82,186,1,1,82,190,,,-0.17210936690503512,-0.02182142204975752,0.8732118858946362,-6.331213463442735e-17,3.726182923797026e-17,1.0057396387239761e-16,0.867552880390158,0.867552880390158,-0.908744439023,-0.682539867869,0.22620457115392678,oscillatory,oscillatory,False,False
83,187,1,1,83,191,,,0.17210936690503512,0.02182142204975752,0.8732118858946362,-6.331213463442735e-17,3.726182923797026e-17,1.0057396387239761e-16,0.867552880390158,0.867552880390158,0.908744439023,0.682539867869,0.22620457115392678,oscillatory,oscillatory,False,False
120,180,1,1,120,184,,,-0.0,-0.0,0.0,0.013419711950952982,0.01878023766407765,0.005360525713124667,0.7952960180982857,0.7952960180982857,0,0,0.0,real_dominant,real_dominant,False,False
121,183,1,1,121,187,,,-0.0,-0.0,0.0,-0.013419711950953124,-0.018780237664077673,0.005360525713124549,0.7952960180982804,0.7952960180982804,0,0,0.0,real_dominant,real_dominant,False,False
32,92,1,1,32,96,,,-0.9188798205658761,-0.7165333615260064,0.22020992790467214,-2.532485385377094e-16,-1.8993640390328205e-16,6.331213463442733e-17,0.7767149238279504,0.7767149238279504,-0.993954402027,-0.984925931666,0.009028470361149066,oscillatory,oscillatory,False,False
33,93,1,1,33,97,,,0.9188798205658761,0.7165333615260064,0.22020992790467214,-2.532485385377094e-16,-1.8993640390328205e-16,6.331213463442733e-17,0.7767149238279504,0.7767149238279504,0.993954402027,0.984925931666,0.009028470361149066,oscillatory,oscillatory,False,False
98,156,1,1,98,160,,,-0.09291168538605929,-0.02556564591639686,0.7248392835608514,0.05001838640955011,0.10107295860092133,0.051054572191371224,0.7832042764817688,0.7832042764817688,-0.0759671734184,-0.0346883385573,0.041278834861151,mixed,mixed,False,False
99,157,1,1,99,161,,,0.09291168538605929,0.02556564591639686,0.7248392835608514,0.05001838640955011,0.10107295860092133,0.051054572191371224,0.7832042764817688,0.7832042764817688,0.0759671734184,0.0346883385573,0.041278834861151,mixed,mixed,False,False
100,158,1,1,100,162,,,-0.09291168538605955,-0.02556564591639698,0.7248392835608508,-0.05001838640955014,-0.1010729586009223,0.05105457219137216,0.7832042764817672,0.7832042764817672,-0.0759671734184,-0.0346883385573,0.04127883486115179,mixed,mixed,False,False
