group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
86,2,169;171,oscillatory,1,1.2467330753483553e+19,0.03211805514308624,-384.0,-9.892521036629273e-19,-3;3,-0.98272290697;-0.98272290697
87,2,172;174,oscillatory,-1,-1.445856082875856e+19,-0.03724781696819741,-3584.0,-9.233019634187322e-18,-13;13,0.980737402649;0.980737402649
88,2,173;175,oscillatory,1,1.445856082875856e+19,0.03724781696819741,-3584.0,-9.233019634187322e-18,-13;13,-0.980737402649;-0.980737402649
89,1,176,oscillatory,-1,-312062523440.20667,-8.039284056968386e-10,-18316.76484094809,-4.718723476876834e-17,0,-2.01228677205e-07
90,1,177,oscillatory,1,312062523440.20667,8.039284056968386e-10,-18316.76484094809,-4.718723476876834e-17,0,2.01228677205e-07
91,2,178;180,oscillatory,-1,-6.587323174687699e+18,-0.016970112781425416,4736.0,1.2200775945176104e-17,-2;2,0.947330797805;0.947330797805
92,2,179;181,oscillatory,1,6.587323174687699e+18,0.016970112781425416,4736.0,1.2200775945176104e-17,-2;2,-0.947330797805;-0.947330797805
93,2,182;183,real_dominant,-1,-0.0,-0.0,-8.382307072631452e+17,-0.00215943096488263,0,-2.21666379053e-14;2.21666379053e-14
94,2,184;186,oscillatory,-1,-5.435883271879238e+18,-0.014003799380137115,1520.0,3.9157895769990876e-18,-15;13,0.882343903194;0.882343903194
95,2,185;187,oscillatory,1,5.435883271879238e+18,0.014003799380137115,1520.0,3.9157895769990876e-18,-15;15,-0.882343903194;-0.882343903194
96,2,188;190,oscillatory,-1,-2.824523038917316e+18,-0.007276472286701457,-624.0,-1.6075346684522569e-18,-15;15,-0.695929610094;-0.695929610094
97,2,189;191,oscillatory,1,2.824523038917316e+18,0.007276472286701457,-624.0,-1.6075346684522569e-18,-15;15,0.695929610094;0.695929610094
