group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
17,1,17,oscillatory,1,2.993337650234291e+20,0.7711368665280511,-32768.0,-8.44161795125698e-17,,0.98586764006
18,1,18,oscillatory,-1,-2.567388165118486e+20,-0.6614047248080118,0.0,0.0,,-0.987125535553
19,1,19,oscillatory,1,2.567388165118486e+20,0.6614047248080118,0.0,0.0,,0.987125535553
20,1,20,oscillatory,-1,-2.544840533947999e+20,-0.6555960551288399,1024.0,2.638005609767806e-18,,-0.983653719692
21,1,21,oscillatory,1,2.544840533947999e+20,0.6555960551288399,1024.0,2.638005609767806e-18,,0.983653719692
22,1,22,oscillatory,-1,-2.5098349622989724e+20,-0.6465779990367246,-50176.0,-1.292622748786225e-16,,-0.984767476877
23,1,23,oscillatory,1,2.5098349622989724e+20,0.6465779990367246,-50176.0,-1.292622748786225e-16,,0.984767476877
24,1,24,oscillatory,-1,-2.3120910758509412e+20,-0.5956356668348501,-18432.0,-4.748410097582051e-17,,-0.986582783137
25,1,25,oscillatory,1,2.3120910758509412e+20,0.5956356668348501,-18432.0,-4.748410097582051e-17,,0.986582783137
26,1,26,oscillatory,-1,-2.2325085694519506e+20,-0.5751338017645455,12288.0,3.1656067317213673e-17,,-0.989538529698
27,1,27,oscillatory,1,2.2325085694519506e+20,0.5751338017645455,12288.0,3.1656067317213673e-17,,0.989538529698
28,1,28,oscillatory,-1,-2.130488191753489e+20,-0.54885154310447,-86016.0,-2.2159247122049573e-16,,-0.971926289913
29,1,29,oscillatory,1,2.130488191753489e+20,0.54885154310447,-86016.0,-2.2159247122049573e-16,,0.971926289913
30,1,30,oscillatory,-1,-2.00801591906519e+20,-0.5173005135739286,-14336.0,-3.693207853674929e-17,,-0.986692016563
31,1,31,oscillatory,1,2.00801591906519e+20,0.5173005135739286,-14336.0,-3.693207853674929e-17,,0.986692016563
32,1,32,oscillatory,-1,-1.8798859726298952e+20,-0.4842919669454563,8192.0,2.110404487814245e-17,,-0.96293497642
33,1,33,oscillatory,1,1.8798859726298952e+20,0.4842919669454563,8192.0,2.110404487814245e-17,,0.96293497642
34,1,34,oscillatory,-1,-1.743395129753784e+20,-0.44912950511058153,4096.0,1.0552022439071224e-17,,-0.982134366487
35,1,35,oscillatory,1,1.743395129753784e+20,0.44912950511058153,4096.0,1.0552022439071224e-17,,0.982134366487
36,1,36,oscillatory,-1,-1.580600442076909e+20,-0.4071907063476915,94208.0,2.4269651609863817e-16,,-0.924952791007
37,1,37,oscillatory,1,1.580600442076909e+20,0.4071907063476915,94208.0,2.4269651609863817e-16,,0.924952791007
38,1,38,oscillatory,-1,-1.4483891186578932e+20,-0.3731307246236495,12288.0,3.1656067317213673e-17,,-0.975022997064
39,1,39,oscillatory,1,1.4483891186578932e+20,0.3731307246236495,12288.0,3.1656067317213673e-17,,0.975022997064
40,1,40,oscillatory,-1,-1.2971025171494422e+20,-0.33415661295743854,-20480.0,-5.276011219535613e-17,,-0.899579754124
41,1,41,oscillatory,1,1.2971025171494422e+20,0.33415661295743854,-20480.0,-5.276011219535613e-17,,0.899579754124
42,1,42,oscillatory,-1,-1.1766592834499725e+20,-0.30312829985609324,24576.0,6.331213463442735e-17,,-0.963004072594
43,1,43,oscillatory,1,1.1766592834499725e+20,0.30312829985609324,24576.0,6.331213463442735e-17,,0.963004072594
44,1,44,oscillatory,-1,-9.194026183786544e+19,-0.23685442040215818,90112.0,2.3214449365956695e-16,,-0.671128577725
45,1,45,oscillatory,1,9.194026183786544e+19,0.23685442040215818,90112.0,2.3214449365956695e-16,,0.671128577725
46,1,46,real_dominant,-1,-0.0,-0.0,-8.874884387498485e+19,-0.22863276172130592,,0
47,1,47,mixed,-1,-9.402070716360851e+18,-0.02422140165350932,-7.764694803657831e+19,-0.200032309083831,,0.0204237559599
48,1,48,mixed,1,9.402070716360851e+18,0.02422140165350932,-7.764694803657831e+19,-0.200032309083831,,-0.0204237559599
49,1,49,real_dominant,1,-0.0,-0.0,8.874884387498513e+19,0.22863276172130664,,0
50,1,50,mixed,-1,-9.402070716360827e+18,-0.024221401653509257,7.764694803657805e+19,0.20003230908383032,,0.0204237559599
51,1,51,mixed,1,9.402070716360827e+18,0.024221401653509257,7.764694803657805e+19,0.20003230908383032,,-0.0204237559599
52,1,52,oscillatory,-1,-8.3942377526944e+19,-0.216250451966138,16384.0,4.22080897562849e-17,,-0.937131885183
53,1,53,oscillatory,1,8.3942377526944e+19,0.216250451966138,16384.0,4.22080897562849e-17,,0.937131885183
54,1,54,mixed,-1,-9.759707018933946e+18,-0.025142736196912093,-6.292858432349317e+19,-0.1621151938087123,,0.0011321476955
55,1,55,mixed,1,9.759707018933946e+18,0.025142736196912093,-6.292858432349317e+19,-0.1621151938087123,,-0.0011321476955
56,1,56,mixed,-1,-9.759707018933946e+18,-0.025142736196912093,6.292858432349312e+19,0.16211519380871217,,0.0011321476955
57,1,57,mixed,1,9.759707018933946e+18,0.025142736196912093,6.292858432349312e+19,0.16211519380871217,,-0.0011321476955
58,1,58,oscillatory,-1,-6.3205759012866466e+19,-0.16282924496638068,14336.0,3.693207853674929e-17,,-0.905779348868
59,1,59,oscillatory,1,6.3205759012866466e+19,0.16282924496638068,14336.0,3.693207853674929e-17,,0.905779348868
60,1,60,mixed,-1,-5.380102725398572e+19,-0.13860098799539547,-3.045124715017605e+18,-0.007844781328768589,,0.0288478909846
61,1,61,mixed,1,5.380102725398572e+19,0.13860098799539547,-3.045124715017605e+18,-0.007844781328768589,,-0.0288478909846
62,1,62,mixed,-1,-5.380102725398566e+19,-0.1386009879953953,3.0451247150175826e+18,0.00784478132876853,,0.0288478909846
63,1,63,mixed,1,5.380102725398566e+19,0.1386009879953953,3.0451247150175826e+18,0.00784478132876853,,-0.0288478909846
64,1,64,real_dominant,-1,-0.0,-0.0,-5.289726864199116e+19,-0.1362727455263353,,0
65,1,65,real_dominant,1,-0.0,-0.0,5.289726864199131e+19,0.1362727455263357,,0
66,1,66,real_dominant,-1,-0.0,-0.0,-4.838847647270385e+19,-0.12465729724913113,,0
67,1,67,real_dominant,1,-0.0,-0.0,4.838847647270364e+19,0.12465729724913058,,0
68,1,68,mixed,-1,-2.651962061024198e+19,-0.06831924603391823,-2.7670390967454204e+19,-0.07128383456700452,,-0.0130875169874
69,1,69,mixed,1,2.651962061024198e+19,0.06831924603391823,-2.7670390967454204e+19,-0.07128383456700452,,0.0130875169874
70,1,70,mixed,-1,-2.6519620610241933e+19,-0.06831924603391812,2.7670390967454163e+19,0.0712838345670044,,-0.0130875169874
71,1,71,mixed,1,2.6519620610241933e+19,0.06831924603391812,2.7670390967454163e+19,0.0712838345670044,,0.0130875169874
72,1,72,mixed,-1,-3.6565662070459343e+19,-0.0941996305339313,-7.933697548979885e+18,-0.02043861195352542,,0.0395671588918
73,1,73,mixed,1,3.6565662070459343e+19,0.0941996305339313,-7.933697548979885e+18,-0.02043861195352542,,-0.0395671588918
74,1,74,mixed,-1,-3.656566207045925e+19,-0.09419963053393104,7.933697548979883e+18,0.020438611953525417,,0.0395671588918
75,1,75,mixed,1,3.656566207045925e+19,0.09419963053393104,7.933697548979883e+18,0.020438611953525417,,-0.0395671588918
76,1,76,mixed,-1,-6.277302276235644e+18,-0.01617144396378696,2.6409917502129775e+19,0.06803663137121417,,-0.0199897416752
77,1,77,mixed,1,6.277302276235644e+18,0.01617144396378696,2.6409917502129775e+19,0.06803663137121417,,0.0199897416752
78,1,78,mixed,-1,-5.762861556764745e+18,-0.014846153432676396,2.458025156704577e+19,0.06332308742516665,,0.0109740911262
