pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_A8E15288FC33,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_603C1D6E0EEC68CC,0.75,0.75,total_beta,1.0,3,1.0
PAIR_3EF6AF46F3C1,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_B55BA66D806BF845,1.0,1.0,total_beta,1.0,3,1.0
PAIR_B6069F9C0336,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_7457591366B485C6,1.5,1.5,total_beta,1.0,3,1.0
PAIR_EE894D48C986,TORUS_T2_9,torus,CAND_0FBD77CD6C031936,CAND_779A47A6B1190B12,2.0,2.0,total_beta,1.0,3,1.0
PAIR_E31B4571B87D,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_5006963DF64C7C76,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_6C91D5414373,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_161779CD44435A70,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_C7648303661B,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_C766A27251E58F71,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_2B860F4D1BC7,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_1FF85D3DDCB1E5C4,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_5857387577F9,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_5612E6CD8B4231E5,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_64108F6A72C7,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_E40AA3057ED82832,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_DAB5815866E2,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_AB36E85AD35287C5,0.25,0.25,total_beta,1.0,3,1.0
PAIR_E661C520D742,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_94577D2679ED3074,0.5,0.5,total_beta,1.0,3,1.0
