action,theme,series,basename,size,sha256,source_path,dest_path,note
delete_duplicate,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.1.zip,33757,13b6a90c41d25e118e53bf68ebced00523b7875da390e82071286ac415cd8bbd,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.1.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.1.zip,identical to existing Restore_Archives / Sources_Zips copy
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.1.zip,51747,90cb86b4c1720ab1ba88d26b0666adc659e24b53546efc71939cc0cbb797e149,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.1.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.1.zip,
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.2.zip,60253,0653fdb8945ee233f60412dcd240410a1daf680e2c4f6aa4f049ee147bc9445e,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.2.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.2.zip,
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.3.zip,145915,996cee32007ff2d0ed704c1d8f678ad8265834c9f58810553d8ce8221574864c,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.3.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.3.zip,
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.4 (1).zip,67508,9a1fcd88346d1482a541f46bcfbad4096ae818539e47dc275af598e33814e375,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.4 (1).zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.4 (1).zip,
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.4.zip,67508,9a1fcd88346d1482a541f46bcfbad4096ae818539e47dc275af598e33814e375,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.4.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.4.zip,
move,DeriveConstants,,Independent_FiniteCore_SpectralSelector_v0.1.2.zip,45032,a74d5c6f27c0f2a45546af4139994aecfe8b2524d5796311ab5e5bd449a898aa,Restore_Archives/Independent_FiniteCore_SpectralSelector_v0.1.2.zip,Restore_Archives/DeriveConstants/Independent_FiniteCore_SpectralSelector_v0.1.2.zip,
move,Falsifiers,,SST_counterpulley_alpha_falsifier_v0.1.0.zip,58817,7206f56d31a459f929e8c4fa0770202bab30f525af5c0cb791cce355b4521a25,Restore_Archives/SST_counterpulley_alpha_falsifier_v0.1.0.zip,Restore_Archives/Falsifiers/SST_counterpulley_alpha_falsifier_v0.1.0.zip,
move,Falsifiers,,SST_counterpulley_alpha_falsifier_v0.3.0.zip,100330,b49d433b4b3b75ab75bccfa32e1b26d989333c6fd56fa0091c9af58635ad7ca7,Restore_Archives/SST_counterpulley_alpha_falsifier_v0.3.0.zip,Restore_Archives/Falsifiers/SST_counterpulley_alpha_falsifier_v0.3.0.zip,
move,Falsifiers,,SST_counterpulley_alpha_falsifier_v0.4.0.zip,102452,9eb8e8031999f5ebfbb721be629d8ea8520d2627395f16e688d6c72e647d8568,Restore_Archives/SST_counterpulley_alpha_falsifier_v0.4.0.zip,Restore_Archives/Falsifiers/SST_counterpulley_alpha_falsifier_v0.4.0.zip,
move,Falsifiers,,SST_counterpulley_alpha_falsifier_v0.5.0.zip,216056,d2066d0295f5954dd6f03b58eb63aba13e3200c26368303e97dc91bbf9db5be3,Restore_Archives/SST_counterpulley_alpha_falsifier_v0.5.0.zip,Restore_Archives/Falsifiers/SST_counterpulley_alpha_falsifier_v0.5.0.zip,
delete_duplicate,Hopf,,SST_Hopf_cpp_pybind_v0.1.0.zip,75262,8909196f0481817daee9b9d703e8f54b553c7fbf26b26b77267848f9b257322f,Restore_Archives/SST_Hopf_cpp_pybind_v0.1.0.zip,Restore_Archives/Hopf/SST_Hopf_cpp_pybind_v0.1.0.zip,identical to existing Restore_Archives / Sources_Zips copy
move,Hopf,,SST_Hopf_cpp_pybind_v0.1.1.zip,90052,3be1f4b7bccd1a4175cae1d62d1213a62688b854694ac7e190778ab398727183,Restore_Archives/SST_Hopf_cpp_pybind_v0.1.1.zip,Restore_Archives/Hopf/SST_Hopf_cpp_pybind_v0.1.1.zip,
