case_id,dataset,overall,backend,components,original_points,resampled_points,thickness,rr_residual,relative_equilibrium_residual,omega_eff,spectral_modes,gap_sigma0,gap_to_2omega_ratio,dispersion_train_r2,dispersion_holdout_nrmse,gap_delta_aic,c_eff,evanescent_observed_length,evanescent_predicted_length,evanescent_length_ratio,evanescent_exp_r2,evanescent_delta_aic,geometry_qc,relative_equilibrium_gate,kelvin_gap_gate,evanescent_gate,kirchhoff_detailed_balance
CASE_98F7636E78CADE2E,knot_7.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999575,0.00999204,0.5571635493232205,0.11310241135647339,3,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_098FEEB812A4AF11,knot_7.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999886,0.00494787,0.6611487495346744,0.10674205592152795,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_5F20419F69B75DB8,knot_7.3_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999833,0.00498068,0.7804368090472951,0.09094527850911237,1,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_B61C633BDD56A47B,knot_7.4_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999851,0.00499277,0.8420185269664575,0.08191512591085665,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_5C833494C201DD93,knot_8.17_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999803,0.00497229,0.6589905236401801,0.006454686591109314,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_AB49835F8DBCE2DB,knot_8.18_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.499985,0.00489124,0.6575193363860175,2.5198172077848368e-05,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_9C6902070FE382F6,knot_8.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999736,0.00497284,0.7284608521708983,0.07976562535884353,2,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_C5B006F297B2E22F,knot_9.1_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999895,0.00487171,0.5365664156670897,0.0761951625055178,9,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_705437F272C3BAEE,knot_9.2_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999674,0.00499885,0.73574501537331,0.037955865331290854,1,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_242F1B1A67A4B1A1,knot_9.35_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,1,300,384,0.4999736,0.025224,0.8961703618526419,0.04136866566873212,1,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_87D7539E1046CDB2,link_0.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.5016683,1.0,0.10509358588024642,3.031401951373272e-08,4,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_AC4C73E885E4E7D8,link_0.3.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.5003588,1.0,0.25254103585037085,0.0507740521791246,17,0.0,0.0,0.6622188185286583,0.42006994210534815,-1.2481009036637403,0.03860550633434439,1.1929470228301333,0.38016964056905406,3.13793342636324,0.9282194271103492,-3.1986307865587236,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_6994843B95C68FC8,link_2.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.5677076,1.0,0.5245588219559739,0.013656697942945138,8,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_C2B79C0EC5FB8087,link_4.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999987,0.706861,0.9950268536618503,0.01014345642988007,1,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_E6C2A1CD46332B8D,link_5.2.1_final.txt,FAIL,cpp17-pybind11-openmp,2,600,384,0.4999933,0.00496482,0.6904910306826254,0.08639323818427604,3,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_CF0C197B371DDFCD,link_6.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999998,0.920807,0.5413336920304141,0.07186019010966889,11,0.25489975384715835,1.7735811264772958,0.7954844787763131,3.3084534234358296,13.561531561498938,0.0,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_08FCA268918732A7,link_6.3.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,901,384,0.4999807,0.145004,0.6905084410132408,0.09244852773902926,7,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_044844315F7D53AC,link_6.3.2_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,899,384,0.4999963,0.113397,0.715598878492038,0.08906040830674224,8,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_3C3EA54BF8645B9E,link_6.3.3_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,899,384,0.4999997,0.926934,0.6918572881028849,0.0869162832894919,9,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_77B5F349F565A9B6,link_7.2.5_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999932,0.454553,0.9171765571439301,0.03755497454481608,6,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_68C006EAA95A353A,link_7.2.6_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999965,0.801426,0.7758857008387072,0.05081816973088216,5,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_E341D6FD92EFC9C9,link_7.2.8_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999992,0.522285,0.5796588132013103,0.06239799398872111,4,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_5AEC5DD7F8C51B5D,link_8.2.1_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999988,0.702246,0.9674114959705502,0.008314768186251981,9,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_B8E7D012C63FE9EA,link_9.2.20_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999987,0.823225,0.955491823028444,0.011228530904155728,5,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_ADED033AB395F093,link_9.2.40_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,2,600,384,0.4999978,0.742356,0.9986678646683047,0.003089375611882178,7,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_8480EFEFF815E41D,torus_2.11_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999784,0.00483596,0.5413324412568362,0.06837863146848011,9,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_4B8353C9B28FFF7F,torus_2.3_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.499998,0.00975757,0.49709555990661963,0.08441538994296187,0,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_41748A49E7C02303,torus_2.4_final.txt,FAIL,cpp17-pybind11-openmp,2,600,384,0.4999737,0.00431836,0.5145092789549058,0.08905010861724748,6,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_06A6194B86A158C0,torus_2.5_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999992,0.0049607,0.5228153702685899,0.08970563711861501,6,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_3D1748A4537AB401,torus_2.6_final.txt,FAIL,cpp17-pybind11-openmp,2,600,384,0.499964,0.00496134,0.5275938988014152,0.08777573090834566,10,0.13721103916609584,0.7816000946170982,0.004196853853752014,1.596418398052693,-0.23265699300272757,0.0,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_06C2C9C4DDFC985D,torus_2.7_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999981,0.00487266,0.5309180801660774,0.08445275697037379,8,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_034AABA316101492,torus_2.8_final.txt,FAIL,cpp17-pybind11-openmp,2,600,384,0.4999816,0.00492121,0.5339261727176937,0.08042528255286754,10,0.027829260174688182,0.17301313275706942,0.16849079508098874,0.4353166890419393,-1.997096876441283,0.10756674580521622,1.8623112555319021,0.6687371333417899,2.7848180737708184,0.8866725331656002,7.175274217617783,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_9E07F4C5DD2433A2,torus_2.9_final.txt,FAIL,cpp17-pybind11-openmp,1,300,384,0.4999769,0.0047469,0.5365606134711187,0.07620062574472157,9,,,,,,,,,,,,PASS,FAIL,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_8280BDAA56C043DF,torus_3.3_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999959,0.21793,0.5538652691046546,0.08152820456168686,8,,,,,,,,,,,,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_92A4F191F7BB1A3F,torus_3.6_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999763,0.0276313,0.5731024272088827,0.0901603855362114,12,0.0,0.0,0.10904214031380088,13.065921192749846,-1.9693602654446778,0.1005950193656097,1.0541594104540957,0.557867065271185,1.8896247440985923,0.961880526400945,12.476905396704204,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_3F750C6FEA588292,torus_3.9_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999978,0.0909074,0.5870158711602644,0.11279359001357477,11,0.0,0.0,0.01577534705908812,0.786159728650467,-1.9543449165725235,0.14947593057954534,2.647677611981362,0.6626082677284933,3.9958414963005855,0.791259071032189,5.994853638740743,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_2BF5E31BE198E035,torus_6.15_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999986,0.373873,0.6911797840340487,0.08127296920913261,17,0.0,0.0,0.1749537169449702,0.5681623815292728,-1.4071479608489597,0.2616052193995187,8.312501791705381,1.6094232925485525,5.164894673881832,0.20360389392485945,0.20750196524132747,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_193C7FD65876EDC4,torus_6.21_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999786,0.571765,0.7415735569935449,0.052740326534020054,15,0.05843521586474285,0.5539898944979922,0.0261264137144972,0.5635272362019288,-1.8530353014725023,0.18520188052976255,4.877003619236536,1.755790044362907,2.777669024206234,0.723967415686114,1.1610290531910579,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
CASE_D3C17710366B080A,torus_6.9_final.txt,INCONCLUSIVE,cpp17-pybind11-openmp,3,900,384,0.4999638,0.760103,0.6755172568162608,0.07557587525992641,11,0.0,0.0,0.46476986671853404,0.6289811646671488,0.6224715201142317,0.20150239322085428,2.474807700445501,1.3331131960287037,1.856412274529923,0.8892633104614285,1.5368375334609894,FAIL,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_TESTABLE
