knot_target,knot_source,orientation_deg,impact_parameter_R,separation_R,core_radius_R,gamma_proxy,velocity_rms_proxy,shape_velocity_rms_proxy,translation_fraction,rotation_fraction,shape_fraction,mode_capture_fraction,dominant_mode_id,dominant_mode_fraction,writhe_directional_response_per_Rrms,min_segment_distance_R,interpretation
knot_7.1_final,knot_7.1_final,0.0,0.0,3.5,0.075,1.0,0.015281109504719297,0.008040274524291562,0.617153006906518,0.10600499249817624,0.27684200059530534,0.49555004814568315,kelvin_m01_N_sin,0.10161561488962635,0.44039974211429467,1.2680245874950065,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_7.2_final,knot_7.2_final,0.0,0.0,3.5,0.075,1.0,0.012272850131491325,0.008617074326276078,0.46449699913601383,0.042523550720794036,0.49297945014319233,0.2971725839964367,kelvin_m06_B_cos,0.0405190932536261,-0.5193958118798747,1.3778794193045154,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_7.3_final,knot_7.3_final,0.0,0.0,3.5,0.075,1.0,0.004956723378847201,0.002737372516215633,0.6723185352668245,0.02269649324307048,0.30498497149010495,0.4121052958969606,kelvin_m03_B_cos,0.0919269551309692,0.4620946103717216,1.6344713904386565,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_7.4_final,knot_7.4_final,0.0,0.0,3.5,0.075,1.0,0.01358935692134083,0.010523748191810586,0.36489404274030834,0.035393479531930956,0.5997124777277606,0.45021050041466504,kelvin_m02_N_sin,0.09117380622153316,-0.12740854009152258,1.0614529770264054,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_8.17_final,knot_8.17_final,0.0,0.0,3.5,0.075,1.0,0.015837395478843063,0.00968456630239012,0.6221106286590596,0.003957201105572921,0.3739321702353666,0.48947714932726927,kelvin_m06_B_sin,0.060530235077284486,0.9685450565247513,1.3282695166225345,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_8.18_final,knot_8.18_final,0.0,0.0,3.5,0.075,1.0,0.013107874714556832,0.007942079270953112,0.6311413024864387,0.0017422251625362878,0.36711647235102574,0.3535316797685736,kelvin_m05_N_cos,0.08087807150496829,0.8507901028861913,1.4759470733240663,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_8.1_final,knot_8.1_final,0.0,0.0,3.5,0.075,1.0,0.003298239128477538,0.0016273190717281684,0.7024546669130175,0.05411138125681346,0.24343395183016822,0.2931058631706425,kelvin_m06_N_cos,0.07792474876835188,0.46218352824922704,1.5038797192983167,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_9.1_final,knot_9.1_final,0.0,0.0,3.5,0.075,1.0,0.01863570156193613,0.006689814332757701,0.657001732337264,0.21413277587380397,0.12886549178893233,0.28294004579969945,kelvin_m01_B_cos,0.23870805774453474,-0.0014381166479893182,1.2187846084477847,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_9.2_final,knot_9.2_final,0.0,0.0,3.5,0.075,1.0,0.007243392754425933,0.005177577731934906,0.4813518028870183,0.007709040455561538,0.5109391566574194,0.42068109269846504,kelvin_m02_B_cos,0.09328673527093771,0.295415988942338,0.9979609234458393,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
knot_9.35_final,knot_9.35_final,0.0,0.0,3.5,0.075,1.0,0.004399518279308293,0.0039853295976359365,0.16390343321835713,0.015521652265613615,0.8205749145160292,0.21077912061433077,kelvin_m03_B_cos,0.040670090126861964,-0.45537034807807686,1.1691914494962459,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
link_0.2.1_final,link_0.2.1_final,0.0,0.0,3.5,0.075,1.0,0.008053160866298537,0.004611057734524542,0.6628227341799788,0.00933241186807897,0.32784485395194235,0.5905709615979154,kelvin_m03_N_cos,0.21357194895416717,-0.08208547760836885,1.96803525452516,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
link_0.3.1_final,link_0.3.1_final,0.0,0.0,3.5,0.075,1.0,0.0038330695862302984,0.0006226498684960971,0.7483228803575834,0.22528985369076815,0.026387265951648007,0.7620942421223305,kelvin_m05_N_cos,0.3912944182180251,0.9253345016880403,1.0107299517988964,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
link_2.2.1_final,link_2.2.1_final,0.0,0.0,3.5,0.075,1.0,0.007731504528130663,0.004108380812699891,0.6794198733258,0.03821350657664728,0.2823666200975529,0.766027223104868,kelvin_m03_B_sin,0.11489089441981093,-0.6225007994586917,1.7421915210456869,REGULARIZED_BIOT_SAVART_GEOMETRIC_COUPLING_PROXY_NOT_ENERGY_NOT_GAP
