low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
80,96,2,2,158;160,192;194,-0.07071420744630666,-0.076280306564957,0.07296901873238412,0.9999553018709446,0.9999553018709444,0.9999537147561117,6,6,16.0,21.333333333333332,RESOLVED,RESOLVED,0.99557074268;0.99557074268,0.996437385534;0.996437385534,0.0008666428536584503,9.189436964465909,2.1868198941166015,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.989016257001737,True,False
81,97,2,2,159;161,193;195,0.07071420744630666,0.076280306564957,0.07296901873238412,0.9999553018709446,0.9999553018709444,0.9999537147561117,6,6,16.0,21.333333333333332,RESOLVED,RESOLVED,-0.99557074268;-0.99557074268,-0.996437385534;-0.996437385534,0.0008666428536584503,9.189436964465909,2.1868198941166015,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.989016257001737,True,False
72,100,2,2,142;144,200;202,-0.07825921208832003,-0.0865230247519247,0.09550998346738719,0.9999261972082631,0.999926197208263,0.9999405301059354,7,7,13.714285714285714,18.285714285714285,RESOLVED,RESOLVED,0.996209684973;0.996209684973,0.997110244668;0.997110244668,0.0009005596942031069,1.024110189847071,1.839138409267774,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9856143533313336,True,False
73,101,2,2,143;145,201;203,0.07825921208832003,0.0865230247519247,0.09550998346738719,0.9999261972082631,0.999926197208263,0.9999405301059354,7,7,13.714285714285714,18.285714285714285,RESOLVED,RESOLVED,-0.996209684973;-0.996209684973,-0.997110244668;-0.997110244668,0.0009005596942031069,1.024110189847071,1.839138409267774,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9856143533313336,True,False
62,94,2,2,122;124,188;190,-0.08213532435025683,-0.09382270583577686,0.12456879580916269,0.9998806298642009,0.9998806298642007,0.9999150022372325,8,8,12.0,16.0,RESOLVED,RESOLVED,0.996419245956;0.996419245956,0.997450970829;0.997450970829,0.0010317248734108553,4.629020148159816,1.160850265460079,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9812218091064542,True,False
63,95,2,2,123;125,189;191,0.08213532435025683,0.09382270583577686,0.12456879580916269,0.9998806298642009,0.9998806298642007,0.9999150022372325,8,8,12.0,16.0,RESOLVED,RESOLVED,-0.996419245956;-0.996419245956,-0.997450970829;-0.997450970829,0.0010317248734108553,4.629020148159816,1.160850265460079,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9812218091064542,True,False
64,88,2,2,126;128,176;178,-0.08197449372910953,-0.09785883896630866,0.16231896275274507,0.9998110460938245,0.9998110460938245,0.9998646950875768,9,9,10.666666666666666,14.222222222222221,DIAGNOSTIC,RESOLVED,0.996281997248;0.996281997248,0.997581734154;0.997581734154,0.0012997369051396257,2.0712922602870596,6.566296260570657,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9755049570152772,False,False
65,89,2,2,127;129,177;179,0.08197449372910953,0.09785883896630866,0.16231896275274507,0.9998110460938245,0.9998110460938245,0.9998646950875768,9,9,10.666666666666666,14.222222222222221,DIAGNOSTIC,RESOLVED,-0.996281997248;-0.996281997248,-0.997581734154;-0.997581734154,0.0012997369051396257,2.0712922602870596,6.566296260570657,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9755049570152772,False,False
89,123,1,1,176,245,-8.039284056968386e-10,-6.475385756959176e-10,0.19453203655039852,0.9999999999999999,0.9999999999999999,1.0,0,0,inf,inf,NOT_APPLICABLE,NOT_APPLICABLE,-2.01228677205e-07,-1.66303190538e-07,3.492548666632582e-08,5355922.491255847,6164417.43684446,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9708201945174401,False,False
90,124,1,1,177,246,8.039284056968386e-10,6.475385756959176e-10,0.19453203655039852,0.9999999999999999,0.9999999999999999,1.0,0,0,inf,inf,NOT_APPLICABLE,NOT_APPLICABLE,2.01228677205e-07,1.66303190538e-07,3.492548666632582e-08,5355922.491255847,6164417.43684446,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9708201945174401,False,False
