pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00064,26ee78912feb8b2a,2ee09d06c5780ebf,geometry/26ee78912feb8b2a.npz,geometry/2ee09d06c5780ebf.npz
P00065,ce26be6f84b4f2d3,e67533d9437e24b2,geometry/ce26be6f84b4f2d3.npz,geometry/e67533d9437e24b2.npz
P00066,4a034ebfec0904b3,9c0c412be3083cdb,geometry/4a034ebfec0904b3.npz,geometry/9c0c412be3083cdb.npz
P00067,5b95ad6b913e0a0d,759224ae021bb694,geometry/5b95ad6b913e0a0d.npz,geometry/759224ae021bb694.npz
P00068,6db70d165d24cede,52169e22de4926e0,geometry/6db70d165d24cede.npz,geometry/52169e22de4926e0.npz
P00069,4ecd2b3408fad761,45175372abb8f177,geometry/4ecd2b3408fad761.npz,geometry/45175372abb8f177.npz
P00070,fad5c533d43e98e7,1f2791f50af053c2,geometry/fad5c533d43e98e7.npz,geometry/1f2791f50af053c2.npz
P00071,213bb2d0a31c3b69,df3c83e54a4761c7,geometry/213bb2d0a31c3b69.npz,geometry/df3c83e54a4761c7.npz
P00072,372c9141157b9ce6,683e90961455cc10,geometry/372c9141157b9ce6.npz,geometry/683e90961455cc10.npz
P00073,3a368a551b0c63aa,8053abb923ff94fb,geometry/3a368a551b0c63aa.npz,geometry/8053abb923ff94fb.npz
P00074,69fd691dc7e2c805,dfdbbca27f0fa6fb,geometry/69fd691dc7e2c805.npz,geometry/dfdbbca27f0fa6fb.npz
P00075,a2f743ba9553fd62,cdb8f9884e826715,geometry/a2f743ba9553fd62.npz,geometry/cdb8f9884e826715.npz
P00076,ba4eee494fb0ff33,af857dc9e15b5296,geometry/ba4eee494fb0ff33.npz,geometry/af857dc9e15b5296.npz
P00077,8ed7eb1dd4f4cfde,3446895377bd13a7,geometry/8ed7eb1dd4f4cfde.npz,geometry/3446895377bd13a7.npz
P00078,4ef38f29a9e33276,04d73168639584dc,geometry/4ef38f29a9e33276.npz,geometry/04d73168639584dc.npz
P00079,6bbe8e840b4f85a5,1fb82f8a41bde7a5,geometry/6bbe8e840b4f85a5.npz,geometry/1fb82f8a41bde7a5.npz
P00080,c9f36f2115076204,2e4b9daa2c46005b,geometry/c9f36f2115076204.npz,geometry/2e4b9daa2c46005b.npz
P00081,3b911b9e74e9f9a0,eaf6db3eb93b65bb,geometry/3b911b9e74e9f9a0.npz,geometry/eaf6db3eb93b65bb.npz
P00082,ba332e94d5135b40,1df035f228777fb5,geometry/ba332e94d5135b40.npz,geometry/1df035f228777fb5.npz
P00083,a9f0a5fa034446bf,9d7d38985c300baf,geometry/a9f0a5fa034446bf.npz,geometry/9d7d38985c300baf.npz
P00084,e443ce544a2e51de,36ff01fbaf9cd337,geometry/e443ce544a2e51de.npz,geometry/36ff01fbaf9cd337.npz
