candidate_id,carrier_id,family,source,source_qualified,condition,gamma_core,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,n_threads,helix_turns,thread_gamma_each,hole_clearance,combined_initial_gap_core,carrier_self_gap_core,bundle_radius,thread_density_proxy,link_matrix_json
CAND_24691C49298E420C,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_DB0CDB28BFAB9202,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_4491E511C6F3A474,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_8F36CC069ADC4915,TORUS_T2_9,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6783422586462694,5.0051147628935215,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996163701881227, 1.9961642159460953, 1.996164309138286]]"
CAND_011A8BF7F37093FF,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.6783422586462694,5.0051147628935215,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996163701881227, 1.9961642159460953, 1.996164309138286]]"
CAND_935A70184B0610D6,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.6783422586462694,5.0051147628935215,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996163701881227, 1.9961642159460953, 1.996164309138286]]"
CAND_ECC8BF61822B5B4E,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.6783422586462694,5.0051147628935215,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996163701881227, 1.9961642159460953, 1.996164309138286]]"
CAND_877F5FE61180E8EC,TORUS_T2_9,torus,"analytic T(2,q)",True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.6783422586462694,5.0051147628935215,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996163701881227, 1.9961642159460953, 1.996164309138286]]"
CAND_28C16B860A16874D,TWIST_4_1,twist,knot.4_1.fseries,True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_0D69ED34C9DDB45B,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_70A4919685820B58,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_694C235BF7983309,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_DA2AEEF7750E9965,TWIST_4_1,twist,knot.4_1.fseries,True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.2890527391827372,2.7733217000436303,11.240148958984646,0.07700000000000001,11.429236078690773,"[[0.99965824784715, 1.0093760709367536, 0.9983710046900298]]"
CAND_2E590C6756123292,TWIST_5_2,twist,knot.5_2.fseries,True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
CAND_AEFC570D6A1783B0,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
CAND_E3DF05B98E1E62E8,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
CAND_387E7EA3EB2D458F,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
CAND_5611AA61DE36D664,TWIST_5_2,twist,knot.5_2.fseries,True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.30613526274357866,2.773321700043631,11.727161707103486,0.07700000000000001,10.189307457755337,"[[-1.0078374025196604, -1.0082318757251008, -1.0089479701858737]]"
CAND_70FCB8975DCE72D7,TWIST_7_2,twist,knot.7_2.fseries,True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.23059679608059808,2.773321700043631,12.059499345170346,0.07700000000000001,17.958284365145087,"[[3.017921132116098, 3.0268768479086616, 3.0528368840973212]]"
CAND_2B9C7E6AE89427F3,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.23059679608059808,2.773321700043631,12.059499345170346,0.07700000000000001,17.958284365145087,"[[3.017921132116098, 3.0268768479086616, 3.0528368840973212]]"
CAND_E457AE350DC73175,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.23059679608059808,2.773321700043631,12.059499345170346,0.07700000000000001,17.958284365145087,"[[3.017921132116098, 3.0268768479086616, 3.0528368840973212]]"
CAND_87E9F5B007C148F5,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.23059679608059808,2.773321700043631,12.059499345170346,0.07700000000000001,17.958284365145087,"[[3.017921132116098, 3.0268768479086616, 3.0528368840973212]]"
CAND_9CCB5A980B2DCC97,TWIST_7_2,twist,knot.7_2.fseries,True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.23059679608059808,2.773321700043631,12.059499345170346,0.07700000000000001,17.958284365145087,"[[3.017921132116098, 3.0268768479086616, 3.0528368840973212]]"
CAND_1673FE611BF594F5,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6673636117892203,4.640602524337446,4.640602524337446,0.12012545012205965,2.1441064149263314,"[[1.0003472275769318, 1.000298954710745, 1.0002990577229165], [1.0002989546392567, 1.0002990577368003, 1.0003472277527439], [1.0002990576517488, 1.0003472277532581, 1.0002989547382908]]"
CAND_39EAE584328A5AA6,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,-1.0,-1.0,total_beta,3,1.0,-0.3333333333333333,0.6673636117892203,4.640602524337446,4.640602524337446,0.12012545012205965,2.1441064149263314,"[[1.0003472275769318, 1.000298954710745, 1.0002990577229165], [1.0002989546392567, 1.0002990577368003, 1.0003472277527439], [1.0002990576517488, 1.0003472277532581, 1.0002989547382908]]"
CAND_163692BF43E442CF,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,-0.5,-0.5,total_beta,3,1.0,-0.16666666666666666,0.6673636117892203,4.640602524337446,4.640602524337446,0.12012545012205965,2.1441064149263314,"[[1.0003472275769318, 1.000298954710745, 1.0002990577229165], [1.0002989546392567, 1.0002990577368003, 1.0003472277527439], [1.0002990576517488, 1.0003472277532581, 1.0002989547382908]]"
CAND_24717867475A6171,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,0.5,0.5,total_beta,3,1.0,0.16666666666666666,0.6673636117892203,4.640602524337446,4.640602524337446,0.12012545012205965,2.1441064149263314,"[[1.0003472275769318, 1.000298954710745, 1.0002990577229165], [1.0002989546392567, 1.0002990577368003, 1.0003472277527439], [1.0002990576517488, 1.0003472277532581, 1.0002989547382908]]"
CAND_4BDF4BD0AA1848AD,TRIPLE_GEAR_T3_3,triple_gear,"analytic T(3,3) three-unknot-link proxy",True,active,1.0,1.0,1.0,total_beta,3,1.0,0.3333333333333333,0.6673636117892203,4.640602524337446,4.640602524337446,0.12012545012205965,2.1441064149263314,"[[1.0003472275769318, 1.000298954710745, 1.0002990577229165], [1.0002989546392567, 1.0002990577368003, 1.0003472277527439], [1.0002990576517488, 1.0003472277532581, 1.0002989547382908]]"
