lambda_,epsilon,R,v0,Xi_filament,Xi_cavitation,Xi_renormalization,Xi_total,Xi_mass,chi_K,chi_cavitation,chi_renormalization,chi_E_hollow_total,chi_E,E_loop,target_residual,mass_mode,kernel,quadrature_n,target_chi_E,target_xi_E,status
5.375,1.0,5.375,0.15915494309189535,4.792885635215581,1.34375,0.0,6.136635635215581,6.136635635215581,189.21554063696664,53.0491236558553,0.0,242.26466429282192,242.26466429282192,6.136635635215581,37.557618858701204,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
5.59375,1.0,5.59375,0.15915494309189535,5.095431175501183,1.3984375,0.0,6.493868675501183,6.493868675501183,201.15955982069758,55.20809961859359,0.0,256.3676594392912,256.3676594392912,6.493868675501183,39.80218024866279,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
5.8125,1.0,5.8125,0.15915494309189535,5.40235435672666,1.453125,0.0,6.85547935672666,6.85547935672666,213.27640134157483,57.367075581331896,0.0,270.6434769229067,270.6434769229067,6.85547935672666,42.07424716785791,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
6.03125,1.0,6.03125,0.15915494309189535,5.713485125129958,1.5078125,0.0,7.221297625129958,7.221297625129958,225.55935174616488,59.52605154407019,0.0,285.08540329023504,285.08540329023504,7.221297625129958,44.3727511369874,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
6.25,1.0,6.25,0.15915494309189535,6.028666181425966,1.5625,0.0,7.591166181425966,7.591166181425966,238.00220110760117,61.68502750680849,0.0,299.68722861440966,299.68722861440966,7.591166181425966,46.6967038154942,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
6.46875,1.0,6.46875,0.15915494309189535,6.347751598763182,1.6171875,0.0,7.964939098763182,7.964939098763182,250.59918846470043,63.844003469546784,0.0,314.44319193424724,314.44319193424724,7.964939098763182,49.045188317929046,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
6.6875,1.0,6.6875,0.15915494309189535,6.670605632843755,1.671875,0.0,8.342480632843756,8.342480632843756,263.34495484738477,66.00297943228509,0.0,329.34793427966986,329.34793427966986,8.342480632843756,51.41735173771415,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
6.90625,1.0,6.90625,0.15915494309189535,6.997101692061775,1.7265625,0.0,8.723664192061776,8.723664192061776,276.23450261937074,68.16195539502338,0.0,344.39645801439417,344.39645801439417,8.723664192061776,53.812398676331235,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
7.125,1.0,7.125,0.15915494309189535,7.327121441730023,1.78125,0.0,9.108371441730023,9.108371441730023,289.26316011445937,70.32093135776168,0.0,359.584091472221,359.584091472221,9.108371441730023,56.229585615012226,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
7.34375,1.0,7.34375,0.15915494309189535,7.660554021327142,1.8359375,0.0,9.496491521327142,9.496491521327142,302.42655073469257,72.47990732049998,0.0,374.90645805519256,374.90645805519256,9.496491521327142,58.668215996558224,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
7.5625,1.0,7.5625,0.15915494309189535,7.9972953575323364,1.890625,0.0,9.887920357532337,9.887920357532337,315.72056583005053,74.63888328323827,0.0,390.35944911328886,390.35944911328886,9.887920357532337,61.12763590900911,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
7.78125,1.0,7.78125,0.15915494309189535,8.3372475588653,1.9453125,0.0,10.2825600588653,10.2825600588653,329.1413407997939,76.79785924597657,0.0,405.93920004577046,405.93920004577046,10.2825600588653,63.60723028205412,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
8.0,1.0,8.0,0.15915494309189535,8.680318380187984,2.0,0.0,10.680318380187984,10.680318380187984,342.6852339518407,78.95683520871486,0.0,421.64206916055554,421.64206916055554,10.680318380187984,66.10641952239722,kinetic_plus_cavity,regularized_circular_filament,32768,6.283185307179586,0.15915494309189535,RESEARCH-TRACK / FALSIFICATION TEST / NOT CANONIZED
