path,kind,status,reason,sample_id,source,rows_or_frames
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a100.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a100,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1000.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1000,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1001.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1001,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1002.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1002,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1003.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1003,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1004.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1004,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1005.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1005,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1006.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1006,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1007.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1007,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1008.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1008,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1009.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1009,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a101.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a101,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1010.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1010,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1011.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1011,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1012.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1012,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1013.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1013,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1014.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1014,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1015.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1015,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1016.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1016,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1017.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1017,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1018.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1018,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1019.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1019,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a102.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a102,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1020.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1020,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1021.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1021,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1022.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1022,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1023.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1023,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1024.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1024,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1025.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1025,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1026.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1026,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1027.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1027,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1028.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1028,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1029.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1029,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a103.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a103,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1030.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1030,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1031.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1031,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1032.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1032,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1033.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1033,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1034.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1034,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1035.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1035,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1036.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1036,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1037.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1037,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1038.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1038,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1039.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1039,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a104.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a104,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1040.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1040,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1041.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1041,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1042.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1042,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1043.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1043,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1044.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1044,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1045.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1045,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1046.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1046,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1047.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1047,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1048.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1048,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1049.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1049,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a105.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a105,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1050.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1050,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1051.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1051,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1052.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1052,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1053.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1053,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1054.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1054,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1055.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1055,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1056.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1056,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1057.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1057,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1058.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1058,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1059.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1059,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a106.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a106,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1060.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1060,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1061.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1061,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1062.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1062,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1063.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1063,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1064.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1064,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1065.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1065,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1066.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1066,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1067.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1067,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1068.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1068,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1069.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1069,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a107.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a107,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1070.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1070,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1071.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1071,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1072.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1072,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1073.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1073,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1074.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1074,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1075.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1075,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1076.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1076,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1077.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1077,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1078.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1078,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1079.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1079,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a108.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a108,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1080.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1080,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1081.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1081,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1082.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1082,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1083.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1083,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1084.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1084,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1085.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1085,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1086.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1086,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1087.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1087,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1088.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1088,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1089.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1089,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a109.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a109,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1090.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1090,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1091.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1091,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1092.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1092,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1093.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1093,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1094.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1094,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1095.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1095,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1096.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1096,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1097.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1097,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1098.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1098,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1099.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1099,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a11.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a11,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a110.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a110,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1100.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1100,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1101.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1101,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1102.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1102,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1103.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1103,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1104.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1104,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1105.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1105,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1106.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1106,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1107.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1107,recursive_discovery,
C:\workspace\projects\SST-Workbench\datasets\resources-swirl\ideal_12_data\12a1108.txt,text,unsupported,not recognized as VortexLab diag log,datasets_resources-swirl_ideal_12_data_12a1108,recursive_discovery,
