pair_id,candidate_a,candidate_b,valid,winner_anonymous,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,carrier_id,family,beta,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,pressure_delta_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,active_restoring_fraction,null_restoring_fraction
PAIR_72649232C615,CAND_A98F6D0778211637,CAND_1E9E3D337528F22E,True,A,-0.11264401415175364,3,2,TWIST_4_1,twist,1.0,1.0,3,1.0,null,0.11264401415175364,-0.08676846269121269,0.24290506038045834,0.329673523071671,0.9220448703126212,0.826256567728823,0.09578830258379811,0.3333333333333333,0.3333333333333333
PAIR_02934F51E1D5,CAND_1380731D39265366,CAND_8F3C450DCECC1A08,True,TIE,0.0,2,2,TORUS_T2_5,torus,-0.5,1.0,3,1.0,tie,0.0,-0.07817154988823802,-0.04451628742289238,0.03365526246534563,0.02060342867322007,0.07229164828734114,-0.05168821961412107,0.6666666666666666,0.6666666666666666
PAIR_C331F41C5BDC,CAND_B9AFC9DEFA3090B2,CAND_FA7B0D6E851CA1C1,True,A,-0.0421928850233051,3,1,TORUS_T2_7,torus,-0.5,1.0,3,1.0,null,0.0421928850233051,-0.09386184001170808,-0.09190516214091604,0.0019566778707920326,0.27127445785952087,0.39160634914117265,-0.12033189128165178,0.5,0.5
PAIR_EC1E5E40CB18,CAND_1B67D03FC100B0DA,CAND_A8F432D763185E08,True,TIE,-0.015907581000411786,4,0,TRIPLE_GEAR_T3_3,triple_gear,-0.5,1.0,3,1.0,tie,-0.015907581000411786,-0.058700319379669755,0.060083490433956874,0.11878380981362663,0.45647165084630814,0.37008205361192403,0.08638959723438411,0.6666666666666666,0.6666666666666666
PAIR_E0CF6453B670,CAND_5A2596EDED87AE19,CAND_10A218A784FF5612,True,A,-0.03688671144906579,3,1,TORUS_T2_3,torus,0.5,1.0,3,1.0,null,0.03688671144906579,-0.001926844509315101,0.0432147970322233,0.0451416415415384,0.3582105669844249,0.27243393536607907,0.08577663161834581,0.6666666666666666,0.6666666666666666
PAIR_B3BEAB1F0FF2,CAND_23540E0F8C51258B,CAND_018377CE5035B28F,True,TIE,0.0,2,2,TWIST_7_2,twist,0.5,1.0,3,1.0,tie,-0.0,-0.09601854186214742,0.2057385216712948,0.3017570635334422,0.8621696083901594,0.7487377847792462,0.1134318236109132,0.5,0.5
PAIR_F70A723C2525,CAND_787A2F092618029A,CAND_0876179CE1EB18BB,True,TIE,0.0,1,1,TWIST_6_1,twist,0.5,1.0,3,1.0,tie,0.0,-0.0846065484667993,0.022691006447448786,0.10729755491424808,0.8328031420668558,0.7115715697799063,0.12123157228694947,0.5,0.5
PAIR_8DB04C21CD2D,CAND_B3DF2669D52CA86E,CAND_5A2596EDED87AE19,True,A,-0.05960376778061987,3,1,TORUS_T2_3,torus,-1.0,1.0,3,1.0,active,-0.05960376778061987,-0.18597051704161352,-0.1408288755000751,0.0451416415415384,0.4839756106334919,0.5883019793895653,-0.10432636875607337,0.6666666666666666,0.6666666666666666
PAIR_706FD989FC35,CAND_0695E37AE621BE18,CAND_E9D90ABA8BCABA7F,True,A,-0.09833146828598288,4,0,TORUS_T2_9,torus,0.5,1.0,3,1.0,active,-0.09833146828598288,0.04645544467333275,-0.029130171236512948,-0.0755856159098457,0.14824963461615126,0.2527244278935049,-0.10447479327735365,0.3333333333333333,0.3333333333333333
PAIR_AA19613B1CFD,CAND_F5699440C4D8D558,CAND_A98F6D0778211637,True,B,0.10660597847121579,1,4,TWIST_4_1,twist,-0.5,1.0,3,1.0,null,0.10660597847121579,-0.06863341338963785,0.2610401096820332,0.329673523071671,0.925158697664419,0.8298228925323805,0.09533580513203854,0.3333333333333333,0.3333333333333333
PAIR_4509056D0B46,CAND_E03FEE6398808C5B,CAND_23540E0F8C51258B,True,TIE,0.027735231172770786,0,4,TWIST_7_2,twist,-0.5,1.0,3,1.0,tie,0.027735231172770786,0.03089591703309702,0.33265298056653925,0.3017570635334422,0.9650196064113625,0.8941218626577683,0.07089774375359426,0.5,0.5
PAIR_E6BE2C06513D,CAND_39D0319DA6FDBA15,CAND_930BB1AC9EE262C0,True,A,-0.16154254454850478,3,2,TWIST_5_2,twist,1.0,1.0,3,1.0,null,0.16154254454850478,-0.011816637855645795,0.7763160514936613,0.7881326893493071,0.944677288098928,0.8588359671872073,0.0858413209117207,0.6666666666666666,0.6666666666666666
PAIR_1101E8E870B3,CAND_A98F6D0778211637,CAND_F85D3EAE8171E55D,True,A,-0.2633559486691069,3,2,TWIST_4_1,twist,-1.0,1.0,3,1.0,null,0.2633559486691069,-0.21194525660277147,0.11772826646889956,0.329673523071671,0.9104724748911651,0.8094017444095138,0.10107073048165127,0.3333333333333333,0.3333333333333333
PAIR_EE0306D40131,CAND_5A2596EDED87AE19,CAND_BF10D3369EF0F98E,True,B,0.03333097199620114,1,3,TORUS_T2_3,torus,-0.5,1.0,3,1.0,active,-0.03333097199620114,-0.06134789084409946,-0.016206249302561055,0.0451416415415384,0.002413640441484066,0.0026013137166636113,-0.00018767327517954513,0.6666666666666666,0.6666666666666666
PAIR_2880926129BD,CAND_E9D90ABA8BCABA7F,CAND_2FC1CC107F8885E0,True,A,-0.19198065761498076,4,0,TORUS_T2_9,torus,-1.0,1.0,3,1.0,null,0.19198065761498076,-0.2827350954069098,-0.35832071131675547,-0.0755856159098457,0.655160599785795,0.7722787558925339,-0.11711815610673892,0.3333333333333333,0.3333333333333333
PAIR_45BE7044C0AC,CAND_9685BF290743508D,CAND_8F3C450DCECC1A08,True,TIE,0.018997305884060917,0,4,TORUS_T2_5,torus,-1.0,1.0,3,1.0,tie,0.018997305884060917,-0.2196178351298908,-0.1859625726645452,0.03365526246534563,0.4407759954588384,0.5703303214629618,-0.12955432600412342,0.8333333333333334,0.6666666666666666
PAIR_C78289E9BE50,CAND_A9493FA4571B60F7,CAND_0876179CE1EB18BB,True,TIE,0.0,1,1,TWIST_6_1,twist,-0.5,1.0,3,1.0,tie,0.0,0.001764551763439537,0.10906210667768762,0.10729755491424808,0.8722265473105753,0.7623404107566203,0.10988613655395496,0.6666666666666666,0.5
PAIR_EE505F3347BE,CAND_B2BDB77FD9CF7AE0,CAND_B9AFC9DEFA3090B2,True,A,-0.05087482308824567,3,1,TORUS_T2_7,torus,0.5,1.0,3,1.0,active,-0.05087482308824567,0.030587104658293576,0.03254378252908561,0.0019566778707920326,0.0031957662563236733,0.005150611399512117,-0.001954845143188444,0.5,0.5
PAIR_91807E40BF4E,CAND_39D0319DA6FDBA15,CAND_FDB83AA0798E2296,True,B,0.1815711686481295,1,4,TWIST_5_2,twist,-1.0,1.0,3,1.0,active,-0.1815711686481295,-0.24867386146055537,0.5394588278887518,0.7881326893493071,0.8961046649934651,0.7898649366779569,0.10623972831550821,0.6666666666666666,0.6666666666666666
PAIR_FF9547FAB2AB,CAND_E30F7FBCF09B8CA3,CAND_B9AFC9DEFA3090B2,True,B,0.07670088481535461,1,3,TORUS_T2_7,torus,-1.0,1.0,3,1.0,null,0.07670088481535461,-0.25099841537683054,-0.24904173750603853,0.0019566778707920326,0.5883478592250422,0.7109858866656932,-0.122638027440651,0.5,0.5
PAIR_5F6BE15C48FF,CAND_B9AFC9DEFA3090B2,CAND_CB2C3C4CF1F35C38,True,B,0.10986307002605618,1,3,TORUS_T2_7,torus,1.0,1.0,3,1.0,active,-0.10986307002605618,-0.002100526036827567,-0.00014384816603553452,0.0019566778707920326,0.0014927485003799479,0.027862651313405706,-0.02636990281302576,0.5,0.5
PAIR_4C2AE292CA92,CAND_6E9180E1E4775F05,CAND_A98F6D0778211637,True,TIE,-0.005660942372253055,3,2,TWIST_4_1,twist,0.5,1.0,3,1.0,tie,-0.005660942372253055,-0.006045016433858186,0.32362850663781284,0.329673523071671,0.929827410590604,0.8372118558081376,0.09261555478246641,0.3333333333333333,0.3333333333333333
PAIR_63414B164DA3,CAND_CB457F5786FF7020,CAND_8F3C450DCECC1A08,True,TIE,0.0,2,2,TORUS_T2_5,torus,0.5,1.0,3,1.0,tie,0.0,0.014896814534823534,0.04855207700016916,0.03365526246534563,0.2584449140930347,0.15627631218011806,0.10216860191291666,0.6666666666666666,0.6666666666666666
PAIR_F6D97F387BD2,CAND_66393BBA3C658658,CAND_A8F432D763185E08,True,B,0.03431114892638231,1,3,TRIPLE_GEAR_T3_3,triple_gear,1.0,1.0,3,1.0,null,0.03431114892638231,-0.07242356730090423,0.0463602425127224,0.11878380981362663,0.4796416724789989,0.39727308889296586,0.08236858358603305,0.6666666666666666,0.6666666666666666
PAIR_A7E66700D8C2,CAND_53C2286757846C42,CAND_0876179CE1EB18BB,True,TIE,0.0,1,1,TWIST_6_1,twist,-1.0,1.0,3,1.0,tie,0.0,-0.07931289317648052,0.027984661737767556,0.10729755491424808,0.8570179378439544,0.7450112441067712,0.1120066937371832,1.0,0.5
PAIR_4C2A1E27F83C,CAND_ED37B314F749BACF,CAND_E9D90ABA8BCABA7F,True,A,-0.1901904607432803,4,0,TORUS_T2_9,torus,1.0,1.0,3,1.0,active,-0.1901904607432803,0.029636153993251597,-0.045949461916594096,-0.0755856159098457,0.14795977946539973,0.25343820141223816,-0.10547842194683843,0.3333333333333333,0.3333333333333333
