candidate,family,category,value,shape_classification,parameterization_role,shape_family_max_normalized_rms,raw_family_max_normalized_rms,priority_tier,selection_reason,is_baseline_geometry,raw_sha256,source_file,raw_handoff_file,arclength300_handoff_file,length,rg,exact_duplicate_of
tanforce__on,tanforce,secondary_force,on,EFFECTIVE_STRONG,MIXED_REPARAMETERIZATION_DOMINANT,0.043667576198020704,0.7610525522316824,2,secondary strong shape effect,False,dfb2bced459e987a08cf8f8245bdf6e80807c2443df0e8654f2a3ceeb03c78a9,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\tanforce__on_i01000.txt,stability_handoff\raw_xyz\tanforce__on.txt,stability_handoff\arclength300_xyz\tanforce__on.txt,313.956402254874,24.01243522478696,
tanmag__0p025,tanmag,secondary_force,0.025,EFFECTIVE_STRONG,MIXED_REPARAMETERIZATION_DOMINANT,0.08598341181869912,0.9624096347704889,2,secondary strong shape effect,False,cd55c3880df2f6467084f9c3c451f4f13dbb0041557b4eff252dd8c362a3bfa1,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\tanmag__0p025_i01000.txt,stability_handoff\raw_xyz\tanmag__0p025.txt,stability_handoff\arclength300_xyz\tanmag__0p025.txt,325.60424346131225,24.706944700647618,
tanmag__0p4,tanmag,secondary_force,0.4,EFFECTIVE_STRONG,MIXED_REPARAMETERIZATION_DOMINANT,0.08598341181869912,0.9624096347704889,2,secondary strong shape effect,False,67a47895e0dea6e3d507e03f8a719c24f29638e7b05211a637f9bcfbdade5d9d,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\tanmag__0p4_i01000.txt,stability_handoff\raw_xyz\tanmag__0p4.txt,stability_handoff\arclength300_xyz\tanmag__0p4.txt,296.10769683724646,22.850474802846808,
thfstrength__0p0025,thfstrength,secondary_force,0.0025,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.01327186051891933,0.012856568677248393,2,secondary strong shape effect,False,c2fffa28e9d743d9acb646fc164542f8cb2326d2ffd82a7f2c8bbcc0be81a181,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\thfstrength__0p0025_i01000.txt,stability_handoff\raw_xyz\thfstrength__0p0025.txt,stability_handoff\arclength300_xyz\thfstrength__0p0025.txt,329.9935261379079,24.947596882256036,
thfstrength__0p01,thfstrength,secondary_force,0.01,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.01327186051891933,0.012856568677248393,2,secondary strong shape effect,False,77dd4f2b809455ef04e350bec8673f4e0e83ec5c818371750b377832982cbcf2,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\thfstrength__0p01_i01000.txt,stability_handoff\raw_xyz\thfstrength__0p01.txt,stability_handoff\arclength300_xyz\thfstrength__0p01.txt,330.00409672201806,24.93750959861493,
thfstrength__0p02,thfstrength,secondary_force,0.02,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.01327186051891933,0.012856568677248393,2,secondary strong shape effect,False,0982b2843e906493669bb586fc6a7af9ca335c1cfc8929af2f389462b2744c52,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\thfstrength__0p02_i01000.txt,stability_handoff\raw_xyz\thfstrength__0p02.txt,stability_handoff\arclength300_xyz\thfstrength__0p02.txt,330.5168826252157,24.917949981994195,
thfstrength__0p04,thfstrength,secondary_force,0.04,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.01327186051891933,0.012856568677248393,2,secondary strong shape effect,False,f3d00cee43c14ea899bb261ef37e6f41d8ae94cd89344f538d04da4c6acfb66e,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\thfstrength__0p04_i01000.txt,stability_handoff\raw_xyz\thfstrength__0p04.txt,stability_handoff\arclength300_xyz\thfstrength__0p04.txt,331.36417788645724,24.9065596289412,
syrmag__0p25,syrmag,secondary_force,0.25,EFFECTIVE_MEDIUM,GEOMETRY_DOMINANT,0.005420296976945766,0.004952980966476252,3,medium shape effect,False,aed99e65258332d6f188df189abe24895fc754bfcb307395d6d87a1107f32e10,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\syrmag__0p25_i01000.txt,stability_handoff\raw_xyz\syrmag__0p25.txt,stability_handoff\arclength300_xyz\syrmag__0p25.txt,331.3513695285455,25.03812112939704,
syrmag__4,syrmag,secondary_force,4.0,EFFECTIVE_MEDIUM,GEOMETRY_DOMINANT,0.005420296976945766,0.004952980966476252,3,medium shape effect,False,394e5b97a767bffb38e2c9a4bbc77451f9b1e666e8c847ded2471ad076ab77d4,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\syrmag__4_i01000.txt,stability_handoff\raw_xyz\syrmag__4.txt,stability_handoff\arclength300_xyz\syrmag__4.txt,330.8653714894877,25.05610718622604,
thermalforce__on,thermalforce,secondary_force,on,EFFECTIVE_MEDIUM,GEOMETRY_DOMINANT,0.0034338392774515758,0.003432806688327868,3,medium shape effect,False,28aae01d5de8ede5b2c3c20d36b51e9a9e3bbb23621926177a6ad584cd2c879e,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\thermalforce__on_i01000.txt,stability_handoff\raw_xyz\thermalforce__on.txt,stability_handoff\arclength300_xyz\thermalforce__on.txt,330.20076532416726,24.95209611020202,
bencon__0p25,bencon,core_force,0.25,EFFECTIVE_WEAK,GEOMETRY_DOMINANT,3.776733022958096e-05,3.783431524087839e-05,4,weak shape effect,False,685b51a586d208507df5d4fd15804f8bc072e5f11dd982c855939a3138766347,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\bencon__0p25_i01000.txt,stability_handoff\raw_xyz\bencon__0p25.txt,stability_handoff\arclength300_xyz\bencon__0p25.txt,329.9792741087425,24.947729319464255,
bencon__1,bencon,core_force,1.0,EFFECTIVE_WEAK,GEOMETRY_DOMINANT,3.776733022958096e-05,3.783431524087839e-05,4,weak shape effect,False,5ee3a4e39a509afbe88bd772b82100faffb0026458ca8d0b3cc2f1cf554302da,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\bencon__1_i01000.txt,stability_handoff\raw_xyz\bencon__1.txt,stability_handoff\arclength300_xyz\bencon__1.txt,329.9794602421399,24.947750856914087,
bencon__4,bencon,core_force,4.0,EFFECTIVE_WEAK,GEOMETRY_DOMINANT,3.776733022958096e-05,3.783431524087839e-05,4,weak shape effect,False,e56142bb2fbd876c374c633921f961108941ee1205f66694e694a56fd55874c7,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\bencon__4_i01000.txt,stability_handoff\raw_xyz\bencon__4.txt,stability_handoff\arclength300_xyz\bencon__4.txt,329.9802794622865,24.947843672622298,
