schema,pair_key,topology_key,variant_key,representation,source_relative_path,source_sha256,sample_count,sampled_total_length,edge_cv_max,edge_ratio_max,flatness_min,curvature_max,curvature_rms_max,torsion_rms_max,torsion_max_abs,min_curvature_radius,sampled_dcsd_proxy,sampled_reach_proxy,length_over_diameter_proxy,ropelength_radius_proxy,writhe_sum_midpoint_proxy,acn_self_sum_midpoint_proxy,bishop_closure_mismatch_max_rad,native_backend,native_backend_error
sst21d.fresnel-representation-row.v0.2,8_10/knot.8_10s,8_10,8_10s,fseries,8_10/knot.8_10s.fseries,be7e95480a1728cdaaf6844c6affe15e055471695376abfc2ae326b83ee86229,1200,5.799189167090763,3.922646565550553e-05,1.0002337628379991,0.3584999253020359,15.398337505755277,6.394834947848918,22.520788156798996,535.0810346983066,0.06494207570305822,0.11351794744739115,0.05675897372369557,51.08609957714699,102.17219915429398,-2.33087292573718,16.776302072953484,2.0768935850983397,True,
sst21d.fresnel-representation-row.v0.2,8_10/knot.8_10s,8_10,8_10s,short,8_10/knot.8_10s.short,8a70cd0f337ac6dc72959a59de1b40a6ff95069aec187cac5503a201f31962d5,1200,51.01789825894964,0.0009573473234305653,1.0071218650350222,0.35786297806181006,4.833567697318751,1.255626180242941,0.07692215196752922,1.9104044662349784,0.20688651998289262,0.9924270971314294,0.20688651998289262,123.29923250477677,246.59846500955354,-2.3318960129264488,16.7683744666011,2.084900598422183,True,
sst21d.fresnel-representation-row.v0.2,8_11/knot.8_11,8_11,8_11,fseries,8_11/knot.8_11.fseries,92b36e6ffa73f4280f9998df37980a0ccc6e6ae2dd4ce7dc00284d1b1b41143f,1200,5.23314569464021,8.708330427547642e-05,1.0004490149805372,0.34030594073931353,23.24890437956013,8.946745482825863,6.74308311105446,25.054031756067104,0.04301277959916148,0.10051009214155393,0.04301277959916148,60.83245192949851,121.66490385899702,3.0081669846839336,17.818697578707056,0.03428959897884452,True,
sst21d.fresnel-representation-row.v0.2,8_11/knot.8_11,8_11,8_11,short,8_11/knot.8_11.short,4539c046650b3732ccb706a5663030af9d39655f9c4cc0c640c989a1ddf2c610,1200,51.984527720081175,0.0011975955661167408,1.0081107729410692,0.3396684992589482,5.515901054962442,1.4182081487523084,0.2634358249890033,8.509422061273401,0.18129404244848424,0.9931881892690629,0.18129404244848424,143.37075564646003,286.74151129292005,3.011950854368877,17.805645818082095,0.06307481064398628,True,
sst21d.fresnel-representation-row.v0.2,8_11/knot.8_11d,8_11,8_11d,fseries,8_11/knot.8_11d.fseries,80cfdd99537cddc6267449d296f9ecc876c59b57f3cf0ce62727d84ca05982f0,1200,6.234999233973794,6.689727021397711e-05,1.0002228919243854,0.5614769215018747,13.63176633430403,7.644350736541337,36.622510519681455,588.7734265308197,0.07335806494008944,0.08597792275242716,0.04298896137621358,72.51860750261939,145.03721500523878,4.426134764095937,27.516341633799954,2.662567353807696,True,
sst21d.fresnel-representation-row.v0.2,8_11/knot.8_11d,8_11,8_11d,short,8_11/knot.8_11d.short,668877f0d41a7e04ab9397764f2e8266429559ca76be6f312a7840faa1d37940,1200,72.2836279987098,0.0007344162481583517,1.0038907558778432,0.561355527076481,2.8383937218837585,0.875468391229793,0.4284602727801811,2.6633282064248465,0.3523119404789021,0.9953341634699825,0.3523119404789021,102.58469795325948,205.16939590651896,4.427215198484709,27.48734442432304,2.6699921207662873,True,
sst21d.fresnel-representation-row.v0.2,8_12/knot.8_12d,8_12,8_12d,fseries,8_12/knot.8_12d.fseries,2119d4fc2f0ced91b827195706dfd78f451ca352cca02da60d66c10e446b4593,1200,5.5949167068433425,0.0001443117363942862,1.0010056191121925,0.15820635091723143,32.789713093676085,8.961850956258544,12.08888367631147,43.786132490455,0.03049736962147628,0.0633728929815181,0.03049736962147628,91.72785680020411,183.45571360040822,-0.17967989920952776,23.80435669953705,1.1466970180121967,True,
sst21d.fresnel-representation-row.v0.2,8_12/knot.8_12d,8_12,8_12d,short,8_12/knot.8_12d.short,998c75357da2d82134f93f79526024e8df798f76c41deb63611c7bf31b7eb79d,1200,88.17775711853525,0.0011374211741969821,1.010645278536101,0.15777910470067333,3.895411564378981,0.7490872011210847,0.23389678616961457,2.6937756850090566,0.25671228404832835,0.9933995940404382,0.25671228404832835,171.7443274002716,343.4886548005432,-0.17735615854771197,23.773076344930338,1.1293942714531575,True,
sst21d.fresnel-representation-row.v0.2,8_12/knot.8_12z,8_12,8_12z,fseries,8_12/knot.8_12z.fseries,7a5d1676d7998921f053594533e2b7792a8cfacf949b929603cded7af5ef540d,1200,6.04368132691798,2.8310992205928267e-05,1.0001352541521846,0.7922084962821193,11.2522566886173,5.741944516637162,3.031207265001442,10.051372024359194,0.08887106183878588,0.11669904256986251,0.058349521284931254,51.788611061653725,103.57722212330745,-7.331427041829317e-14,16.693455184017402,8.996893962893442e-16,True,
sst21d.fresnel-representation-row.v0.2,8_12/knot.8_12z,8_12,8_12z,short,8_12/knot.8_12z.short,5f688dc20f990557e48a4308c53157f0791f9eba06a0a4c853d3d23647c2c903,1200,51.559966562193175,0.0005220982425446633,1.0022082392636902,0.7925934216352929,3.6571616262233566,1.0680582940390924,0.033301498924101655,0.5771373791958573,0.27343609667934493,0.9963084190994843,0.27343609667934493,94.28156558030614,188.56313116061227,-4.596861006350838e-08,16.68686442985301,2.905702870503884e-07,True,
