pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_3E5BE4ACA8DB,CAND_EA5AD2BEAF9B6035,geometry/CAND_EA5AD2BEAF9B6035.npz,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz
PAIR_6D9954EDD73A,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_9F2509CB54066217,geometry/CAND_9F2509CB54066217.npz
PAIR_89C1C3515426,CAND_28D0905557840A5E,geometry/CAND_28D0905557840A5E.npz,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz
PAIR_3FCBE1C46A51,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_5F89FCC45B144D45,geometry/CAND_5F89FCC45B144D45.npz
PAIR_726A26F4B25D,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_2AD71FBB371F3F41,geometry/CAND_2AD71FBB371F3F41.npz
PAIR_5D35C7220352,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_989AA6CC1B699319,geometry/CAND_989AA6CC1B699319.npz
PAIR_A714E31ED7EF,CAND_935A138574D7455A,geometry/CAND_935A138574D7455A.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_3C54CE3D51AF,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_F985EF88573DB7C1,geometry/CAND_F985EF88573DB7C1.npz
PAIR_083622448C74,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_069F4BFD35B0DD03,geometry/CAND_069F4BFD35B0DD03.npz
PAIR_B54C9D069CF9,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_11363A9D2DA3C030,geometry/CAND_11363A9D2DA3C030.npz
PAIR_C273563A58DA,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_81E99159895113E8,geometry/CAND_81E99159895113E8.npz
PAIR_337AAD06F397,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_A90653DE3DB8CDEC,geometry/CAND_A90653DE3DB8CDEC.npz
PAIR_79673F419D14,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_A9254ED2EF0EAACC,geometry/CAND_A9254ED2EF0EAACC.npz
PAIR_069C6FC77993,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_C05853EEF11F09A3,geometry/CAND_C05853EEF11F09A3.npz
PAIR_8DC2D00D56B5,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_E5B3C73183334FD4,geometry/CAND_E5B3C73183334FD4.npz
PAIR_877DF92E8AF3,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_FA1CF92483E949C0,geometry/CAND_FA1CF92483E949C0.npz
PAIR_EDF214CFAC6D,CAND_6342922CB4721242,geometry/CAND_6342922CB4721242.npz,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz
PAIR_EF6E53DDAD2C,CAND_DE797338EAE5F03C,geometry/CAND_DE797338EAE5F03C.npz,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz
