cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
54,2,106;108,oscillatory,-0.24374252748333383,1.8187812114219444e-18,21,-0.999520063086;-0.999520063086,1.015611356323797,1.0158785774378947,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
55,2,107;109,oscillatory,0.24374252748333383,1.8187812114219444e-18,21,0.999520063086;0.999520063086,1.015611356323797,1.0158785774378947,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
56,2,110;112,oscillatory,-0.197277842758753,4.637119235919972e-18,20,-0.999265478845;-0.999265478845,8.469404402688484,15.93674635120976,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
57,2,111;113,oscillatory,0.197277842758753,4.637119235919972e-18,20,0.999265478845;0.999265478845,8.469404402688484,15.93674635120976,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
58,2,114;116,oscillatory,-0.15338821216518472,1.2200775945176104e-17,19,-0.998784388941;-0.998784388941,1.0014997239505405,1.0016214852313294,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
59,2,115;117,oscillatory,0.15338821216518472,1.2200775945176104e-17,19,0.998784388941;0.998784388941,1.0014997239505405,1.0016214852313294,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
60,2,118;120,oscillatory,-0.11239548365570408,-4.616509817093661e-18,18,-0.997741092594;-0.997741092594,1.4244061530389984,1.5016912836673606,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
61,2,119;121,oscillatory,0.11239548365570408,-4.616509817093661e-18,18,0.997741092594;0.997741092594,1.4244061530389984,1.5016912836673606,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
62,2,122;124,oscillatory,-0.06864246852262462,-1.7311911814101229e-18,11,0.994421603936;0.994421603936,1.0111516488825614,1.0145749882487611,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
63,2,123;125,oscillatory,0.06864246852262462,-1.7311911814101229e-18,11,-0.994421603936;-0.994421603936,1.0111516488825614,1.0145749882487611,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
64,2,126;128,oscillatory,-0.07458240020310612,4.2867591158726855e-18,17,-0.994906149448;-0.994906149448,1.0177130239267909,1.0243910003918173,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
65,2,127;129,oscillatory,0.07458240020310612,4.2867591158726855e-18,17,0.994906149448;0.994906149448,1.0177130239267909,1.0243910003918173,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
66,2,130;132,oscillatory,-0.08213532435025661,-5.276011219535612e-18,8,0.996419245956;0.996419245956,3.699928308424675,4.313870358113394,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
67,2,131;133,oscillatory,0.08213532435025661,-5.276011219535612e-18,8,-0.996419245956;-0.996419245956,3.699928308424675,4.313870358113394,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
68,2,134;136,oscillatory,-0.055239244959538136,-6.028255006695963e-18,12,0.99124932577;0.99124932577,1.555575951422628,1.7541946445832646,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
