axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-0.5,e88b4b750dd16ac4,4780c2488225c2f1,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00027,gaussian,TIE,8.194276012533635e-16,2.921812541387768e-16,1.0,0.0,True,True,-2.8899294477203235,0.349,0.5111685539555804,True,True,True,8.194276012533635e-16,-2.3566633093381557,2.3566633093381557,2.6661361774856815,0.09444924219736302,3627.2892095242214,2361.3652754002683,-2.8899294477203235,1.3207793553866565,1.7842975056558523
-0.5,d8b2a729dba530c8,923fc64c6e1a11b9,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00028,gaussian,CLOSED,0.021490650058638445,0.011928550256947218,nan,nan,False,False,3.0140376275801137,0.0036249999999999893,0.19652353892725136,True,False,True,0.021490650058638445,-2.8856613894631513,2.8856613894631513,2.177381355318515,-0.4296654983736043,797.3521689943568,800.2425706069614,3.0140376275801137,1.3207793553866565,2.184817151853784
-0.5,2abd938383e4b8e9,8b448ec488a34554,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,3,P00029,gaussian,TIE,0.027382765325742024,0.027303968093074157,1.0028859249886322,0.0028817687016802532,False,True,1.1161882312086862,0.0036250000000002114,0.27469818413215036,True,True,True,0.027382765325742024,-2.877773177737379,2.877773177737379,2.183349735756339,-0.43048211409462767,795.8396083209307,798.7245269010941,1.1161882312086862,1.3207793553866565,2.178844760103715
0.5,83aede34605ddb94,c1c41b0b352565e8,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00030,gaussian,TIE,3.484660807995882e-17,5.2428378913608567e-17,1.0,0.0,True,True,-0.4285461515515376,0.4492499999999999,0.7308480897891172,True,True,True,3.484660807995882e-17,-2.3360854792389962,2.3360854792389962,2.689621318662705,0.051825487294478605,6610.545022443698,9580.33237377653,-0.4285461515515376,1.3207793553866565,1.7687174392236849
0.5,4839d9836b0f2b0f,890539d6a627026a,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00031,gaussian,TIE,2.4539881344930996e-16,1.956734499468385e-16,1.0,0.0,True,True,0.18859023990392895,0.1935,0.6563128254787045,True,True,True,2.4539881344930996e-16,-2.5961875476068075,2.5961875476068075,2.4201584792945683,0.005796837126781894,59100.28340927799,70536.18824897328,0.18859023990392895,1.3207793553866565,1.9656481887141375
0.5,e8f67a87c1cf37cd,d64f4da5ee959528,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,3,P00032,gaussian,TIE,2.582492638719218e-16,6.564576949891228e-16,1.0,0.0,True,True,0.33856567778386265,0.44975,0.6999503731610625,True,True,True,2.582492638719218e-16,-2.5976499952018743,2.5976499952018743,2.418795957417386,0.023422998816855035,14626.424214465047,8048.189924009393,0.33856567778386265,1.3207793553866565,1.9667554498089619
1.0,d666f690fe33de15,c97aef7adaf69e05,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00033,gaussian,TIE,6.940681517373767e-16,2.227503717544396e-16,1.0,0.0,True,True,1.3988110973409478,0.27874999999999983,0.2534797575759523,True,True,True,6.940681517373767e-16,-2.5970613212334257,2.5970613212334257,2.4193442241076943,0.05875372048033631,5831.030175951058,7456.429837497414,1.3988110973409478,1.3207793553866565,1.9663097478330431
1.0,7cdb771f7edbad0d,1b4b7597f9a101c0,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00034,gaussian,TIE,4.2436978145983885e-16,4.619312728424305e-16,1.0,0.0,True,True,-2.876451834038584,0.15525,0.31358380998560637,True,True,True,4.2436978145983885e-16,-2.6015925904439094,2.6015925904439094,2.4151303821585253,0.34147542562806527,1003.2778096406519,847.5189296939407,-2.876451834038584,1.3207793553866565,1.969740501949545
1.0,523056d48c466a18,a1aa8d3336128c5a,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,3,P00035,gaussian,INDETERMINATE,9.497771826770832e-17,1.8773813204521603e-16,nan,nan,False,False,nan,nan,0.3709921681279086,False,False,False,9.497771826770832e-17,-2.5829577014201095,2.5829577014201095,2.4325544718464003,0.4047439065259001,nan,nan,nan,1.3207793553866565,1.9556314920321811
-1.0,6287881d54be70c1,34e56f56be0668ab,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,1,P00036,smooth_rankine,CLOSED,0.010173711869413392,0.010904667012896545,0.9329686571533774,-0.06938367231817395,False,True,-2.8538207633007873,0.015250000000000208,0.23153052261231105,True,True,True,0.010173711869413392,-2.8019021817822303,2.8019021817822303,2.242471328239941,-1.0241479579558659,334.5168189897404,339.618200479334,-2.8538207633007873,1.299188297090765,2.1566559582290337
